date,end,funder,person,spend,impact,url,demos,elec,id,l_spend,u_spend,u_impact,l_impact,m_spend
2021-06-28,nan,The Labour Party,Kim Leadbeater for Batley and Spen,,499.5,https://www.facebook.com/ads/archive/render_ad/?id=1691510144693773&access_token=EAAHdzu1fCTsBAOsZBY05KJixInxgto04Gpv8WhwDdNMJCeUFOXZClN2PvE5wL2TZARwZC7ZC7qkqQfeAh2vZBhZAURZBujXKwgEEmUjHFBwwK2261TIRTO7KP3h0jNSR0KDlPkQ8slNbZAf7a5838DJ1bNZCAQrboZCBPcPZAxnxe3Elg4DB5joNIcvaCWQndEKGNG1A4i6mtbGzCnq5mfolzM0yJt1EfG8MmZB7NlkPsnfAtrjg1baRHLBolycI4EO1ACSYZD,"[{'percentage': '0.033333', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.033333', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.166667', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.233333', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.2', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.266667', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.033333', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.033333', 'age': '55-64', 'gender': 'male'}]",batley,1691510144693773,0,99,999,0,49.5
2021-06-28,nan,The Labour Party,Kim Leadbeater for Batley and Spen,,499.5,https://www.facebook.com/ads/archive/render_ad/?id=338699390996087&access_token=EAAHdzu1fCTsBAOsZBY05KJixInxgto04Gpv8WhwDdNMJCeUFOXZClN2PvE5wL2TZARwZC7ZC7qkqQfeAh2vZBhZAURZBujXKwgEEmUjHFBwwK2261TIRTO7KP3h0jNSR0KDlPkQ8slNbZAf7a5838DJ1bNZCAQrboZCBPcPZAxnxe3Elg4DB5joNIcvaCWQndEKGNG1A4i6mtbGzCnq5mfolzM0yJt1EfG8MmZB7NlkPsnfAtrjg1baRHLBolycI4EO1ACSYZD,"[{'percentage': '0.166667', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.166667', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.5', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.166667', 'age': '35-44', 'gender': 'male'}]",batley,338699390996087,0,99,999,0,49.5
2021-06-28,nan,The Labour Party,Kim Leadbeater for Batley and Spen,,499.5,https://www.facebook.com/ads/archive/render_ad/?id=500408904507127&access_token=EAAHdzu1fCTsBAOsZBY05KJixInxgto04Gpv8WhwDdNMJCeUFOXZClN2PvE5wL2TZARwZC7ZC7qkqQfeAh2vZBhZAURZBujXKwgEEmUjHFBwwK2261TIRTO7KP3h0jNSR0KDlPkQ8slNbZAf7a5838DJ1bNZCAQrboZCBPcPZAxnxe3Elg4DB5joNIcvaCWQndEKGNG1A4i6mtbGzCnq5mfolzM0yJt1EfG8MmZB7NlkPsnfAtrjg1baRHLBolycI4EO1ACSYZD,"[{'percentage': '0.098765', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.283951', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.123457', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.296296', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.160494', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.012346', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.024691', 'age': '18-24', 'gender': 'female'}]",batley,500408904507127,0,99,999,0,49.5
2021-06-28,nan,The Labour Party,Kim Leadbeater for Batley and Spen,,499.5,https://www.facebook.com/ads/archive/render_ad/?id=509209230192541&access_token=EAAHdzu1fCTsBAOsZBY05KJixInxgto04Gpv8WhwDdNMJCeUFOXZClN2PvE5wL2TZARwZC7ZC7qkqQfeAh2vZBhZAURZBujXKwgEEmUjHFBwwK2261TIRTO7KP3h0jNSR0KDlPkQ8slNbZAf7a5838DJ1bNZCAQrboZCBPcPZAxnxe3Elg4DB5joNIcvaCWQndEKGNG1A4i6mtbGzCnq5mfolzM0yJt1EfG8MmZB7NlkPsnfAtrjg1baRHLBolycI4EO1ACSYZD,"[{'percentage': '0.08', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.16', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.24', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.12', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.36', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.04', 'age': '18-24', 'gender': 'female'}]",batley,509209230192541,0,99,999,0,49.5
2021-06-28,2021-06-28,The Labour Party,Kim Leadbeater for Batley and Spen,,499.5,https://www.facebook.com/ads/archive/render_ad/?id=2585334355093747&access_token=EAAHdzu1fCTsBAOsZBY05KJixInxgto04Gpv8WhwDdNMJCeUFOXZClN2PvE5wL2TZARwZC7ZC7qkqQfeAh2vZBhZAURZBujXKwgEEmUjHFBwwK2261TIRTO7KP3h0jNSR0KDlPkQ8slNbZAf7a5838DJ1bNZCAQrboZCBPcPZAxnxe3Elg4DB5joNIcvaCWQndEKGNG1A4i6mtbGzCnq5mfolzM0yJt1EfG8MmZB7NlkPsnfAtrjg1baRHLBolycI4EO1ACSYZD,"[{'percentage': '1', 'age': '45-54', 'gender': 'male'}]",batley,2585334355093747,0,99,999,0,49.5
2021-06-28,2021-06-28,The Labour Party,Kim Leadbeater for Batley and Spen,,499.5,https://www.facebook.com/ads/archive/render_ad/?id=484766959249355&access_token=EAAHdzu1fCTsBAOsZBY05KJixInxgto04Gpv8WhwDdNMJCeUFOXZClN2PvE5wL2TZARwZC7ZC7qkqQfeAh2vZBhZAURZBujXKwgEEmUjHFBwwK2261TIRTO7KP3h0jNSR0KDlPkQ8slNbZAf7a5838DJ1bNZCAQrboZCBPcPZAxnxe3Elg4DB5joNIcvaCWQndEKGNG1A4i6mtbGzCnq5mfolzM0yJt1EfG8MmZB7NlkPsnfAtrjg1baRHLBolycI4EO1ACSYZD,"[{'percentage': '0.5', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.5', 'age': '25-34', 'gender': 'female'}]",batley,484766959249355,0,99,999,0,49.5
2021-06-28,nan,The Labour Party,Kim Leadbeater for Batley and Spen,,499.5,https://www.facebook.com/ads/archive/render_ad/?id=275713917676576&access_token=EAAHdzu1fCTsBAOsZBY05KJixInxgto04Gpv8WhwDdNMJCeUFOXZClN2PvE5wL2TZARwZC7ZC7qkqQfeAh2vZBhZAURZBujXKwgEEmUjHFBwwK2261TIRTO7KP3h0jNSR0KDlPkQ8slNbZAf7a5838DJ1bNZCAQrboZCBPcPZAxnxe3Elg4DB5joNIcvaCWQndEKGNG1A4i6mtbGzCnq5mfolzM0yJt1EfG8MmZB7NlkPsnfAtrjg1baRHLBolycI4EO1ACSYZD,"[{'percentage': '0.058824', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.019608', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.078431', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.215686', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.039216', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.039216', 'age': '65+', 'gender': 'female'}, {'percentage': '0.411765', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.078431', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.019608', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.039216', 'age': '35-44', 'gender': 'male'}]",batley,275713917676576,0,99,999,0,49.5
2021-06-28,nan,The Labour Party,Kim Leadbeater for Batley and Spen,,499.5,https://www.facebook.com/ads/archive/render_ad/?id=1232242420542863&access_token=EAAHdzu1fCTsBAOsZBY05KJixInxgto04Gpv8WhwDdNMJCeUFOXZClN2PvE5wL2TZARwZC7ZC7qkqQfeAh2vZBhZAURZBujXKwgEEmUjHFBwwK2261TIRTO7KP3h0jNSR0KDlPkQ8slNbZAf7a5838DJ1bNZCAQrboZCBPcPZAxnxe3Elg4DB5joNIcvaCWQndEKGNG1A4i6mtbGzCnq5mfolzM0yJt1EfG8MmZB7NlkPsnfAtrjg1baRHLBolycI4EO1ACSYZD,"[{'percentage': '0.102564', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.384615', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.410256', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.025641', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.076923', 'age': '45-54', 'gender': 'female'}]",batley,1232242420542863,0,99,999,0,49.5
2021-06-28,2021-06-28,The Labour Party,Kim Leadbeater for Batley and Spen,,499.5,https://www.facebook.com/ads/archive/render_ad/?id=4792807074069857&access_token=EAAHdzu1fCTsBAOsZBY05KJixInxgto04Gpv8WhwDdNMJCeUFOXZClN2PvE5wL2TZARwZC7ZC7qkqQfeAh2vZBhZAURZBujXKwgEEmUjHFBwwK2261TIRTO7KP3h0jNSR0KDlPkQ8slNbZAf7a5838DJ1bNZCAQrboZCBPcPZAxnxe3Elg4DB5joNIcvaCWQndEKGNG1A4i6mtbGzCnq5mfolzM0yJt1EfG8MmZB7NlkPsnfAtrjg1baRHLBolycI4EO1ACSYZD,"[{'percentage': '0.076923', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.384615', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.346154', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.038462', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.076923', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.076923', 'age': '25-34', 'gender': 'male'}]",batley,4792807074069857,0,99,999,0,49.5
2021-06-28,nan,The Labour Party,Kim Leadbeater for Batley and Spen,,499.5,https://www.facebook.com/ads/archive/render_ad/?id=1277005136030951&access_token=EAAHdzu1fCTsBAOsZBY05KJixInxgto04Gpv8WhwDdNMJCeUFOXZClN2PvE5wL2TZARwZC7ZC7qkqQfeAh2vZBhZAURZBujXKwgEEmUjHFBwwK2261TIRTO7KP3h0jNSR0KDlPkQ8slNbZAf7a5838DJ1bNZCAQrboZCBPcPZAxnxe3Elg4DB5joNIcvaCWQndEKGNG1A4i6mtbGzCnq5mfolzM0yJt1EfG8MmZB7NlkPsnfAtrjg1baRHLBolycI4EO1ACSYZD,"[{'percentage': '0.166667', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.5', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.166667', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.166667', 'age': '45-54', 'gender': 'male'}]",batley,1277005136030951,0,99,999,0,49.5
