Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S92000003,Female,,0 to 14,,0,0,0,0,0,0,32,7.635245246
20200228,S92000003,Female,,0 to 59,,0,0,0,0,0,0,292,14.32326731
20200228,S92000003,Female,,15 to 19,,0,0,0,0,0,0,8,5.800758449
20200228,S92000003,Female,,20 to 24,,0,0,0,0,0,0,39,23.15185838
20200228,S92000003,Female,,25 to 44,,0,0,0,0,0,0,112,15.49392417
20200228,S92000003,Female,,45 to 64,,0,0,0,0,0,0,130,16.8356709
20200228,S92000003,Female,,60+,,0,0,0,0,0,0,63,8.26612189
20200228,S92000003,Female,,65 to 74,,0,0,0,0,0,0,28,9.155592759
20200228,S92000003,Female,,75 to 84,,0,0,0,0,0,0,4,2.083007863
20200228,S92000003,Female,,85plus,,0,0,0,0,0,0,2,2.426448286
20200228,S92000003,Female,,Total,d,0,0,0,0,0,0,355,12.67500432
20200228,S92000003,Male,,0 to 14,,0,0,0,0,0,0,49,11.11915422
20200228,S92000003,Male,,0 to 59,,1,2,0.09907317,0,0,0,300,14.86097557
20200228,S92000003,Male,,15 to 19,,0,0,0,0,0,0,7,4.854133295
20200228,S92000003,Male,,20 to 24,,0,0,0,0,0,0,15,8.655410786
20200228,S92000003,Male,,25 to 44,,0,0,0,0,0,0,120,16.9386018
20200228,S92000003,Male,,45 to 64,,1,2,0.276709372,0,0,0,131,18.12446388
20200228,S92000003,Male,,60+,,0,0,0,0,0,0,58,8.971356624
20200228,S92000003,Male,,65 to 74,,0,0,0,0,0,0,32,11.41068111
20200228,S92000003,Male,,75 to 84,,0,0,0,0,0,0,4,2.676014879
20200228,S92000003,Male,,Total,d,1,2,0.075040935,0,0,0,358,13.43232733
20200228,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,81,9.420905105
20200228,S92000003,Total,d,0 to 59,,1,2,0.049293246,0,0,0,594,14.64009399
20200228,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,15,5.316886431
20200228,S92000003,Total,d,20 to 24,,0,0,0,0,0,0,55,16.09340024
20200228,S92000003,Total,d,25 to 44,,0,0,0,0,0,0,233,16.27885042
20200228,S92000003,Total,d,45 to 64,,1,2,0.133783739,0,0,0,261,17.45877789
20200228,S92000003,Total,d,60+,,0,0,0,0,0,0,121,8.589790643
20200228,S92000003,Total,d,65 to 74,,0,0,0,0,0,0,60,10.23431463
20200228,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,8,2.342564992
20200228,S92000003,Total,d,85plus,,0,0,0,0,0,0,2,1.558712815
20200228,S92000003,Total,d,Total,d,1,2,0.036589828,0,0,0,715,13.08086352
20200229,S92000003,Female,,0 to 14,,0,0,0,0,0,0,39,9.305455144
20200229,S92000003,Female,,0 to 59,,0,0,0,0,0,0,313,15.35336531
20200229,S92000003,Female,,15 to 19,,0,0,0,0,0,0,9,6.525853255
20200229,S92000003,Female,,20 to 24,,0,0,0,0,0,0,41,24.33913317
20200229,S92000003,Female,,25 to 44,,0,0,0,0,0,0,118,16.32395582
20200229,S92000003,Female,,45 to 64,,0,0,0,0,0,0,136,17.61270187
20200229,S92000003,Female,,60+,,0,0,0,0,0,0,72,9.446996446
20200229,S92000003,Female,,65 to 74,,0,0,0,0,0,0,32,10.46353458
20200229,S92000003,Female,,75 to 84,,0,0,0,0,0,0,7,3.645263761
20200229,S92000003,Female,,85plus,,0,0,0,0,0,0,3,3.639672429
20200229,S92000003,Female,,Total,d,0,0,0,0,0,0,385,13.74613145
20200229,S92000003,Male,,0 to 14,,0,0,0,0,0,0,61,13.84221239
20200229,S92000003,Male,,0 to 59,,0,2,0.09907317,0,0,0,329,16.29753655
20200229,S92000003,Male,,15 to 19,,0,0,0,0,0,0,7,4.854133295
20200229,S92000003,Male,,20 to 24,,0,0,0,0,0,0,16,9.232438172
20200229,S92000003,Male,,25 to 44,,0,0,0,0,0,0,126,17.78553189
20200229,S92000003,Male,,45 to 64,,0,2,0.276709372,0,0,0,142,19.64636542
20200229,S92000003,Male,,60+,,0,0,0,0,0,0,67,10.36346369
20200229,S92000003,Male,,65 to 74,,0,0,0,0,0,0,37,13.19360003
20200229,S92000003,Male,,75 to 84,,0,0,0,0,0,0,6,4.014022318
20200229,S92000003,Male,,85plus,,0,0,0,0,0,0,1,2.179313952
20200229,S92000003,Male,,Total,d,0,2,0.075040935,0,0,0,396,14.8581051
20200229,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,100,11.63074704
20200229,S92000003,Total,d,0 to 59,,0,2,0.049293246,0,0,0,644,15.87242514
20200229,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,16,5.671345527
20200229,S92000003,Total,d,20 to 24,,0,0,0,0,0,0,58,16.97122207
20200229,S92000003,Total,d,25 to 44,,0,0,0,0,0,0,245,17.11724615
