Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
20201208,S92000003,Female,,16 - 17,,53579,,Dose 1,,0,,0,,0,,0,
20201208,S92000003,Female,,16 - 17,,53579,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Female,,18 - 29,,413185,,Dose 1,,166,,0.040175708,,166,,0.040175708,
20201208,S92000003,Female,,18 - 29,,413185,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Female,,30 - 39,,370019,,Dose 1,,294,,0.079455379,,294,,0.079455379,
20201208,S92000003,Female,,30 - 39,,370019,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Female,,40 - 49,,345328,,Dose 1,,386,,0.111777788,,386,,0.111777788,
20201208,S92000003,Female,,40 - 49,,345328,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Female,,50 - 54,,203758,,Dose 1,,225,,0.110425112,,225,,0.110425112,
20201208,S92000003,Female,,50 - 54,,203758,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Female,,55 - 59,,205996,,Dose 1,,269,,0.13058506,,269,,0.13058506,
20201208,S92000003,Female,,55 - 59,,205996,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Female,,60 - 64,,181868,,Dose 1,,129,,0.070930565,,129,,0.070930565,
20201208,S92000003,Female,,60 - 64,,181868,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Female,,65 - 69,,155904,,Dose 1,,27,,0.01731835,,27,,0.01731835,
20201208,S92000003,Female,,65 - 69,,155904,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Female,,70 - 74,,149920,,Dose 1,,5,,0.003335112,,5,,0.003335112,
20201208,S92000003,Female,,70 - 74,,149920,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Female,,75 - 79,,109004,,Dose 1,,0,,0,,0,,0,
20201208,S92000003,Female,,75 - 79,,109004,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Female,,80 years and over,d,165451,,Dose 1,,2,,0.001208817,,2,,0.001208817,
20201208,S92000003,Female,,80 years and over,d,165451,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,16 - 17,,56560,,Dose 1,,1,,0.001768034,,1,,0.001768034,
20201208,S92000003,Male,,16 - 17,,56560,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,18 - 29,,420762,,Dose 1,,35,,0.008318242,,35,,0.008318242,
20201208,S92000003,Male,,18 - 29,,420762,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,30 - 39,,359716,,Dose 1,,85,,0.023629752,,85,,0.023629752,
20201208,S92000003,Male,,30 - 39,,359716,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,40 - 49,,328962,,Dose 1,,113,,0.034350472,,113,,0.034350472,
20201208,S92000003,Male,,40 - 49,,328962,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,50 - 54,,189355,,Dose 1,,65,,0.034327058,,65,,0.034327058,
20201208,S92000003,Male,,50 - 54,,189355,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,55 - 59,,193348,,Dose 1,,51,,0.026377309,,51,,0.026377309,
20201208,S92000003,Male,,55 - 59,,193348,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,60 - 64,,170701,,Dose 1,,38,,0.022261147,,38,,0.022261147,
20201208,S92000003,Male,,60 - 64,,170701,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,65 - 69,,144529,,Dose 1,,11,,0.007610929,,11,,0.007610929,
20201208,S92000003,Male,,65 - 69,,144529,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,70 - 74,,135910,,Dose 1,,3,,0.002207343,,3,,0.002207343,
20201208,S92000003,Male,,70 - 74,,135910,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,75 - 79,,89206,,Dose 1,,0,,0,,0,,0,
20201208,S92000003,Male,,75 - 79,,89206,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Male,,80 years and over,d,106156,,Dose 1,,2,,0.00188402,,2,,0.00188402,
20201208,S92000003,Male,,80 years and over,d,106156,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,16 - 17,,110139,,Dose 1,,1,,0.000907944,,1,,0.000907944,
20201208,S92000003,Total,d,16 - 17,,110139,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,18 - 29,,833947,,Dose 1,,201,,0.024102251,,201,,0.024102251,
20201208,S92000003,Total,d,18 - 29,,833947,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,18 years and over,d,4439078,,Dose 1,,1906,,0.042936844,,1906,,0.042936844,
20201208,S92000003,Total,d,18 years and over,d,4439078,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,30 - 39,,729735,,Dose 1,,379,,0.051936662,,379,,0.051936662,
20201208,S92000003,Total,d,30 - 39,,729735,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,40 - 49,,674290,,Dose 1,,499,,0.074003767,,499,,0.074003767,
20201208,S92000003,Total,d,40 - 49,,674290,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,40 years and over,d,2875396,,Dose 1,,1326,,0.046115387,,1326,,0.046115387,
20201208,S92000003,Total,d,40 years and over,d,2875396,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,50 - 54,,393113,,Dose 1,,290,,0.073770137,,290,,0.073770137,
20201208,S92000003,Total,d,50 - 54,,393113,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,55 - 59,,399344,,Dose 1,,320,,0.080131416,,320,,0.080131416,
20201208,S92000003,Total,d,55 - 59,,399344,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,60 - 64,,352569,,Dose 1,,167,,0.047366615,,167,,0.047366615,
20201208,S92000003,Total,d,60 - 64,,352569,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,65 - 69,,300433,,Dose 1,,38,,0.012648411,,38,,0.012648411,
20201208,S92000003,Total,d,65 - 69,,300433,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,70 - 74,,285830,,Dose 1,,8,,0.002798866,,8,,0.002798866,
20201208,S92000003,Total,d,70 - 74,,285830,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,75 - 79,,198210,,Dose 1,,0,,0,,0,,0,
20201208,S92000003,Total,d,75 - 79,,198210,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,80 years and over,d,271607,,Dose 1,,4,,0.001472716,,4,,0.001472716,
20201208,S92000003,Total,d,80 years and over,d,271607,,Dose 2,,0,,0,,0,,0,
20201208,S92000003,Total,d,All vaccinations,d,,,Dose 1,,1907,,,z,1907,,,z
20201208,S92000003,Total,d,All vaccinations,d,,,Dose 2,,0,,,z,0,,,z
20201209,S92000003,Female,,16 - 17,,53579,,Dose 1,,0,,0,,0,,0,
20201209,S92000003,Female,,16 - 17,,53579,,Dose 2,,0,,0,,0,,0,
