"code","name","p_claimants","p_employ","p_n_employ","type","region"
"E14000573","Blackpool South",0.293789135217465,0.112244034523608,0.181587409037062,"r_wall","North West"
"E14000609","Burnley",0.247231541997169,0.0938657564532708,0.153346391792564,"r_wall","North West"
"E14001049","Wolverhampton North East",0.240205828148094,0.0874587157637356,0.15271061803186,"r_wall","West Midlands"
"E14000565","Birmingham, Northfield",0.231725352697785,0.0802771731002509,0.151381711228169,"r_wall","West Midlands"
"E14001030","West Bromwich West",0.217074682367524,0.0805013256206315,0.136538925042179,"r_wall","West Midlands"
"E14000578","Bolton North East",0.213272263930023,0.0740753495419795,0.13917969557132,"r_wall","North West"
"E14001029","West Bromwich East",0.210008129346942,0.0783307740944811,0.131659290037034,"r_wall","West Midlands"
"E14000671","Dudley North",0.206170968127967,0.0729187442658263,0.133312058717938,"r_wall","West Midlands"
"E14000758","Hyndburn",0.200548893923486,0.0747637730010499,0.125766701663259,"r_wall","North West"
"E14000972","Stoke-On-Trent Central",0.199894629750745,0.0766659399752925,0.123210522491098,"r_wall","West Midlands"
