date,num
1971 JAN,533.6
1971 FEB,552.3
1971 MAR,573.5
1971 APR,599.1
1971 MAY,641.7
1971 JUN,655.2
1971 JUL,662.9
1971 AUG,664.1
1971 SEP,684
1971 OCT,715.8
1971 NOV,747.6
1971 DEC,757.7
1972 JAN,754.1
1972 FEB,768.5
1972 MAR,779.6
1972 APR,775.9
1972 MAY,745.8
1972 JUN,722.4
1972 JUL,709.8
1972 AUG,692.7
1972 SEP,696.7
1972 OCT,680.7
1972 NOV,666.2
1972 DEC,639.4
1973 JAN,603.7
1973 FEB,574.3
1973 MAR,560.3
1973 APR,547.2
1973 MAY,537.6
1973 JUN,530.2
1973 JUL,506.3
1973 AUG,486.8
1973 SEP,469.4
1973 OCT,456.5
1973 NOV,441.2
1973 DEC,422.6
1974 JAN,468.7
1974 FEB,486.6
1974 MAR,494.8
1974 APR,497.4
1974 MAY,494.3
1974 JUN,508.9
1974 JUL,510.8
1974 AUG,530.2
1974 SEP,534.3
1974 OCT,539.7
1974 NOV,544.9
1974 DEC,558.5
1975 JAN,587.8
1975 FEB,609.1
1975 MAR,641.7
1975 APR,683.4
1975 MAY,734.4
1975 JUN,774.2
1975 JUL,818.7
1975 AUG,845.8
1975 SEP,877
1975 OCT,934.4
1975 NOV,970.1
1975 DEC,997.1
1976 JAN,1022
1976 FEB,1042.3
1976 MAR,1055.6
1976 APR,1070.1
1976 MAY,1088.2
1976 JUN,1085.5
1976 JUL,1093
1976 AUG,1107.6
1976 SEP,1107
1976 OCT,1097.8
1976 NOV,1105.1
1976 DEC,1108.8
1977 JAN,1111.1
1977 FEB,1107.4
1977 MAR,1107.9
1977 APR,1117.6
1977 MAY,1119.7
1977 JUN,1149.3
1977 JUL,1169.8
1977 AUG,1172.7
1977 SEP,1193.6
1977 OCT,1188.1
1977 NOV,1186.1
1977 DEC,1181.5
1978 JAN,1167.5
1978 FEB,1150.9
1978 MAR,1148.1
1978 APR,1147.3
1978 MAY,1140.6
1978 JUN,1140.3
1978 JUL,1134.6
1978 AUG,1144.6
1978 SEP,1130.2
1978 OCT,1115.4
1978 NOV,1094.7
1978 DEC,1083.8
1979 JAN,1089.1
1979 FEB,1109.4
1979 MAR,1106.7
1979 APR,1076.6
1979 MAY,1076.6
1979 JUN,1057.8
1979 JUL,1053.6
1979 AUG,1040.9
1979 SEP,1033.5
1979 OCT,1042.5
1979 NOV,1033
1979 DEC,1044.1
1980 JAN,1060.8
1980 FEB,1096
1980 MAR,1125.1
1980 APR,1172.3
1980 MAY,1211.1
1980 JUN,1261.9
1980 JUL,1324.8
1980 AUG,1421.5
1980 SEP,1491.6
1980 OCT,1579.6
1980 NOV,1689.8
1980 DEC,1777.4
1981 JAN,1842.3
1981 FEB,1911.2
1981 MAR,1984.3
1981 APR,2048.1
1981 MAY,2110.7
1981 JUN,2157.1
1981 JUL,2203.6
1981 AUG,2241.5
1981 SEP,2282.6
1981 OCT,2320
1981 NOV,2354.6
1981 DEC,2373.3
1982 JAN,2402.8
1982 FEB,2415.5
1982 MAR,2425.5
1982 APR,2454
1982 MAY,2468.4
1982 JUN,2498.9
1982 JUL,2528.1
1982 AUG,2554.4
1982 SEP,2582.7
1982 OCT,2616
1982 NOV,2642.6
1982 DEC,2673.7
1983 JAN,2691
1983 FEB,2699.8
1983 MAR,2723.4
1983 APR,2739.6
1983 MAY,2756.5
1983 JUN,2779.9
1983 JUL,2782.6
1983 AUG,2774
1983 SEP,2787.8
1983 OCT,2792.5
1983 NOV,2801.5
1983 DEC,2813.7
1984 JAN,2823.7
1984 FEB,2846.7
1984 MAR,2857.7
1984 APR,2847.5
1984 MAY,2863.9
1984 JUN,2868.5
1984 JUL,2884.9
1984 AUG,2893.7
1984 SEP,2925
1984 OCT,2936.6
1984 NOV,2949.1
1984 DEC,2955.7
1985 JAN,2964.9
1985 FEB,2982.8
1985 MAR,2977.1
1985 APR,2998.3
1985 MAY,3000.7
1985 JUN,2988.5
1985 JUL,2995.1
1985 AUG,2997.5
1985 SEP,3004.8
1985 OCT,3011.3
1985 NOV,3012.6
1985 DEC,3033.4
1986 JAN,3044.5
1986 FEB,3053.2
1986 MAR,3086.1
1986 APR,3076.3
1986 MAY,3084.4
1986 JUN,3085.8
1986 JUL,3090
1986 AUG,3087.6
1986 SEP,3072
1986 OCT,3052.7
1986 NOV,3045.6
1986 DEC,3021.4
1987 JAN,3014.9
