age,gender,coverage,type
18-29,m,4372747,ons
30-34,m,1900552,ons
35-39,m,1849111,ons
40-44,m,1700196,ons
45-49,m,1839293,ons
50-54,m,1926928,ons
55-59,m,1809613,ons
60-64,m,1527238,ons
65-69,m,1352800,ons
70-74,m,1330150,ons
75-79,m,900710,ons
80+,m,1152541,ons
18-29,f,4175278,ons
30-34,f,1907402,ons
35-39,f,1884531,ons
40-44,f,1714101,ons
45-49,f,1876519,ons
50-54,f,1980533,ons
55-59,f,1861038,ons
60-64,f,1584597,ons
65-69,f,1443940,ons
70-74,f,1449176,ons
75-79,f,1039976,ons
80+,f,1684423,ons
