week,Alpha,Beta,Delta,Gamma
01/02/2021,0.950434,0.001292,0.000000,0.000000
08/02/2021,0.962795,0.002154,0.000000,0.000074
15/02/2021,0.973134,0.001580,0.000000,0.000216
22/02/2021,0.971652,0.001752,0.000000,0.000319
01/03/2021,0.967878,0.003478,0.000000,0.000275
08/03/2021,0.973907,0.003464,0.000000,0.001032
15/03/2021,0.977398,0.004893,0.000155,0.000311
22/03/2021,0.981717,0.004459,0.000223,0.000372
29/03/2021,0.976230,0.005445,0.002199,0.001152
05/04/2021,0.949844,0.008781,0.013841,0.002084
12/04/2021,0.922119,0.008747,0.030782,0.002860
19/04/2021,0.877013,0.008893,0.074832,0.003020
26/04/2021,0.825253,0.007499,0.132194,0.004360
03/05/2021,0.698269,0.005441,0.264633,0.002968
10/05/2021,0.536821,0.003555,0.434908,0.000846
17/05/2021,0.343738,0.001195,0.640191,0.000797
24/05/2021,0.169625,0.001395,0.821628,0.000380
31/05/2021,0.234375,0.000000,0.742188,0.000000
