areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage
K02000001,United Kingdom,overview,09/06/2021,77.6,54.8
K02000001,United Kingdom,overview,08/06/2021,77.3,54.2
K02000001,United Kingdom,overview,07/06/2021,77,53.6
K02000001,United Kingdom,overview,06/06/2021,76.8,53
K02000001,United Kingdom,overview,05/06/2021,76.6,52.5
K02000001,United Kingdom,overview,04/06/2021,76.2,51.6
K02000001,United Kingdom,overview,03/06/2021,75.8,50.9
K02000001,United Kingdom,overview,02/06/2021,75.5,50.2
K02000001,United Kingdom,overview,01/06/2021,75.2,49.5
K02000001,United Kingdom,overview,31/05/2021,74.9,48.9
K02000001,United Kingdom,overview,30/05/2021,74.8,48.5
K02000001,United Kingdom,overview,29/05/2021,74.5,48.1
K02000001,United Kingdom,overview,28/05/2021,74.2,47.3
K02000001,United Kingdom,overview,27/05/2021,73.8,46.5
K02000001,United Kingdom,overview,26/05/2021,73.3,45.6
K02000001,United Kingdom,overview,25/05/2021,72.9,44.8
K02000001,United Kingdom,overview,24/05/2021,72.5,44.1
K02000001,United Kingdom,overview,23/05/2021,72.3,43.5
K02000001,United Kingdom,overview,22/05/2021,72,43
K02000001,United Kingdom,overview,21/05/2021,71.6,41.9
K02000001,United Kingdom,overview,20/05/2021,71.2,41.1
K02000001,United Kingdom,overview,19/05/2021,70.7,40.3
K02000001,United Kingdom,overview,18/05/2021,70.2,39.6
K02000001,United Kingdom,overview,17/05/2021,69.9,39
K02000001,United Kingdom,overview,16/05/2021,69.7,38.5
K02000001,United Kingdom,overview,15/05/2021,69.4,38.2
K02000001,United Kingdom,overview,14/05/2021,69,37.4
K02000001,United Kingdom,overview,13/05/2021,68.6,36.7
K02000001,United Kingdom,overview,12/05/2021,68.2,35.9
K02000001,United Kingdom,overview,11/05/2021,67.8,35
K02000001,United Kingdom,overview,10/05/2021,67.6,34.3
K02000001,United Kingdom,overview,09/05/2021,67.3,33.9
K02000001,United Kingdom,overview,08/05/2021,67.2,33.5
K02000001,United Kingdom,overview,07/05/2021,66.8,32.7
K02000001,United Kingdom,overview,06/05/2021,66.6,31.8
K02000001,United Kingdom,overview,05/05/2021,66.3,30.9
K02000001,United Kingdom,overview,04/05/2021,66.1,30.2
K02000001,United Kingdom,overview,03/05/2021,65.8,29.7
K02000001,United Kingdom,overview,02/05/2021,65.7,29.4
K02000001,United Kingdom,overview,01/05/2021,65.5,29.1
K02000001,United Kingdom,overview,30/04/2021,65.2,28.4
K02000001,United Kingdom,overview,29/04/2021,65,27.6
K02000001,United Kingdom,overview,28/04/2021,64.7,26.7
K02000001,United Kingdom,overview,27/04/2021,64.5,25.8
K02000001,United Kingdom,overview,26/04/2021,64.3,25.1
K02000001,United Kingdom,overview,25/04/2021,64.1,24.5
K02000001,United Kingdom,overview,24/04/2021,63.9,24
K02000001,United Kingdom,overview,23/04/2021,63.6,23
K02000001,United Kingdom,overview,22/04/2021,63.4,22.1
K02000001,United Kingdom,overview,21/04/2021,63.1,21.2
K02000001,United Kingdom,overview,20/04/2021,62.9,20.5
K02000001,United Kingdom,overview,19/04/2021,62.7,19.8
K02000001,United Kingdom,overview,18/04/2021,62.5,19.3
K02000001,United Kingdom,overview,17/04/2021,62.4,18.9
K02000001,United Kingdom,overview,16/04/2021,62.1,17.9
K02000001,United Kingdom,overview,15/04/2021,61.8,17
K02000001,United Kingdom,overview,14/04/2021,61.6,16.2
K02000001,United Kingdom,overview,13/04/2021,61.4,15.5
K02000001,United Kingdom,overview,12/04/2021,61.2,14.9
K02000001,United Kingdom,overview,11/04/2021,61.1,14.5
K02000001,United Kingdom,overview,10/04/2021,61,14.2
