areaCode,areaName,areaType,date,newCasesBySpecimenDateChangePercentage,newCasesBySpecimenDateRollingRate,lad19cd,Long,Lat
E07000217,Woking,ltla,2021-06-30,88.5,114.1,E07000217,-0.57982,51.308369
E08000006,Salford,ltla,2021-06-30,25.1,501.1,E08000006,-2.38485,53.479271
E06000002,Middlesbrough,ltla,2021-06-30,200.0,291.5,E06000002,-1.21099,54.54467
E06000020,Telford and Wrekin,ltla,2021-06-30,70.1,209.1,E06000020,-2.48941,52.714169
N09000001,Antrim and Newtownabbey,ltla,2021-06-30,152.3,77.3,N09000001,-6.1776,54.693859
S12000008,East Ayrshire,ltla,2021-06-30,34.3,452.4,S12000008,-4.29057,55.496738
S12000014,Falkirk,ltla,2021-06-30,74.5,336.3,S12000014,-3.7706,55.99604
E08000019,Sheffield,ltla,2021-06-30,120.3,238.0,E08000019,-1.54254,53.40358
E08000033,Calderdale,ltla,2021-06-30,46.6,332.0,E08000033,-1.96182,53.720482
W06000012,Neath Port Talbot,ltla,2021-06-30,41.7,47.4,W06000012,-3.74638,51.644501
E09000022,Lambeth,ltla,2021-06-30,61.8,273.0,E09000022,-0.11385,51.464451
E09000010,Enfield,ltla,2021-06-30,69.3,102.5,E09000010,-0.08147,51.64888
N09000002,"Armagh City, Banbridge and Craigavon",ltla,2021-06-30,65.2,52.7,N09000002,-6.43455,54.3867
S12000017,Highland,ltla,2021-06-30,140.8,243.0,S12000017,-4.66103,57.586571
S12000033,Aberdeen City,ltla,2021-06-30,77.9,401.5,S12000033,-2.20398,57.166969
S12000047,Fife,ltla,2021-06-30,124.1,438.5,S12000047,-2.98235,56.231171
E07000165,Harrogate,ltla,2021-06-30,85.6,249.3,E07000165,-1.58161,54.07708
E07000222,Warwick,ltla,2021-06-30,82.6,438.3,E07000222,-1.58369,52.301418
W06000015,Cardiff,ltla,2021-06-30,104.1,134.1,W06000015,-3.22208,51.502541
W06000021,Monmouthshire,ltla,2021-06-30,118.2,76.1,W06000021,-2.9028,51.778271
E09000006,Bromley,ltla,2021-06-30,69.5,107.1,E09000006,0.039246,51.372669
E09000015,Harrow,ltla,2021-06-30,74.6,128.6,E09000015,-0.33603,51.594669
S12000041,Angus,ltla,2021-06-30,98.5,452.7,S12000041,-2.89189,56.7248
W06000003,Conwy,ltla,2021-06-30,47.2,133.1,W06000003,-3.74646,53.147388
E08000003,Manchester,ltla,2021-06-30,21.4,522.9,E08000003,-2.23359,53.470089
N09000009,Mid Ulster,ltla,2021-06-30,103.4,79.4,N09000009,-6.8889,54.552731
N09000004,Causeway Coast and Glens,ltla,2021-06-30,48.8,130.5,N09000004,-6.5996,55.039619
E09000029,Sutton,ltla,2021-06-30,104.0,172.0,E09000029,-0.17227,51.357559
E09000008,Croydon,ltla,2021-06-30,66.1,143.0,E09000008,-0.07761,51.365978
S12000030,Stirling,ltla,2021-06-30,93.7,291.9,S12000030,-4.32595,56.249531
E07000219,Nuneaton and Bedworth,ltla,2021-06-30,114.7,191.7,E07000219,-1.47965,52.500938
