testdate,location,new_cases_per_million,direction,date,people_vaccinated_per_hundred,type,Lat,Long
2021-07-05,Afghanistan,37.379999999999995,up,2021-07-05,1.87,red,33.93911,67.709953
2021-07-05,Albania,1.191142857142857,down,2021-07-05,19.95,amber,41.153332,20.168331
2021-07-05,Algeria,10.183714285714286,up,2021-06-06,5.7,amber,28.033886,1.659626
2021-07-05,Andorra,66.56114285714285,down,2021-06-28,53.99,amber,42.546245,1.601554
2021-07-05,Angola,2.9859999999999998,down,2021-07-05,2.9,red,-11.202692,17.873887
2021-07-05,Antigua and Barbuda,1.4588571428571429,down,2021-07-01,37.36,green,17.060816,-61.796428
2021-07-05,Argentina,408.1101428571428,down,2021-07-05,39.85,red,-38.416097,-63.616672
2021-07-05,Armenia,36.39842857142857,down,2021-06-27,1.97,amber,40.069099,45.038189
2021-07-05,Australia,1.518285714285714,down,2021-07-05,25.01,green,-25.274398,133.775136
2021-07-05,Austria,7.819857142857144,up,2021-07-05,54.34,amber,47.516231,14.550072
2021-07-05,Azerbaijan,8.524285714285714,down,2021-07-05,23.13,amber,40.143105,47.576927
2021-07-05,Bahamas,123.8767142857143,down,2021-07-02,15.19,amber,25.03428,-77.39628
2021-07-05,Bahrain,90.67185714285714,down,2021-07-05,63.23,red,25.930414,50.637772
2021-07-05,Bangladesh,50.40757142857143,up,2021-07-05,3.54,red,23.684994,90.356331
2021-07-05,Barbados,4.474142857142857,down,2021-07-02,33.24,green,13.193887,-59.543198
2021-07-05,Belarus,93.49128571428571,up,2021-06-13,7.4,amber,53.709807,27.953389
2021-07-05,Belgium,60.21399999999999,up,2021-07-04,63.83,amber,50.503887,4.469936
2021-07-05,Belize,72.57442857142857,down,2021-07-02,22.86,amber,17.189877,-88.49765
2021-07-05,Benin,0.3417142857142857,down,2021-06-28,0.3,amber,9.30769,2.315834
2021-07-05,Bhutan,19.810285714285715,down,2021-06-27,62.9,amber,27.514162,90.433601
2021-07-05,Bolivia,132.09942857142858,down,2021-07-02,16.51,red,-16.290154,-63.588653
2021-07-05,Bosnia and Herzegovina,2.4382857142857146,down,2021-06-25,9.2,amber,43.915886,17.679076
2021-07-05,Botswana,261.03528571428575,up,2021-06-28,6.76,red,-22.328474,24.684866
2021-07-05,Brazil,231.26914285714287,down,2021-07-05,37.14,red,-14.235004,-51.92528
2021-07-05,Brunei,0.9797142857142858,down,2021-07-04,17.54,green,4.535277,114.727669
2021-07-05,Bulgaria,10.382571428571428,down,2021-07-05,14.02,amber,42.733883,25.48583
2021-07-05,Burkina Faso,0.10257142857142856,up,2021-06-28,0.12,amber,12.238333,-1.561593
2021-07-05,Burundi,1.1772857142857143,down,,,red,-3.373056,29.918886
2021-07-05,Cambodia,56.86442857142857,up,2021-07-04,27.13,amber,12.565679,104.990963
2021-07-05,Cameroon,1.9965714285714287,down,2021-06-28,0.33,amber,7.369722,12.354722
2021-07-05,Canada,13.520285714285714,up,2021-07-05,68.73,amber,56.130366,-106.346771
2021-07-05,Cape Verde,88.90214285714285,down,2021-07-05,16.13,red,16.002082,-24.013197
2021-07-05,Central African Republic,0.1,zero,2021-06-30,1.63,amber,6.611111,20.939444
2021-07-05,Chad,0.008714285714285714,up,2021-06-28,0.06,amber,15.454166,18.732207
2021-07-05,Chile,160.4547142857143,up,2021-07-03,67.31,red,-35.675147,-71.542969
2021-07-05,China,0.012,up,2021-06-10,43.21,amber,35.86166,104.195397
2021-07-05,Colombia,529.6952857142858,down,2021-07-04,23.55,red,4.570868,-74.297333
2021-07-05,Comoros,7.556857142857143,down,2021-06-08,4.96,amber,-11.875001,43.872219
2021-07-05,Costa Rica,280.99657142857143,down,2021-06-28,31.98,red,9.748917,-83.753428
2021-07-05,Cote d'Ivoire,2.0415714285714284,down,2021-07-04,3.02,amber,7.539989,-5.54708
2021-07-05,Croatia,20.183,down,2021-07-04,36.74,amber,45.1,15.2
2021-07-05,Cuba,282.25528571428566,up,2021-07-03,25.33,amber,21.521757,-77.781167
2021-07-05,Cyprus,596.8434285714286,up,2021-07-05,52.84,amber,35.126413,33.429859
2021-07-05,Czechia,14.580571428571428,down,2021-07-05,47.86,amber,49.817492,15.472962
2021-07-05,Democratic Republic of Congo,3.4741428571428576,up,2021-06-24,0.05,red,-4.038333,21.758664
2021-07-05,Denmark,63.45971428571429,up,2021-07-04,59.03,amber,56.26392,9.501785
2021-07-05,Djibouti,0.722857142857143,up,2021-06-01,1.27,amber,11.825138,42.590275
2021-07-05,Dominica,1.9844285714285714,up,2021-07-02,28.32,green,15.414999,-61.370976
2021-07-05,Dominican Republic,77.44742857142856,down,2021-07-04,46.37,amber,18.735693,-70.162651
2021-07-05,Ecuador,55.91842857142858,down,2021-07-03,16.83,red,-1.831239,-78.183406
2021-07-05,Egypt,2.075857142857143,down,2021-07-04,3.48,red,26.820553,30.802498
2021-07-05,El Salvador,32.35442857142857,up,2021-07-02,26.64,amber,13.794185,-88.89653
2021-07-05,Equatorial Guinea,3.6655714285714285,down,2021-07-02,10.95,amber,1.650801,10.267895
2021-07-05,Eritrea,9.788571428571428,down,,,amber,15.179384,39.782334
2021-07-05,Estonia,24.123,down,2021-07-05,42.96,amber,58.595272,25.013607
2021-07-05,Ethiopia,0.6572857142857143,down,2021-06-08,1.65,red,9.145,40.489673
2021-07-05,Fiji,427.2438571428571,up,2021-06-29,31.12,amber,-16.578193,179.414413
2021-07-05,Finland,36.12228571428572,down,2021-07-04,60.87,amber,61.92411,25.748151
2021-07-05,France,34.85142857142857,down,2021-07-04,51.13,amber,46.227638,2.213749
2021-07-05,Gabon,7.8304285714285715,up,2021-06-30,1.73,amber,-0.803689,11.609444
2021-07-05,Gambia,2.7782857142857145,up,2021-06-30,1.29,amber,13.443182,-15.310139
2021-07-05,Georgia,215.2968571428571,down,2021-07-02,6.67,amber,42.315407,43.356892
2021-07-05,Germany,6.874714285714286,down,2021-07-04,56.06,amber,51.165691,10.451526
2021-07-05,Ghana,4.257285714285714,down,2021-07-05,2.78,amber,7.946527,-1.023194
2021-07-05,Greece,78.08228571428572,up,2021-07-05,48.3,amber,39.074208,21.824312
2021-07-05,Grenada,0.1,zero,2021-07-02,17.8,green,12.262776,-61.604171
2021-07-05,Guatemala,84.18085714285715,down,2021-07-04,4.5,amber,15.783471,-90.230759
2021-07-05,Guinea,1.3812857142857144,up,2021-06-30,3.06,amber,9.945587,-9.696645
2021-07-05,Guinea-Bissau,2.540571428571429,down,2021-07-05,1.11,amber,11.803749,-15.180413
2021-07-05,Guyana,90.44828571428572,down,2021-07-02,29.78,red,4.860416,-58.93018
2021-07-05,Haiti,9.271142857142857,down,,,amber,18.971187,-72.285215
2021-07-05,Honduras,125.03571428571429,down,2021-07-03,8.54,amber,15.199999,-86.241905
2021-07-05,Hong Kong,0.43814285714285717,down,2021-07-05,32.1,amber,22.396428,114.109497
2021-07-05,Hungary,3.2535714285714286,down,2021-07-05,57.07,amber,47.162494,19.503304
2021-07-05,Iceland,0.1,zero,2021-07-02,76.79,green,64.963051,-19.020835
2021-07-05,India,31.37,down,2021-07-05,20.78,red,20.593684,78.96288
2021-07-05,Indonesia,92.87828571428572,up,2021-07-05,11.81,amber,-0.789275,113.921327
2021-07-05,Iran,154.35142857142858,up,2021-06-29,4.85,amber,32.427908,53.688046
2021-07-05,Iraq,168.5587142857143,up,2021-06-20,1.36,amber,33.223191,43.679291
2021-07-05,Ireland,88.29857142857142,up,2021-07-04,53.75,green,53.41291,-8.24389
2021-07-05,Israel,37.449285714285715,up,2021-07-05,65.43,green,31.046051,34.851612
2021-07-05,Italy,12.619571428571428,down,2021-07-05,56.93,amber,41.87194,12.56738
