areaCode,areaName,areaType,date,newAdmissions,newAdmissionsChangePercentage,newAdmissionsRollingRate
K02000001,United Kingdom,overview,2021-06-27,259,11.4,2.6
K02000001,United Kingdom,overview,2021-06-26,264,6.6,2.5
K02000001,United Kingdom,overview,2021-06-25,246,5.4,2.4
K02000001,United Kingdom,overview,2021-06-24,245,8.5,2.4
K02000001,United Kingdom,overview,2021-06-23,267,10.8,2.4
K02000001,United Kingdom,overview,2021-06-22,231,10.7,2.3
K02000001,United Kingdom,overview,2021-06-21,223,13.5,2.3
K02000001,United Kingdom,overview,2021-06-20,204,17.4,2.3
K02000001,United Kingdom,overview,2021-06-19,211,25.3,2.4
K02000001,United Kingdom,overview,2021-06-18,233,28.2,2.3
K02000001,United Kingdom,overview,2021-06-17,237,29.2,2.2
K02000001,United Kingdom,overview,2021-06-16,225,34.9,2.2
K02000001,United Kingdom,overview,2021-06-15,227,39.3,2.1
K02000001,United Kingdom,overview,2021-06-14,221,40.1,2.1
K02000001,United Kingdom,overview,2021-06-13,222,42.7,2.0
K02000001,United Kingdom,overview,2021-06-12,178,41.5,1.9
K02000001,United Kingdom,overview,2021-06-11,177,38.7,1.8
K02000001,United Kingdom,overview,2021-06-10,200,30.5,1.7
K02000001,United Kingdom,overview,2021-06-09,188,21.9,1.6
K02000001,United Kingdom,overview,2021-06-08,188,14.7,1.5
K02000001,United Kingdom,overview,2021-06-07,174,13.9,1.5
K02000001,United Kingdom,overview,2021-06-06,153,6.4,1.4
K02000001,United Kingdom,overview,2021-06-05,124,1.5,1.3
K02000001,United Kingdom,overview,2021-06-04,124,-2.8,1.3
K02000001,United Kingdom,overview,2021-06-03,124,0.8,1.3
K02000001,United Kingdom,overview,2021-06-02,127,0.1,1.3
K02000001,United Kingdom,overview,2021-06-01,155,0.8,1.3
K02000001,United Kingdom,overview,2021-05-31,123,-1.3,1.3
K02000001,United Kingdom,overview,2021-05-30,112,4.4,1.3
K02000001,United Kingdom,overview,2021-05-29,103,9.4,1.3
K02000001,United Kingdom,overview,2021-05-28,138,15.8,1.3
K02000001,United Kingdom,overview,2021-05-27,124,17.6,1.3
K02000001,United Kingdom,overview,2021-05-26,129,22.7,1.3
K02000001,United Kingdom,overview,2021-05-25,132,23.3,1.3
K02000001,United Kingdom,overview,2021-05-24,136,26.6,1.3
K02000001,United Kingdom,overview,2021-05-23,114,21.1,1.3
K02000001,United Kingdom,overview,2021-05-22,120,12.0,1.2
K02000001,United Kingdom,overview,2021-05-21,120,5.0,1.2
K02000001,United Kingdom,overview,2021-05-20,130,0.0,1.1
K02000001,United Kingdom,overview,2021-05-19,125,-5.5,1.1
K02000001,United Kingdom,overview,2021-05-18,127,-6.3,1.1
K02000001,United Kingdom,overview,2021-05-17,101,-8.7,1.0
K02000001,United Kingdom,overview,2021-05-16,78,-10.8,1.0
K02000001,United Kingdom,overview,2021-05-15,90,-9.7,1.1
K02000001,United Kingdom,overview,2021-05-14,93,-6.3,1.1
K02000001,United Kingdom,overview,2021-05-13,104,-5.8,1.1
K02000001,United Kingdom,overview,2021-05-12,118,-1.4,1.1
K02000001,United Kingdom,overview,2021-05-11,105,-0.7,1.1
K02000001,United Kingdom,overview,2021-05-10,103,-8.9,1.1
K02000001,United Kingdom,overview,2021-05-09,102,-7.6,1.2
K02000001,United Kingdom,overview,2021-05-08,109,-7.7,1.2
K02000001,United Kingdom,overview,2021-05-07,103,-11.6,1.2
K02000001,United Kingdom,overview,2021-05-06,120,-15.1,1.2
K02000001,United Kingdom,overview,2021-05-05,117,-18.8,1.2
K02000001,United Kingdom,overview,2021-05-04,101,-24.4,1.1
K02000001,United Kingdom,overview,2021-05-03,123,-15.2,1.2
K02000001,United Kingdom,overview,2021-05-02,119,-17.9,1.3
K02000001,United Kingdom,overview,2021-05-01,100,-16.3,1.3
K02000001,United Kingdom,overview,2021-04-30,110,-16.0,1.3
