areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinesGivenByPublishDate,lad19cd,Long,Lat
E06000003,Redcar and Cleveland,ltla,2021-07-04,78381,93569,81.6,68.4,171950,E06000003,-1.00608,54.56752
E07000106,Canterbury,ltla,2021-07-04,80993,108456,76.0,56.7,189449,E07000106,1.096342,51.281021
E07000037,High Peak,ltla,2021-07-04,54769,67747,86.6,70.0,122516,E07000037,-1.84398,53.385689
E06000058,"Bournemouth, Christchurch and Poole",ltla,2021-07-04,216488,271655,76.4,60.9,488143,E06000058,-1.84807,50.74609
E06000027,Torbay,ltla,2021-07-04,81762,99338,83.2,68.5,181100,E06000027,-3.55523,50.470921
E06000024,North Somerset,ltla,2021-07-04,123450,159045,86.2,66.9,282495,E06000024,-2.75439,51.397072
E06000016,Leicester,ltla,2021-07-04,150468,212862,66.3,46.9,363330,E06000016,-1.1304,52.635921
S12000006,Dumfries and Galloway,ltla,2021-07-04,86066,113863,92.8,70.2,199929,S12000006,-4.02863,55.09621
E09000027,Richmond upon Thames,ltla,2021-07-04,95455,136294,75.0,52.5,231749,E09000027,-0.28914,51.44035
E08000002,Bury,ltla,2021-07-04,95339,125950,78.2,59.1,221289,E08000002,-2.3088,53.593102
E07000174,Mansfield,ltla,2021-07-04,58718,74225,79.8,63.2,132943,E07000174,-1.17804,53.16703
E07000172,Broxtowe,ltla,2021-07-04,60755,80289,81.3,61.5,141044,E07000172,-1.25944,52.972099
E07000150,Corby,ltla,2021-07-04,30783,42976,68.3,48.9,73759,E07000150,-0.7069,52.506969
E07000144,Broadland,ltla,2021-07-04,77059,98692,88.7,69.3,175751,E07000144,1.252317,52.69622
E07000143,Breckland,ltla,2021-07-04,81431,101785,83.4,66.7,183216,E07000143,0.818716,52.594212
E07000098,Hertsmere,ltla,2021-07-04,57639,71962,77.1,61.7,129601,E07000098,-0.26899,51.680168
E07000081,Gloucester,ltla,2021-07-04,65605,87269,81.2,61.0,152874,E07000081,-2.23263,51.846409
E07000046,Torridge,ltla,2021-07-04,40700,51047,86.8,69.2,91747,E07000046,-4.21728,50.907391
E07000107,Dartford,ltla,2021-07-04,51133,69201,76.7,56.6,120334,E07000107,0.245276,51.433731
E07000133,Melton,ltla,2021-07-04,30204,37686,87.0,69.8,67890,E07000133,-0.8544,52.803291
E07000163,Craven,ltla,2021-07-04,37344,43800,88.3,75.3,81144,E07000163,-2.16168,54.053761
E07000216,Waverley,ltla,2021-07-04,71483,91997,84.5,65.7,163480,E07000216,-0.62343,51.15686
S12000042,Dundee City,ltla,2021-07-04,70730,98271,80.2,57.7,169001,S12000042,-2.97095,56.4776
S12000030,Stirling,ltla,2021-07-04,47238,66352,86.4,61.5,113590,S12000030,-4.32595,56.249531
S12000014,Falkirk,ltla,2021-07-04,82427,116608,90.1,63.7,199035,S12000014,-3.7706,55.99604
S12000008,East Ayrshire,ltla,2021-07-04,65359,88596,90.0,66.4,153955,S12000008,-4.29057,55.496738
E08000003,Manchester,ltla,2021-07-04,200729,314180,61.1,39.1,514909,E08000003,-2.23359,53.470089
E07000222,Warwick,ltla,2021-07-04,76332,102690,80.5,59.9,179022,E07000222,-1.58369,52.301418
E07000165,Harrogate,ltla,2021-07-04,97104,118142,82.9,68.2,215246,E07000165,-1.58161,54.07708
E07000132,Hinckley and Bosworth,ltla,2021-07-04,63066,80830,85.3,66.6,143896,E07000132,-1.41755,52.608768
E07000005,Chiltern,ltla,2021-07-04,53296,68826,85.0,65.8,122122,E07000005,-0.62112,51.678902
E07000117,Burnley,ltla,2021-07-04,42415,56524,74.3,55.8,98939,E07000117,-2.2308,53.774059
E07000043,North Devon,ltla,2021-07-04,55317,72682,85.3,64.9,127999,E07000043,-3.92691,51.07621
E07000041,Exeter,ltla,2021-07-04,59804,87453,74.0,50.6,147257,E07000041,-3.51368,50.717819
E06000033,Southend-on-Sea,ltla,2021-07-04,93227,118581,77.3,60.8,211808,E06000033,0.706923,51.549171
E06000012,North East Lincolnshire,ltla,2021-07-04,80805,104854,79.7,61.4,185659,E06000012,-0.13911,53.52327
S12000034,Aberdeenshire,ltla,2021-07-04,142213,187292,90.7,68.8,329505,S12000034,-2.79208,57.234692
E09000012,Hackney and City of London,ltla,2021-07-04,90129,158029,57.5,32.8,248158,,,
E08000017,Doncaster,ltla,2021-07-04,168951,208345,79.6,64.6,377296,E08000017,-1.10894,53.52697
E07000241,Welwyn Hatfield,ltla,2021-07-04,54097,74286,71.6,52.1,128383,E07000241,-0.18518,51.760872
E07000112,Folkestone and Hythe,ltla,2021-07-04,62843,79075,83.9,66.7,141918,E07000112,1.000795,51.072128
E06000015,Derby,ltla,2021-07-04,129124,167674,75.0,57.7,296798,E06000015,-1.47189,52.914639
S12000050,North Lanarkshire,ltla,2021-07-04,174226,242879,89.7,64.3,417105,S12000050,-3.9514,55.868141
S12000028,South Ayrshire,ltla,2021-07-04,64681,86068,92.7,69.7,150749,S12000028,-4.72899,55.23008
E07000075,Rochford,ltla,2021-07-04,49289,62259,85.5,67.7,111548,E07000075,0.683442,51.5909
E07000065,Wealden,ltla,2021-07-04,92069,115434,84.9,67.7,207503,E07000065,0.205156,50.93322
E07000062,Hastings,ltla,2021-07-04,45444,59650,76.5,58.3,105094,E07000062,0.578395,50.867241
E07000029,Copeland,ltla,2021-07-04,39462,49877,87.8,69.5,89339,E07000029,-3.37664,54.466171
E07000028,Carlisle,ltla,2021-07-04,58698,76585,83.8,64.2,135283,E07000028,-2.80498,54.978329
E06000014,York,ltla,2021-07-04,98757,141061,77.4,54.2,239818,E06000014,-1.07375,53.96582
E07000223,Adur,ltla,2021-07-04,36664,46211,85.6,68.0,82875,E07000223,-0.32417,50.845718
E07000213,Spelthorne,ltla,2021-07-04,50439,70147,79.2,57.0,120586,E07000213,-0.46254,51.41552
E07000113,Swale,ltla,2021-07-04,74684,99234,78.5,59.1,173918,E07000113,0.776893,51.32251
E07000202,Ipswich,ltla,2021-07-04,68270,89153,74.1,56.7,157423,E07000202,1.166145,52.05592
E07000136,Boston,ltla,2021-07-04,34670,44343,67.7,52.9,79013,E07000136,-0.11218,52.97794
E07000103,Watford,ltla,2021-07-04,46297,64180,72.4,52.2,110477,E07000103,-0.40429,51.6717
E07000087,Fareham,ltla,2021-07-04,68877,85486,87.0,70.1,154363,E07000087,-1.23742,50.853882
E06000042,Milton Keynes,ltla,2021-07-04,124225,177337,74.7,52.3,301562,E06000042,-0.7407,52.072411
E06000041,Wokingham,ltla,2021-07-04,85761,122597,83.8,58.6,208358,E06000041,-0.89935,51.422958
E06000036,Bracknell Forest,ltla,2021-07-04,57842,84035,81.5,56.1,141877,E06000036,-0.73363,51.411301
E06000011,East Riding of Yorkshire,ltla,2021-07-04,203583,254497,86.8,69.4,458080,E06000011,-0.66195,53.881119
S12000027,Shetland Islands,ltla,2021-07-04,14409,16955,93.0,79.0,31364,S12000027,-1.37344,60.504951
E07000152,East Northamptonshire,ltla,2021-07-04,49002,65001,84.3,63.5,114003,E07000152,-0.5092,52.479092
E06000045,Southampton,ltla,2021-07-04,105726,152120,66.9,46.5,257846,E06000045,-1.39952,50.9212
E07000156,Wellingborough,ltla,2021-07-04,40314,53318,75.9,57.4,93632,E07000156,-0.71425,52.29258
E07000188,Sedgemoor,ltla,2021-07-04,67763,89925,84.8,63.9,157688,E07000188,-2.88246,51.19186
E09000014,Haringey,ltla,2021-07-04,103815,155230,58.2,39.0,259045,E09000014,-0.10667,51.587711
E08000031,Wolverhampton,ltla,2021-07-04,120150,160629,70.8,53.0,280779,E08000031,-2.12746,52.597881
E08000023,South Tyneside,ltla,2021-07-04,79896,102392,79.8,62.3,182288,E08000023,-1.44679,54.969879
E08000007,Stockport,ltla,2021-07-04,155790,205078,82.5,62.7,360868,E08000007,-2.12467,53.391159
E07000196,South Staffordshire,ltla,2021-07-04,67798,82555,86.6,71.1,150353,E07000196,-2.15495,52.696918
E07000181,West Oxfordshire,ltla,2021-07-04,60272,82079,84.6,62.1,142351,E07000181,-1.50292,51.839901
E07000179,South Oxfordshire,ltla,2021-07-04,79936,107970,85.9,63.6,187906,E07000179,-1.07847,51.622879
E07000139,North Kesteven,ltla,2021-07-04,69320,87507,88.4,70.0,156827,E07000139,-0.4767,53.080582
E07000166,Richmondshire,ltla,2021-07-04,27133,37955,81.8,58.5,65088,E07000166,-1.98552,54.357609
E07000118,Chorley,ltla,2021-07-04,63950,81882,84.0,65.6,145832,E07000118,-2.61921,53.672401
E07000061,Eastbourne,ltla,2021-07-04,57683,71746,80.8,64.9,129429,E07000061,0.258516,50.773869
E06000050,Cheshire West and Chester,ltla,2021-07-04,189212,249122,82.8,62.9,438334,E06000050,-2.70298,53.163361
E06000023,"Bristol, City of",ltla,2021-07-04,193497,303093,71.3,45.5,496590,E06000023,-2.57742,51.471149
S12000029,South Lanarkshire,ltla,2021-07-04,173641,240829,93.2,67.2,414470,S12000029,-3.83272,55.60453
S12000013,Comhairle nan Eilean Siar,ltla,2021-07-04,18637,20158,91.9,85.0,38795,,,
E08000035,Leeds,ltla,2021-07-04,366101,512402,72.0,51.4,878503,E08000035,-1.50736,53.822731
E07000237,Worcester,ltla,2021-07-04,50001,69991,80.2,57.3,119992,E07000237,-2.21025,52.19482
E07000210,Mole Valley,ltla,2021-07-04,49953,64380,83.9,65.1,114333,E07000210,-0.30603,51.227489
E07000070,Chelmsford,ltla,2021-07-04,92622,124989,82.2,60.9,217611,E07000070,0.491177,51.735031
S12000010,East Lothian,ltla,2021-07-04,56585,77031,90.3,66.4,133616,S12000010,-2.72435,55.94207
E07000007,Wycombe,ltla,2021-07-04,86904,118450,79.5,58.3,205354,E07000007,-0.80883,51.666199
E07000151,Daventry,ltla,2021-07-04,47914,62350,82.7,63.6,110264,E07000151,-1.01447,52.30994
E08000008,Tameside,ltla,2021-07-04,114829,149772,77.9,59.7,264601,E08000008,-2.077,53.478668
E08000005,Rochdale,ltla,2021-07-04,101539,136805,74.2,55.1,238344,E08000005,-2.14784,53.60741
E07000226,Crawley,ltla,2021-07-04,52962,73099,75.1,54.4,126061,E07000226,-0.19533,51.123569
E07000208,Epsom and Ewell,ltla,2021-07-04,40873,55595,81.0,59.6,96468,E07000208,-0.26172,51.339451
E07000194,Lichfield,ltla,2021-07-04,62254,79887,86.6,67.5,142141,E07000194,-1.76049,52.696152
E07000147,North Norfolk,ltla,2021-07-04,65441,79409,87.3,72.0,144850,E07000147,1.132099,52.833889
E07000134,North West Leicestershire,ltla,2021-07-04,57494,73583,86.3,67.4,131077,E07000134,-1.42209,52.7425
E07000127,West Lancashire,ltla,2021-07-04,65889,79199,82.0,68.2,145088,E07000127,-2.86893,53.612831
E07000115,Tonbridge and Malling,ltla,2021-07-04,67913,89641,84.3,63.9,157554,E07000115,0.349306,51.260639
E07000109,Gravesham,ltla,2021-07-04,50566,66596,74.8,56.8,117162,E07000109,0.398744,51.396488
E06000034,Thurrock,ltla,2021-07-04,73635,100678,72.5,53.0,174313,E06000034,0.334861,51.509979
E06000006,Halton,ltla,2021-07-04,67585,85409,78.8,62.3,152994,E06000006,-2.68853,53.33424
S12000036,City of Edinburgh,ltla,2021-07-04,216498,343094,78.4,49.5,559592,S12000036,-3.27826,55.91119
S12000023,Orkney Islands,ltla,2021-07-04,14202,16753,91.8,77.8,30955,S12000023,-2.90025,58.94334
E09000023,Lewisham,ltla,2021-07-04,112295,169504,61.4,40.7,281799,E09000023,-0.01733,51.44231
E09000004,Bexley,ltla,2021-07-04,115989,154276,76.9,57.8,270265,E09000004,0.146227,51.458229
E07000242,East Hertfordshire,ltla,2021-07-04,78504,105347,83.2,62.0,183851,E07000242,0.002739,51.864849
