areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinesGivenByPublishDate
K02000001,United Kingdom,overview,2021-07-04,33726362,45351719,86.1,64.0,79078081
K02000001,United Kingdom,overview,2021-07-03,33614952,45274497,86.0,63.8,78889449
K02000001,United Kingdom,overview,2021-07-02,33418743,45137108,85.7,63.4,78555851
K02000001,United Kingdom,overview,2021-07-01,33241265,45013503,85.5,63.1,78254768
K02000001,United Kingdom,overview,2021-06-30,33048199,44860978,85.2,62.7,77909177
K02000001,United Kingdom,overview,2021-06-29,32872450,44719762,84.9,62.4,77592212
K02000001,United Kingdom,overview,2021-06-28,32721762,44581771,84.6,62.1,77303533
K02000001,United Kingdom,overview,2021-06-27,32583746,44454511,84.4,61.9,77038257
K02000001,United Kingdom,overview,2021-06-26,32460191,44314799,84.1,61.6,76774990
K02000001,United Kingdom,overview,2021-06-25,32260686,44080358,83.7,61.2,76341044
K02000001,United Kingdom,overview,2021-06-24,32085916,43877861,83.3,60.9,75963777
K02000001,United Kingdom,overview,2021-06-23,31908103,43656327,82.9,60.6,75564430
K02000001,United Kingdom,overview,2021-06-22,31740115,43448680,82.5,60.3,75188795
K02000001,United Kingdom,overview,2021-06-21,31489240,43148843,81.9,59.8,74638083
K02000001,United Kingdom,overview,2021-06-20,31449915,43127763,81.9,59.7,74577678
K02000001,United Kingdom,overview,2021-06-19,31340507,42964013,81.6,59.5,74304520
K02000001,United Kingdom,overview,2021-06-18,31104144,42683772,81.0,59.1,73787916
K02000001,United Kingdom,overview,2021-06-17,30898467,42460632,80.6,58.7,73359099
K02000001,United Kingdom,overview,2021-06-16,30675207,42216654,80.1,58.2,72891861
K02000001,United Kingdom,overview,2021-06-15,30440373,42021089,79.8,57.8,72461462
K02000001,United Kingdom,overview,2021-06-14,30209707,41831056,79.4,57.4,72040763
K02000001,United Kingdom,overview,2021-06-13,29973779,41698429,79.2,56.9,71672208
K02000001,United Kingdom,overview,2021-06-12,29792658,41551201,78.9,56.6,71343859
K02000001,United Kingdom,overview,2021-06-11,29472332,41297016,78.4,56.0,70769348
K02000001,United Kingdom,overview,2021-06-10,29165140,41088485,78.0,55.4,70253625
K02000001,United Kingdom,overview,2021-06-09,28857102,40886878,77.6,54.8,69743980
K02000001,United Kingdom,overview,2021-06-08,28540844,40710319,77.3,54.2,69251163
K02000001,United Kingdom,overview,2021-06-07,28227362,40573517,77.0,53.6,68800879
K02000001,United Kingdom,overview,2021-06-06,27921294,40460576,76.8,53.0,68381870
K02000001,United Kingdom,overview,2021-06-05,27661353,40333231,76.6,52.5,67994584
K02000001,United Kingdom,overview,2021-06-04,27187975,40129618,76.2,51.6,67317593
K02000001,United Kingdom,overview,2021-06-03,26799944,39949694,75.8,50.9,66749638
K02000001,United Kingdom,overview,2021-06-02,26422303,39758428,75.5,50.2,66180731
K02000001,United Kingdom,overview,2021-06-01,26073284,39585665,75.2,49.5,65658949
K02000001,United Kingdom,overview,2021-05-31,25734719,39477158,74.9,48.9,65211877
K02000001,United Kingdom,overview,2021-05-30,25539173,39384055,74.8,48.5,64923228
K02000001,United Kingdom,overview,2021-05-29,25332851,39259168,74.5,48.1,64592019
K02000001,United Kingdom,overview,2021-05-28,24914003,39075642,74.2,47.3,63989645
K02000001,United Kingdom,overview,2021-05-27,24478052,38871200,73.8,46.5,63349252
K02000001,United Kingdom,overview,2021-05-26,24043956,38614683,73.3,45.6,62658639
K02000001,United Kingdom,overview,2021-05-25,23616498,38378564,72.9,44.8,61995062
K02000001,United Kingdom,overview,2021-05-24,23228511,38192417,72.5,44.1,61420928
K02000001,United Kingdom,overview,2021-05-23,22895556,38070038,72.3,43.5,60965594
K02000001,United Kingdom,overview,2021-05-22,22643417,37943681,72.0,43.0,60587098
K02000001,United Kingdom,overview,2021-05-21,22086466,37738271,71.6,41.9,59824737
K02000001,United Kingdom,overview,2021-05-20,21659783,37518614,71.2,41.1,59178397
K02000001,United Kingdom,overview,2021-05-19,21239471,37250363,70.7,40.3,58489834
K02000001,United Kingdom,overview,2021-05-18,20870453,36985505,70.2,39.6,57855958
K02000001,United Kingdom,overview,2021-05-17,20546452,36811405,69.9,39.0,57357857
K02000001,United Kingdom,overview,2021-05-16,20287403,36704672,69.7,38.5,56992075
K02000001,United Kingdom,overview,2021-05-15,20103658,36573354,69.4,38.2,56677012
K02000001,United Kingdom,overview,2021-05-14,19712412,36336023,69.0,37.4,56048435
K02000001,United Kingdom,overview,2021-05-13,19319010,36115955,68.6,36.7,55434965
K02000001,United Kingdom,overview,2021-05-12,18890969,35906671,68.2,35.9,54797640
K02000001,United Kingdom,overview,2021-05-11,18438532,35722461,67.8,35.0,54160993
K02000001,United Kingdom,overview,2021-05-10,18088385,35587348,67.6,34.3,53675733
K02000001,United Kingdom,overview,2021-05-09,17856550,35472295,67.3,33.9,53328845
K02000001,United Kingdom,overview,2021-05-08,17669379,35371669,67.2,33.5,53041048
K02000001,United Kingdom,overview,2021-05-07,17230542,35202642,66.8,32.7,52433184
K02000001,United Kingdom,overview,2021-05-06,16764720,35069641,66.6,31.8,51834361
K02000001,United Kingdom,overview,2021-05-05,16291719,34934171,66.3,30.9,51225890
K02000001,United Kingdom,overview,2021-05-04,15887493,34795074,66.1,30.2,50682567
K02000001,United Kingdom,overview,2021-05-03,15630007,34667904,65.8,29.7,50297911
K02000001,United Kingdom,overview,2021-05-02,15502508,34595304,65.7,29.4,50097812
K02000001,United Kingdom,overview,2021-05-01,15329617,34505380,65.5,29.1,49834997
K02000001,United Kingdom,overview,2021-04-30,14957313,34362205,65.2,28.4,49319518
K02000001,United Kingdom,overview,2021-04-29,14535528,34216616,65.0,27.6,48752144
K02000001,United Kingdom,overview,2021-04-28,14043961,34094048,64.7,26.7,48138009
K02000001,United Kingdom,overview,2021-04-27,13581076,33959908,64.5,25.8,47540984
K02000001,United Kingdom,overview,2021-04-26,13201811,33843580,64.3,25.1,47045391
K02000001,United Kingdom,overview,2021-04-25,12897123,33752885,64.1,24.5,46650008
K02000001,United Kingdom,overview,2021-04-24,12636322,33673190,63.9,24.0,46309512
K02000001,United Kingdom,overview,2021-04-23,12088686,33524423,63.6,23.0,45613109
K02000001,United Kingdom,overview,2021-04-22,11623671,33388637,63.4,22.1,45012308
K02000001,United Kingdom,overview,2021-04-21,11192601,33257651,63.1,21.2,44450252
K02000001,United Kingdom,overview,2021-04-20,10775817,33139742,62.9,20.5,43915559
K02000001,United Kingdom,overview,2021-04-19,10425790,33032120,62.7,19.8,43457910
K02000001,United Kingdom,overview,2021-04-18,10152039,32932448,62.5,19.3,43084487
K02000001,United Kingdom,overview,2021-04-17,9930846,32849223,62.4,18.9,42780069
K02000001,United Kingdom,overview,2021-04-16,9431211,32709778,62.1,17.9,42140989
K02000001,United Kingdom,overview,2021-04-15,8931547,32574221,61.8,17.0,41505768
K02000001,United Kingdom,overview,2021-04-14,8513864,32444439,61.6,16.2,40958303
K02000001,United Kingdom,overview,2021-04-13,8170081,32326604,61.4,15.5,40496685
K02000001,United Kingdom,overview,2021-04-12,7857396,32250481,61.2,14.9,40107877
K02000001,United Kingdom,overview,2021-04-11,7656205,32190576,61.1,14.5,39846781
K02000001,United Kingdom,overview,2021-04-10,7466540,32121353,61.0,14.2,39587893
K02000001,United Kingdom,overview,2021-04-09,6991310,32010244,60.8,13.3,39001554
K02000001,United Kingdom,overview,2021-04-08,6541174,31903366,60.6,12.4,38444540
K02000001,United Kingdom,overview,2021-04-07,6091905,31807124,60.4,11.6,37899029
K02000001,United Kingdom,overview,2021-04-06,5683509,31707594,60.2,10.8,37391103
K02000001,United Kingdom,overview,2021-04-05,5496716,31622367,60.0,10.4,37119083
K02000001,United Kingdom,overview,2021-04-04,5432126,31581623,60.0,10.3,37013749
K02000001,United Kingdom,overview,2021-04-03,5384418,31533568,59.9,10.2,36917986
K02000001,United Kingdom,overview,2021-04-02,5205505,31425682,59.7,9.9,36631187
K02000001,United Kingdom,overview,2021-04-01,4958874,31318262,59.5,9.4,36277136
K02000001,United Kingdom,overview,2021-03-31,4513458,31147444,59.1,8.6,35660902
K02000001,United Kingdom,overview,2021-03-30,4125884,30908010,58.7,7.8,35033894
K02000001,United Kingdom,overview,2021-03-29,3848202,30682093,58.2,7.3,34530295
K02000001,United Kingdom,overview,2021-03-28,3679972,30445284,57.8,7.0,34125256
K02000001,United Kingdom,overview,2021-03-27,3532378,30151736,57.2,6.7,33684114
K02000001,United Kingdom,overview,2021-03-26,3293517,29727435,56.4,6.3,33020952
K02000001,United Kingdom,overview,2021-03-25,3009863,29316130,55.7,5.7,32325993
K02000001,United Kingdom,overview,2021-03-24,2775481,28991188,55.0,5.3,31766669
K02000001,United Kingdom,overview,2021-03-23,2532839,28653523,54.4,4.8,31186362
K02000001,United Kingdom,overview,2021-03-22,2363684,28327873,53.8,4.5,30691557
K02000001,United Kingdom,overview,2021-03-21,2281384,27997976,53.2,4.3,30279360
K02000001,United Kingdom,overview,2021-03-20,2228772,27630970,52.5,4.2,29859742
K02000001,United Kingdom,overview,2021-03-19,2136795,26878662,51.0,4.1,29015457
K02000001,United Kingdom,overview,2021-03-18,2011070,26263732,49.9,3.8,28274802
K02000001,United Kingdom,overview,2021-03-17,1879054,25735472,48.9,3.6,27614526
K02000001,United Kingdom,overview,2021-03-16,1759445,25273226,48.0,3.3,27032671
K02000001,United Kingdom,overview,2021-03-15,1663646,24839906,47.2,3.2,26503552
K02000001,United Kingdom,overview,2021-03-14,1610280,24453221,46.4,3.1,26063501
K02000001,United Kingdom,overview,2021-03-13,1584909,24196211,45.9,3.0,25781120
K02000001,United Kingdom,overview,2021-03-12,1532754,23684103,45.0,2.9,25216857
K02000001,United Kingdom,overview,2021-03-11,1445078,23314525,44.3,2.7,24759603
K02000001,United Kingdom,overview,2021-03-10,1351515,23053716,43.8,2.6,24405231
K02000001,United Kingdom,overview,2021-03-09,1254353,22809829,43.3,2.4,24064182
K02000001,United Kingdom,overview,2021-03-08,1181431,22592528,42.9,2.2,23773959
K02000001,United Kingdom,overview,2021-03-07,1142643,22377255,42.5,2.2,23519898
K02000001,United Kingdom,overview,2021-03-06,1122402,22213112,42.2,2.1,23335514
K02000001,United Kingdom,overview,2021-03-05,1090840,21796278,41.4,2.1,22887118
K02000001,United Kingdom,overview,2021-03-04,1034068,21358815,40.5,2.0,22392883
K02000001,United Kingdom,overview,2021-03-03,963862,20982571,39.8,1.8,21946433
K02000001,United Kingdom,overview,2021-03-02,895412,20703615,39.3,1.7,21599027
K02000001,United Kingdom,overview,2021-03-01,844098,20478619,38.9,1.6,21322717
K02000001,United Kingdom,overview,2021-02-28,815816,20275451,38.5,1.5,21091267
K02000001,United Kingdom,overview,2021-02-27,796132,20089551,38.1,1.5,20885683
K02000001,United Kingdom,overview,2021-02-26,768810,19682048,37.4,1.5,20450858
K02000001,United Kingdom,overview,2021-02-25,736037,19177555,36.4,1.4,19913592
K02000001,United Kingdom,overview,2021-02-24,700718,18691835,35.5,1.3,19392553
K02000001,United Kingdom,overview,2021-02-23,669105,18242873,34.6,1.3,18911978
K02000001,United Kingdom,overview,2021-02-22,642788,17916181,34.0,1.2,18558969
K02000001,United Kingdom,overview,2021-02-21,624325,17723840,33.6,1.2,18348165
K02000001,United Kingdom,overview,2021-02-20,615148,17582121,33.4,1.2,18197269
K02000001,United Kingdom,overview,2021-02-19,604885,17247442,32.7,1.1,17852327
K02000001,United Kingdom,overview,2021-02-18,589591,16875536,32.0,1.1,17465127
K02000001,United Kingdom,overview,2021-02-17,573724,16423082,31.2,1.1,16996806
