areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage
K02000001,United Kingdom,overview,2021-07-03,86.0,63.8
K02000001,United Kingdom,overview,2021-07-02,85.7,63.4
K02000001,United Kingdom,overview,2021-07-01,85.5,63.1
K02000001,United Kingdom,overview,2021-06-30,85.2,62.7
K02000001,United Kingdom,overview,2021-06-29,84.9,62.4
K02000001,United Kingdom,overview,2021-06-28,84.6,62.1
K02000001,United Kingdom,overview,2021-06-27,84.4,61.9
K02000001,United Kingdom,overview,2021-06-26,84.1,61.6
K02000001,United Kingdom,overview,2021-06-25,83.7,61.2
K02000001,United Kingdom,overview,2021-06-24,83.3,60.9
K02000001,United Kingdom,overview,2021-06-23,82.9,60.6
K02000001,United Kingdom,overview,2021-06-22,82.5,60.3
K02000001,United Kingdom,overview,2021-06-21,81.9,59.8
K02000001,United Kingdom,overview,2021-06-20,81.9,59.7
K02000001,United Kingdom,overview,2021-06-19,81.6,59.5
K02000001,United Kingdom,overview,2021-06-18,81.0,59.1
K02000001,United Kingdom,overview,2021-06-17,80.6,58.7
K02000001,United Kingdom,overview,2021-06-16,80.1,58.2
K02000001,United Kingdom,overview,2021-06-15,79.8,57.8
K02000001,United Kingdom,overview,2021-06-14,79.4,57.4
K02000001,United Kingdom,overview,2021-06-13,79.2,56.9
K02000001,United Kingdom,overview,2021-06-12,78.9,56.6
K02000001,United Kingdom,overview,2021-06-11,78.4,56.0
K02000001,United Kingdom,overview,2021-06-10,78.0,55.4
K02000001,United Kingdom,overview,2021-06-09,77.6,54.8
K02000001,United Kingdom,overview,2021-06-08,77.3,54.2
K02000001,United Kingdom,overview,2021-06-07,77.0,53.6
K02000001,United Kingdom,overview,2021-06-06,76.8,53.0
K02000001,United Kingdom,overview,2021-06-05,76.6,52.5
K02000001,United Kingdom,overview,2021-06-04,76.2,51.6
K02000001,United Kingdom,overview,2021-06-03,75.8,50.9
K02000001,United Kingdom,overview,2021-06-02,75.5,50.2
K02000001,United Kingdom,overview,2021-06-01,75.2,49.5
