code,location,score
E06000001,Hartlepool,35.036999999999999
E06000002,Middlesbrough,40.460000000000001
E06000003,Redcar and Cleveland,29.792000000000002
E06000004,Stockton-on-Tees,25.789999999999999
E06000005,Darlington,25.657
E06000006,Halton,32.325000000000003
E06000007,Warrington,18.942
E06000008,Blackburn with Darwen,36.012999999999998
E06000009,Blackpool,45.039000000000001
E06000010,"Kingston upon Hull, City of",40.564
E06000011,East Riding of Yorkshire,15.605
E06000012,North East Lincolnshire,31.335000000000001
E06000013,North Lincolnshire,22.096
E06000014,York,11.727
E06000015,Derby,26.323
E06000016,Leicester,30.876999999999999
E06000017,Rutland,8.3810000000000002
E06000018,Nottingham,34.890999999999998
E06000019,"Herefordshire, County of",18.890000000000001
E06000020,Telford and Wrekin,24.988
E06000021,Stoke-on-Trent,34.503999999999998
E06000022,Bath and North East Somerset,11.744999999999999
E06000023,"Bristol, City of",26.363
E06000024,North Somerset,15.824999999999999
E06000025,South Gloucestershire,11.66
E06000026,Plymouth,26.619
E06000027,Torbay,28.103999999999999
E06000030,Swindon,18.622
E06000031,Peterborough,27.821000000000002
E06000032,Luton,25.908000000000001
E06000033,Southend-on-Sea,22.375
E06000034,Thurrock,20.928000000000001
E06000035,Medway,23.936
E06000036,Bracknell Forest,10.241
E06000037,West Berkshire,9.952
E06000038,Reading,19.619
E06000039,Slough,22.965
E06000040,Windsor and Maidenhead,8.3759999999999994
E06000041,Wokingham,5.8460000000000001
E06000042,Milton Keynes,17.98
E06000043,Brighton and Hove,20.760999999999999
E06000044,Portsmouth,26.899000000000001
E06000045,Southampton,26.876000000000001
E06000046,Isle of Wight,23.294
E06000047,County Durham,26.792999999999999
E06000049,Cheshire East,14.475
E06000050,Cheshire West and Chester,18.082999999999998
E06000051,Shropshire,17.152999999999999
E06000052,Cornwall,23.071999999999999
E06000053,Isles of Scilly,12.005000000000001
E06000054,Wiltshire,13.446999999999999
E06000055,Bedford,18.931999999999999
E06000056,Central Bedfordshire,12.151999999999999
E06000057,Northumberland,22.079000000000001
E06000058,"Bournemouth, Christchurch and Poole",18.172999999999998
E06000059,Dorset,15.734999999999999
E07000004,Aylesbury Vale,11.183
E07000005,Chiltern,6.952
E07000006,South Bucks,9.4809999999999999
E07000007,Wycombe,10.742000000000001
E07000008,Cambridge,14.855
E07000009,East Cambridgeshire,11.507
E07000010,Fenland,25.425999999999998
