"","second_dose","rank_group","pop","location","region","score"
"1",0.6132,3,93663,"Hartlepool","North East",35.037
"2",0.5565,3,140980,"Middlesbrough","North East",40.46
"3",0.6818,3,137150,"Redcar and Cleveland","North East",29.792
"4",0.6138,3,197348,"Stockton-on-Tees","North East",25.79
"5",0.6131,3,106803,"Darlington","North East",25.657
"6",0.6233,3,129410,"Halton","North West",32.325
"7",0.6277,2,210014,"Warrington","North West",18.942
"8",0.5239,3,149696,"Blackburn with Darwen","North West",36.013
"9",0.6374,3,139446,"Blackpool","North West",45.039
"10",0.535,3,259778,"Kingston upon Hull, City of","Yorkshire and The Humber",40.564
"11",0.6922,2,341173,"East Riding of Yorkshire","Yorkshire and The Humber",15.605
"12",0.6137,3,159563,"North East Lincolnshire","Yorkshire and The Humber",31.335
"13",0.6525,2,172292,"North Lincolnshire","Yorkshire and The Humber",22.096
"14",0.5372,1,210618,"York","Yorkshire and The Humber",11.727
"15",0.5699,3,257302,"Derby","East Midlands",26.323
"16",0.4654,3,354224,"Leicester","East Midlands",30.877
"17",0.6844,1,39927,"Rutland","East Midlands",8.381
"18",0.3946,3,332900,"Nottingham","East Midlands",34.891
"19",0.6385,2,192801,"Herefordshire, County of","West Midlands",18.89
"20",0.5942,3,179854,"Telford and Wrekin","West Midlands",24.988
"21",0.5771,3,256375,"Stoke-on-Trent","West Midlands",34.504
"22",0.5497,1,193282,"Bath and North East Somerset","South West",11.745
"23",0.4547,3,463377,"Bristol, City of","South West",26.363
"24",0.6685,2,215052,"North Somerset","South West",15.825
"25",0.5973,1,285093,"South Gloucestershire","South West",11.66
"26",0.5805,3,262100,"Plymouth","South West",26.619
"27",0.6847,3,136264,"Torbay","South West",28.104
"28",0.5686,2,222193,"Swindon","South West",18.622
"29",0.4566,3,202259,"Peterborough","East of England",27.821
"30",0.421,3,213052,"Luton","East of England",25.908
"31",0.6066,2,183125,"Southend-on-Sea","East of England",22.375
"32",0.5288,2,174341,"Thurrock","East of England",20.928
"33",0.5661,3,278556,"Medway","South East",23.936
"34",0.5554,1,122549,"Bracknell Forest","South East",10.241
"35",0.613,1,158450,"West Berkshire","South East",9.952
"36",0.4093,2,161780,"Reading","South East",19.619
"37",0.4603,3,149539,"Slough","South East",22.965
"38",0.6119,1,151422,"Windsor and Maidenhead","South East",8.376
"39",0.5827,1,171119,"Wokingham","South East",5.846
"40",0.5208,2,269457,"Milton Keynes","South East",17.98
"41",0.4624,2,290885,"Brighton and Hove","South East",20.761
"42",0.5339,3,214905,"Portsmouth","South East",26.899
"43",0.4646,3,252520,"Southampton","South East",26.876
"44",0.7068,3,141771,"Isle of Wight","South East",23.294
"45",0.6352,3,530094,"County Durham","North East",26.793
"46",0.6547,1,384152,"Cheshire East","North West",14.475
"47",0.6283,2,343071,"Cheshire West and Chester","North West",18.083
"48",0.6769,2,323136,"Shropshire","West Midlands",17.153
"49",0.6539,3,569578,"Cornwall and Isles of Scilly","South West",23.072
"50",0.6256,1,500024,"Wiltshire","South West",13.447
"51",0.5438,2,173292,"Bedford","East of England",18.932
"52",0.6128,1,288648,"Central Bedfordshire","East of England",12.152
"53",0.7062,2,322434,"Northumberland","North East",22.079
"54",0.6073,2,395331,"Bournemouth, Christchurch and Poole","South West",18.173
"55",0.7319,2,378508,"Dorset","South West",15.735
"56",0.3498,2,124798,"Cambridge","East of England",14.855
"57",0.6318,1,89840,"East Cambridgeshire","East of England",11.507
"58",0.6128,3,101850,"Fenland","East of England",25.426
"59",0.6348,1,177963,"Huntingdonshire","East of England",12.55
"60",0.6228,1,159086,"South Cambridgeshire","East of England",8.496
"61",0.7482,3,97761,"Allerdale","North West",22.938
"62",0.6437,3,67049,"Barrow-in-Furness","North West",31.117
"63",0.6416,2,108678,"Carlisle","North West",21.997
"64",0.6947,3,68183,"Copeland","North West",25.012
"65",0.701,2,53253,"Eden","North West",16.328
"66",0.6948,1,105088,"South Lakeland","North West",12.501
"67",0.7081,2,128147,"Amber Valley","East Midlands",17.97
"68",0.6712,3,80562,"Bolsover","East Midlands",25.047
"69",0.7064,3,104900,"Chesterfield","East Midlands",24.926
"70",0.7245,1,72325,"Derbyshire Dales","East Midlands",11.895
"71",0.6601,2,115371,"Erewash","East Midlands",18.818
"72",0.6997,2,92666,"High Peak","East Midlands",15.642
"73",0.743,2,101462,"North East Derbyshire","East Midlands",17.399
"74",0.6792,1,107261,"South Derbyshire","East Midlands",14.494
"75",0.6981,1,146284,"East Devon","South West",12.764
"76",0.5034,2,131405,"Exeter","South West",16.215
"77",0.6671,2,82311,"Mid Devon","South West",16.928
"78",0.6469,2,97145,"North Devon","South West",20.559
"79",0.6847,1,87004,"South Hams","South West",13.724
"80",0.6999,2,134163,"Teignbridge","South West",15.893
"81",0.6897,3,68267,"Torridge","South West",23.269
"82",0.7183,2,55796,"West Devon","South West",18.052
"83",0.6467,2,103745,"Eastbourne","South East",22.11
"84",0.5826,3,92661,"Hastings","South East",34.281
"85",0.673,2,103268,"Lewes","South East",15.758
"86",0.7039,2,96080,"Rother","South East",19.768
"87",0.6747,1,161475,"Wealden","South East",12.311
"88",0.5888,3,187199,"Basildon","East of England",23.243
"89",0.6413,2,152604,"Braintree","East of England",14.723
"90",0.5994,1,77021,"Brentwood","East of England",10.007
"91",0.6668,2,90376,"Castle Point","East of England",16.842
"92",0.6064,1,178388,"Chelmsford","East of England",12.221
"93",0.5591,2,194706,"Colchester","East of England",16.778
"94",0.5808,2,131689,"Epping Forest","East of England",15.068
"95",0.5318,2,87067,"Harlow","East of England",21.413
"96",0.6804,1,64926,"Maldon","East of England",14.169
"97",0.6758,1,87368,"Rochford","East of England",10.449
"98",0.7003,3,146561,"Tendring","East of England",30.484
"99",0.6544,1,91284,"Uttlesford","East of England",9.258
"100",0.5876,1,116306,"Cheltenham","South West",14.26
"101",0.682,1,89862,"Cotswold","South West",11.061
"102",0.6327,2,86791,"Forest of Dean","South West",18.013
"103",0.6106,2,129128,"Gloucester","South West",21.807
"104",0.6841,1,119964,"Stroud","South West",10.797
"105",0.6671,1,95019,"Tewkesbury","South West",12.142
"106",0.5955,1,176582,"Basingstoke and Deane","South East",12.823
"107",0.6916,1,122308,"East Hampshire","South East",10.284
"108",0.6451,1,133584,"Eastleigh","South East",10.192
"109",0.7002,1,116233,"Fareham","South East",9.019
"110",0.662,2,84838,"Gosport","South East",20.541
"111",0.6676,1,97073,"Hart","South East",5.544
"112",0.7077,2,126220,"Havant","South East",21.806
"113",0.7158,1,180086,"New Forest","South East",13.015
"114",0.5809,2,94599,"Rushmoor","South East",15.903
"115",0.6575,1,126160,"Test Valley","South East",11.931
"116",0.6466,1,124859,"Winchester","South East",9.615
"117",0.5707,2,97279,"Broxbourne","East of England",17.989
"118",0.604,1,154763,"Dacorum","East of England",13.004
"119",0.6163,1,104919,"Hertsmere","East of England",13.938
"120",0.6202,1,133570,"North Hertfordshire","East of England",11.627
"121",0.6307,1,93323,"Three Rivers","East of England",9.871
"122",0.5202,2,96577,"Watford","East of England",15.41
"123",0.598,2,130032,"Ashford","South East",18.546
"124",0.5659,2,165394,"Canterbury","South East",16.798
"125",0.5634,2,112606,"Dartford","South East",18.812
"126",0.6591,2,118131,"Dover","South East",22.161
"127",0.5675,2,106939,"Gravesham","South East",21.414
"128",0.6021,2,171826,"Maidstone","South East",16.503
"129",0.638,1,120750,"Sevenoaks","South East",12.437
"130",0.6653,3,112996,"Folkestone and Hythe","South East",24.149
"131",0.5905,3,150082,"Swale","South East",27.076
"132",0.6733,3,141922,"Thanet","South East",31.314
"133",0.6351,1,132153,"Tonbridge and Malling","South East",13.333
"134",0.6069,1,118724,"Tunbridge Wells","South East",11.31
"135",0.5564,3,88920,"Burnley","North West",37.793
"136",0.6551,2,118216,"Chorley","North West",16.863
"137",0.7248,2,80780,"Fylde","North West",15.875
"138",0.5668,3,81043,"Hyndburn","North West",34.333
"139",0.6163,3,146038,"Lancaster","North West",24.165
"140",0.5344,3,92112,"Pendle","North West",30.723
"141",0.5721,3,143135,"Preston","North West",29.531
"142",0.7203,1,60888,"Ribble Valley","North West",10.594
"143",0.6352,3,71482,"Rossendale","North West",24.062
"144",0.6814,2,110788,"South Ribble","North West",15.33
"145",0.6803,2,114306,"West Lancashire","North West",18.645
"146",0.7471,2,112091,"Wyre","North West",20.858
"147",0.698,1,101526,"Blaby","East Midlands",10.629
"148",0.5979,1,185851,"Charnwood","East Midlands",13.238
"149",0.7069,1,93807,"Harborough","East Midlands",8.015
"150",0.6637,1,113136,"Hinckley and Bosworth","East Midlands",13.461
"151",0.694,1,51209,"Melton","East Midlands",12.532
"152",0.6675,1,103611,"North West Leicestershire","East Midlands",14.573
"153",0.6534,1,57015,"Oadby and Wigston","East Midlands",12.958
"154",0.5275,3,70173,"Boston","East Midlands",22.967
"155",0.7276,3,141727,"East Lindsey","East Midlands",29.892
"156",0.5049,3,99299,"Lincoln","East Midlands",26.889
"157",0.6995,1,116915,"North Kesteven","East Midlands",11.553
"158",0.6405,2,95019,"South Holland","East Midlands",17.896
"159",0.6877,1,142424,"South Kesteven","East Midlands",13.499
"160",0.7176,2,95667,"West Lindsey","East Midlands",20.355
"161",0.6662,2,139968,"Breckland","East of England",19.614
"162",0.6921,1,130783,"Broadland","East of England",11.817
"163",0.6361,3,99336,"Great Yarmouth","East of England",33.097
"164",0.6537,3,151383,"King's Lynn and West Norfolk","East of England",23.72
"165",0.7192,2,104837,"North Norfolk","East of England",21.058
