areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E12000001,North East,region,2021-07-03,80.06,61.47
E12000001,North East,region,2021-07-02,79.82,61.21
E12000001,North East,region,2021-07-01,79.57,60.93
E12000001,North East,region,2021-06-30,79.25,60.63
E12000001,North East,region,2021-06-29,78.98,60.37
E12000001,North East,region,2021-06-28,78.7,60.15
E12000001,North East,region,2021-06-27,78.5,59.97
E12000001,North East,region,2021-06-26,78.23,59.72
E12000001,North East,region,2021-06-25,77.91,59.39
E12000001,North East,region,2021-06-24,77.6,59.01
E12000001,North East,region,2021-06-23,77.18,58.74
E12000001,North East,region,2021-06-22,76.86,58.41
E12000001,North East,region,2021-06-21,76.6,58.11
E12000001,North East,region,2021-06-20,76.4,57.94
E12000001,North East,region,2021-06-19,76.09,57.71
E12000001,North East,region,2021-06-18,75.68,57.22
E12000001,North East,region,2021-06-17,75.26,56.81
E12000001,North East,region,2021-06-16,74.75,56.44
E12000001,North East,region,2021-06-15,74.44,56.11
E12000001,North East,region,2021-06-14,74.18,55.73
E12000001,North East,region,2021-06-13,74.0,55.42
E12000001,North East,region,2021-06-12,73.81,54.93
E12000001,North East,region,2021-06-11,73.42,54.36
E12000001,North East,region,2021-06-10,73.11,53.82
E12000001,North East,region,2021-06-09,72.71,53.19
E12000001,North East,region,2021-06-08,72.44,52.7
E12000001,North East,region,2021-06-07,72.33,52.12
E12000001,North East,region,2021-06-06,72.19,51.72
E12000001,North East,region,2021-06-05,72.05,51.15
E12000001,North East,region,2021-06-04,71.75,49.97
E12000001,North East,region,2021-06-03,71.51,49.16
E12000001,North East,region,2021-06-02,71.22,48.52
E12000001,North East,region,2021-06-01,70.96,48.02
E12000001,North East,region,2021-05-31,70.83,47.48
E12000001,North East,region,2021-05-30,70.74,47.25
E12000001,North East,region,2021-05-29,70.59,46.61
E12000001,North East,region,2021-05-28,70.29,45.63
E12000001,North East,region,2021-05-27,69.94,44.71
E12000001,North East,region,2021-05-26,69.47,44.0
E12000001,North East,region,2021-05-25,68.99,43.24
E12000001,North East,region,2021-05-24,68.77,42.56
E12000001,North East,region,2021-05-23,68.65,42.15
E12000001,North East,region,2021-05-22,68.49,41.5
E12000001,North East,region,2021-05-21,68.21,40.32
E12000001,North East,region,2021-05-20,67.87,39.52
E12000001,North East,region,2021-05-19,67.44,38.72
E12000001,North East,region,2021-05-18,67.12,38.07
E12000001,North East,region,2021-05-17,66.94,37.58
E12000001,North East,region,2021-05-16,66.8,37.25
E12000001,North East,region,2021-05-15,66.55,37.07
E12000001,North East,region,2021-05-14,66.12,36.47
E12000001,North East,region,2021-05-13,65.71,35.95
E12000001,North East,region,2021-05-12,65.29,35.12
E12000001,North East,region,2021-05-11,64.91,34.06
E12000001,North East,region,2021-05-10,64.73,33.51
E12000001,North East,region,2021-05-09,64.61,33.15
E12000001,North East,region,2021-05-08,64.44,32.67
E12000001,North East,region,2021-05-07,64.17,31.79
E12000001,North East,region,2021-05-06,63.97,30.79
E12000001,North East,region,2021-05-05,63.82,29.68
E12000001,North East,region,2021-05-04,63.65,28.84
E12000001,North East,region,2021-05-03,63.46,28.48
E12000001,North East,region,2021-05-02,63.39,28.37
E12000001,North East,region,2021-05-01,63.14,28.1
E12000001,North East,region,2021-04-30,62.89,27.36
E12000001,North East,region,2021-04-29,62.68,26.63
E12000001,North East,region,2021-04-28,62.46,25.75
E12000001,North East,region,2021-04-27,62.32,24.88
E12000001,North East,region,2021-04-26,62.18,24.33
E12000001,North East,region,2021-04-25,62.03,23.95
E12000001,North East,region,2021-04-24,61.87,23.42
E12000001,North East,region,2021-04-23,61.48,22.37
E12000001,North East,region,2021-04-22,61.08,21.56
E12000001,North East,region,2021-04-21,60.84,20.82
E12000001,North East,region,2021-04-20,60.64,20.04
E12000001,North East,region,2021-04-19,60.42,19.52
E12000001,North East,region,2021-04-18,60.23,19.2
E12000001,North East,region,2021-04-17,60.06,18.89
E12000001,North East,region,2021-04-16,59.85,18.1
E12000001,North East,region,2021-04-15,59.61,17.26
E12000001,North East,region,2021-04-14,59.33,16.59
E12000001,North East,region,2021-04-13,59.14,15.94
E12000001,North East,region,2021-04-12,59.02,15.56
E12000001,North East,region,2021-04-11,58.92,15.19
E12000001,North East,region,2021-04-10,58.74,14.82
E12000001,North East,region,2021-04-09,58.53,13.77
E12000001,North East,region,2021-04-08,58.24,12.9
E12000001,North East,region,2021-04-07,58.03,12.14
E12000001,North East,region,2021-04-06,57.77,11.5
E12000001,North East,region,2021-04-05,57.58,11.23
E12000001,North East,region,2021-04-04,57.46,11.16
E12000001,North East,region,2021-04-03,57.29,11.05
E12000001,North East,region,2021-04-02,56.93,10.64
E12000001,North East,region,2021-04-01,56.74,10.23
E12000001,North East,region,2021-03-31,56.43,9.23
E12000001,North East,region,2021-03-30,56.06,8.49
E12000001,North East,region,2021-03-29,55.62,7.96
E12000001,North East,region,2021-03-28,55.25,7.56
E12000001,North East,region,2021-03-27,54.72,7.24
E12000001,North East,region,2021-03-26,53.84,6.59
E12000001,North East,region,2021-03-25,53.14,6.15
E12000001,North East,region,2021-03-24,52.36,5.6
E12000001,North East,region,2021-03-23,51.68,5.15
E12000001,North East,region,2021-03-22,50.98,4.79
E12000001,North East,region,2021-03-21,50.48,4.58
E12000001,North East,region,2021-03-20,49.89,4.47
E12000001,North East,region,2021-03-19,48.31,4.17
E12000001,North East,region,2021-03-18,47.16,3.78
E12000001,North East,region,2021-03-17,46.1,3.39
E12000001,North East,region,2021-03-16,45.23,3.04
E12000001,North East,region,2021-03-15,44.44,2.79
E12000001,North East,region,2021-03-14,43.77,2.69
E12000001,North East,region,2021-03-13,43.1,2.68
E12000001,North East,region,2021-03-12,42.32,2.61
E12000001,North East,region,2021-03-11,41.72,2.43
E12000001,North East,region,2021-03-10,41.49,2.24
E12000001,North East,region,2021-03-09,41.19,1.93
E12000001,North East,region,2021-03-08,40.87,1.81
E12000001,North East,region,2021-03-07,40.56,1.78
E12000001,North East,region,2021-03-06,40.24,1.77
E12000001,North East,region,2021-03-05,39.62,1.75
E12000001,North East,region,2021-03-04,38.73,1.69
E12000001,North East,region,2021-03-03,37.9,1.61
E12000001,North East,region,2021-03-02,37.55,1.52
E12000001,North East,region,2021-03-01,37.4,1.44
E12000001,North East,region,2021-02-28,37.2,1.38
E12000001,North East,region,2021-02-27,37.0,1.32
E12000001,North East,region,2021-02-26,36.49,1.25
E12000001,North East,region,2021-02-25,35.65,1.22
E12000001,North East,region,2021-02-24,34.77,1.21
E12000001,North East,region,2021-02-23,33.93,1.2
E12000001,North East,region,2021-02-22,33.3,1.19
E12000001,North East,region,2021-02-21,33.11,1.19
E12000001,North East,region,2021-02-20,32.87,1.19
E12000001,North East,region,2021-02-19,32.17,1.19
E12000001,North East,region,2021-02-18,31.42,1.19
E12000001,North East,region,2021-02-17,30.63,1.18
E12000001,North East,region,2021-02-16,29.63,1.17
E12000001,North East,region,2021-02-15,28.93,1.17
E12000001,North East,region,2021-02-14,28.46,1.16
E12000001,North East,region,2021-02-13,28.11,1.16
E12000001,North East,region,2021-02-12,27.06,1.16
E12000001,North East,region,2021-02-11,26.18,1.16
E12000001,North East,region,2021-02-10,25.28,1.15
E12000001,North East,region,2021-02-09,24.35,1.15
E12000001,North East,region,2021-02-08,23.7,1.14
E12000001,North East,region,2021-02-07,23.18,1.14
E12000001,North East,region,2021-02-06,22.42,1.14
E12000001,North East,region,2021-02-05,21.27,1.14
E12000001,North East,region,2021-02-04,20.53,1.13
E12000001,North East,region,2021-02-03,19.7,1.13
E12000001,North East,region,2021-02-02,19.01,1.13
E12000001,North East,region,2021-02-01,18.58,1.13
E12000001,North East,region,2021-01-31,18.19,1.13
E12000001,North East,region,2021-01-30,17.66,1.13
E12000001,North East,region,2021-01-29,16.68,1.13
E12000001,North East,region,2021-01-28,15.72,1.12
E12000001,North East,region,2021-01-27,15.12,1.12
E12000001,North East,region,2021-01-26,14.72,1.12
E12000001,North East,region,2021-01-25,14.32,1.12
E12000001,North East,region,2021-01-24,13.98,1.12
E12000001,North East,region,2021-01-23,13.67,1.12
E12000001,North East,region,2021-01-22,12.75,1.12
E12000001,North East,region,2021-01-21,11.86,1.12
E12000001,North East,region,2021-01-20,11.08,1.12
E12000001,North East,region,2021-01-19,10.46,1.12
E12000001,North East,region,2021-01-18,9.99,1.12
E12000001,North East,region,2021-01-17,9.69,1.12
E12000001,North East,region,2021-01-16,9.44,1.12
E12000001,North East,region,2021-01-15,8.75,1.12
E12000001,North East,region,2021-01-14,8.07,1.11
E12000001,North East,region,2021-01-13,7.46,1.11
E12000001,North East,region,2021-01-12,6.88,1.11
E12000001,North East,region,2021-01-11,6.43,1.1
E12000001,North East,region,2021-01-10,6.14,1.08
E12000001,North East,region,2021-01-09,5.92,0.86
E12000001,North East,region,2021-01-08,5.29,0.7
E12000001,North East,region,2021-01-07,4.57,0.56
E12000001,North East,region,2021-01-06,3.98,0.37
E12000001,North East,region,2021-01-05,3.76,0.2
E12000001,North East,region,2021-01-04,3.58,0.08
E12000001,North East,region,2021-01-03,3.48,0.06
E12000001,North East,region,2021-01-02,3.44,0.05
E12000001,North East,region,2021-01-01,3.36,0.04
E12000001,North East,region,2020-12-31,3.29,0.04
E12000001,North East,region,2020-12-30,2.95,0.03
E12000001,North East,region,2020-12-29,2.37,0.01
E12000001,North East,region,2020-12-28,2.1,
E12000001,North East,region,2020-12-27,2.09,
E12000001,North East,region,2020-12-26,2.07,
E12000001,North East,region,2020-12-25,2.06,
E12000001,North East,region,2020-12-24,2.06,
E12000001,North East,region,2020-12-23,1.99,
E12000001,North East,region,2020-12-22,1.66,
E12000001,North East,region,2020-12-21,1.42,
E12000001,North East,region,2020-12-20,1.26,
E12000001,North East,region,2020-12-19,0.98,
E12000001,North East,region,2020-12-18,0.78,
E12000001,North East,region,2020-12-17,0.63,
E12000001,North East,region,2020-12-16,0.45,
E12000001,North East,region,2020-12-15,0.27,
E12000001,North East,region,2020-12-14,0.13,
E12000001,North East,region,2020-12-13,0.12,
E12000001,North East,region,2020-12-12,0.1,
E12000001,North East,region,2020-12-11,0.1,
E12000001,North East,region,2020-12-10,0.07,
E12000001,North East,region,2020-12-09,0.05,
E12000001,North East,region,2020-12-08,0.02,
E12000002,North West,region,2021-07-03,77.08,58.87
E12000002,North West,region,2021-07-02,76.9,58.53
E12000002,North West,region,2021-07-01,76.75,58.23
E12000002,North West,region,2021-06-30,76.56,57.95
E12000002,North West,region,2021-06-29,76.39,57.64
E12000002,North West,region,2021-06-28,76.21,57.39
E12000002,North West,region,2021-06-27,76.04,57.18
E12000002,North West,region,2021-06-26,75.9,57.0
E12000002,North West,region,2021-06-25,75.56,56.7
E12000002,North West,region,2021-06-24,75.23,56.43
E12000002,North West,region,2021-06-23,74.88,56.15
E12000002,North West,region,2021-06-22,74.61,55.89
E12000002,North West,region,2021-06-21,74.32,55.58
E12000002,North West,region,2021-06-20,74.1,55.34
E12000002,North West,region,2021-06-19,73.94,55.15
E12000002,North West,region,2021-06-18,73.52,54.72
E12000002,North West,region,2021-06-17,73.21,54.32
E12000002,North West,region,2021-06-16,72.84,53.9
E12000002,North West,region,2021-06-15,72.61,53.52
E12000002,North West,region,2021-06-14,72.33,53.09
E12000002,North West,region,2021-06-13,72.14,52.71
E12000002,North West,region,2021-06-12,71.95,52.42
E12000002,North West,region,2021-06-11,71.54,51.91
E12000002,North West,region,2021-06-10,71.26,51.42
E12000002,North West,region,2021-06-09,70.99,50.91
E12000002,North West,region,2021-06-08,70.74,50.42
E12000002,North West,region,2021-06-07,70.57,49.92
E12000002,North West,region,2021-06-06,70.45,49.47
E12000002,North West,region,2021-06-05,70.28,49.1
E12000002,North West,region,2021-06-04,69.9,48.44
E12000002,North West,region,2021-06-03,69.62,47.91
E12000002,North West,region,2021-06-02,69.32,47.4
E12000002,North West,region,2021-06-01,69.08,46.88
E12000002,North West,region,2021-05-31,68.98,46.36
E12000002,North West,region,2021-05-30,68.91,46.17
E12000002,North West,region,2021-05-29,68.79,45.88
E12000002,North West,region,2021-05-28,68.47,45.27
E12000002,North West,region,2021-05-27,68.15,44.57
E12000002,North West,region,2021-05-26,67.73,43.87
E12000002,North West,region,2021-05-25,67.37,43.08
E12000002,North West,region,2021-05-24,66.99,42.35
E12000002,North West,region,2021-05-23,66.85,41.83
E12000002,North West,region,2021-05-22,66.62,41.48
E12000002,North West,region,2021-05-21,66.18,40.58
E12000002,North West,region,2021-05-20,65.75,39.81
E12000002,North West,region,2021-05-19,65.22,38.99
E12000002,North West,region,2021-05-18,64.62,38.45
E12000002,North West,region,2021-05-17,64.11,37.87
E12000002,North West,region,2021-05-16,63.92,37.44
E12000002,North West,region,2021-05-15,63.66,37.13
E12000002,North West,region,2021-05-14,63.17,36.42
E12000002,North West,region,2021-05-13,62.79,35.7
E12000002,North West,region,2021-05-12,62.4,34.97
E12000002,North West,region,2021-05-11,62.0,34.11
E12000002,North West,region,2021-05-10,61.75,33.41
E12000002,North West,region,2021-05-09,61.61,33.01
E12000002,North West,region,2021-05-08,61.49,32.69
E12000002,North West,region,2021-05-07,61.22,31.9
E12000002,North West,region,2021-05-06,61.04,30.99
E12000002,North West,region,2021-05-05,60.87,30.05
E12000002,North West,region,2021-05-04,60.68,29.23
E12000002,North West,region,2021-05-03,60.49,28.79
E12000002,North West,region,2021-05-02,60.37,28.63
E12000002,North West,region,2021-05-01,60.25,28.4
E12000002,North West,region,2021-04-30,59.96,27.79
E12000002,North West,region,2021-04-29,59.73,27.08
E12000002,North West,region,2021-04-28,59.5,26.35
E12000002,North West,region,2021-04-27,59.27,25.52
E12000002,North West,region,2021-04-26,59.09,24.77
E12000002,North West,region,2021-04-25,58.98,24.26
E12000002,North West,region,2021-04-24,58.84,23.84
E12000002,North West,region,2021-04-23,58.61,22.88
E12000002,North West,region,2021-04-22,58.42,22.06
E12000002,North West,region,2021-04-21,58.2,21.31
E12000002,North West,region,2021-04-20,58.04,20.61
E12000002,North West,region,2021-04-19,57.85,19.96
E12000002,North West,region,2021-04-18,57.7,19.43
E12000002,North West,region,2021-04-17,57.61,19.03
E12000002,North West,region,2021-04-16,57.39,18.02
E12000002,North West,region,2021-04-15,57.21,16.94
E12000002,North West,region,2021-04-14,57.03,16.13
E12000002,North West,region,2021-04-13,56.9,15.55
E12000002,North West,region,2021-04-12,56.84,14.97
E12000002,North West,region,2021-04-11,56.8,14.6
E12000002,North West,region,2021-04-10,56.75,14.29
E12000002,North West,region,2021-04-09,56.62,13.33
E12000002,North West,region,2021-04-08,56.49,12.45
E12000002,North West,region,2021-04-07,56.35,11.41
E12000002,North West,region,2021-04-06,56.25,10.43
E12000002,North West,region,2021-04-05,56.14,10.06
E12000002,North West,region,2021-04-04,56.12,9.93
E12000002,North West,region,2021-04-03,56.08,9.85
E12000002,North West,region,2021-04-02,55.92,9.5
E12000002,North West,region,2021-04-01,55.8,8.95
E12000002,North West,region,2021-03-31,55.52,7.89
E12000002,North West,region,2021-03-30,55.08,7.14
E12000002,North West,region,2021-03-29,54.7,6.63
E12000002,North West,region,2021-03-28,54.27,6.3
E12000002,North West,region,2021-03-27,53.86,6.13
E12000002,North West,region,2021-03-26,52.88,5.6
E12000002,North West,region,2021-03-25,52.25,5.07
E12000002,North West,region,2021-03-24,51.63,4.48
E12000002,North West,region,2021-03-23,51.06,3.92
E12000002,North West,region,2021-03-22,50.54,3.55
E12000002,North West,region,2021-03-21,50.03,3.39
E12000002,North West,region,2021-03-20,49.48,3.36
E12000002,North West,region,2021-03-19,48.14,3.21
E12000002,North West,region,2021-03-18,47.09,2.96
E12000002,North West,region,2021-03-17,46.28,2.71
E12000002,North West,region,2021-03-16,45.63,2.54
E12000002,North West,region,2021-03-15,44.94,2.38
E12000002,North West,region,2021-03-14,44.42,2.3
E12000002,North West,region,2021-03-13,43.97,2.29
E12000002,North West,region,2021-03-12,43.12,2.22
E12000002,North West,region,2021-03-11,42.51,2.09
E12000002,North West,region,2021-03-10,42.22,1.97
E12000002,North West,region,2021-03-09,41.78,1.81
E12000002,North West,region,2021-03-08,41.44,1.69
E12000002,North West,region,2021-03-07,41.04,1.64
E12000002,North West,region,2021-03-06,40.7,1.63
E12000002,North West,region,2021-03-05,39.93,1.6
E12000002,North West,region,2021-03-04,39.15,1.5
E12000002,North West,region,2021-03-03,38.3,1.43
E12000002,North West,region,2021-03-02,37.87,1.35
E12000002,North West,region,2021-03-01,37.49,1.3
E12000002,North West,region,2021-02-28,37.17,1.28
E12000002,North West,region,2021-02-27,36.86,1.27
E12000002,North West,region,2021-02-26,36.04,1.26
E12000002,North West,region,2021-02-25,35.03,1.23
E12000002,North West,region,2021-02-24,34.07,1.21
E12000002,North West,region,2021-02-23,33.23,1.18
E12000002,North West,region,2021-02-22,32.69,1.17
E12000002,North West,region,2021-02-21,32.4,1.16
E12000002,North West,region,2021-02-20,32.15,1.16
E12000002,North West,region,2021-02-19,31.57,1.16
E12000002,North West,region,2021-02-18,30.87,1.16
E12000002,North West,region,2021-02-17,29.98,1.15
E12000002,North West,region,2021-02-16,29.11,1.14
E12000002,North West,region,2021-02-15,28.5,1.14
E12000002,North West,region,2021-02-14,28.12,1.14
E12000002,North West,region,2021-02-13,27.82,1.14
E12000002,North West,region,2021-02-12,26.92,1.13
E12000002,North West,region,2021-02-11,26.15,1.13
E12000002,North West,region,2021-02-10,25.46,1.12
E12000002,North West,region,2021-02-09,24.76,1.12
E12000002,North West,region,2021-02-08,24.14,1.11
E12000002,North West,region,2021-02-07,23.72,1.11
E12000002,North West,region,2021-02-06,23.39,1.11
E12000002,North West,region,2021-02-05,22.48,1.11
E12000002,North West,region,2021-02-04,21.6,1.11
E12000002,North West,region,2021-02-03,20.73,1.11
E12000002,North West,region,2021-02-02,19.9,1.1
E12000002,North West,region,2021-02-01,19.25,1.1
E12000002,North West,region,2021-01-31,18.69,1.1
E12000002,North West,region,2021-01-30,18.16,1.1
E12000002,North West,region,2021-01-29,17.21,1.1
E12000002,North West,region,2021-01-28,16.12,1.09
E12000002,North West,region,2021-01-27,15.34,1.09
E12000002,North West,region,2021-01-26,14.78,1.09
E12000002,North West,region,2021-01-25,14.26,1.09
E12000002,North West,region,2021-01-24,13.82,1.08
E12000002,North West,region,2021-01-23,13.33,1.08
E12000002,North West,region,2021-01-22,12.41,1.08
E12000002,North West,region,2021-01-21,11.34,1.08
E12000002,North West,region,2021-01-20,10.39,1.08
E12000002,North West,region,2021-01-19,9.71,1.07
E12000002,North West,region,2021-01-18,8.92,1.07
E12000002,North West,region,2021-01-17,8.52,1.06
E12000002,North West,region,2021-01-16,8.23,1.06
E12000002,North West,region,2021-01-15,7.65,1.05
E12000002,North West,region,2021-01-14,6.82,1.04
E12000002,North West,region,2021-01-13,6.03,1.03
E12000002,North West,region,2021-01-12,5.43,1.02
E12000002,North West,region,2021-01-11,5.0,0.99
E12000002,North West,region,2021-01-10,4.72,0.94
E12000002,North West,region,2021-01-09,4.5,0.84
E12000002,North West,region,2021-01-08,4.03,0.69
E12000002,North West,region,2021-01-07,3.37,0.56
E12000002,North West,region,2021-01-06,2.89,0.39
E12000002,North West,region,2021-01-05,2.68,0.22
E12000002,North West,region,2021-01-04,2.56,0.11
E12000002,North West,region,2021-01-03,2.51,0.08
E12000002,North West,region,2021-01-02,2.48,0.07
E12000002,North West,region,2021-01-01,2.42,0.06
E12000002,North West,region,2020-12-31,2.38,0.05
E12000002,North West,region,2020-12-30,2.2,0.03
E12000002,North West,region,2020-12-29,1.98,0.01
E12000002,North West,region,2020-12-28,1.87,
E12000002,North West,region,2020-12-27,1.86,
E12000002,North West,region,2020-12-26,1.86,
E12000002,North West,region,2020-12-25,1.85,
E12000002,North West,region,2020-12-24,1.85,
E12000002,North West,region,2020-12-23,1.79,
E12000002,North West,region,2020-12-22,1.59,
E12000002,North West,region,2020-12-21,1.37,
E12000002,North West,region,2020-12-20,1.22,
E12000002,North West,region,2020-12-19,1.08,
E12000002,North West,region,2020-12-18,0.88,
E12000002,North West,region,2020-12-17,0.71,
E12000002,North West,region,2020-12-16,0.51,
E12000002,North West,region,2020-12-15,0.3,
E12000002,North West,region,2020-12-14,0.17,
E12000002,North West,region,2020-12-13,0.13,
E12000002,North West,region,2020-12-12,0.13,
E12000002,North West,region,2020-12-11,0.11,
E12000002,North West,region,2020-12-10,0.07,
E12000002,North West,region,2020-12-09,0.04,
E12000002,North West,region,2020-12-08,0.01,
E12000003,Yorkshire and The Humber,region,2021-07-03,78.02,59.62
E12000003,Yorkshire and The Humber,region,2021-07-02,77.79,59.25
E12000003,Yorkshire and The Humber,region,2021-07-01,77.6,59.01
E12000003,Yorkshire and The Humber,region,2021-06-30,77.39,58.72
E12000003,Yorkshire and The Humber,region,2021-06-29,77.14,58.46
E12000003,Yorkshire and The Humber,region,2021-06-28,76.96,58.26
E12000003,Yorkshire and The Humber,region,2021-06-27,76.79,58.05
E12000003,Yorkshire and The Humber,region,2021-06-26,76.59,57.84
E12000003,Yorkshire and The Humber,region,2021-06-25,76.17,57.33
E12000003,Yorkshire and The Humber,region,2021-06-24,75.86,57.07
E12000003,Yorkshire and The Humber,region,2021-06-23,75.48,56.82
E12000003,Yorkshire and The Humber,region,2021-06-22,75.18,56.55
E12000003,Yorkshire and The Humber,region,2021-06-21,74.93,56.31
E12000003,Yorkshire and The Humber,region,2021-06-20,74.71,56.15
E12000003,Yorkshire and The Humber,region,2021-06-19,74.45,55.98
E12000003,Yorkshire and The Humber,region,2021-06-18,73.96,55.52
