areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2021-07-04,45351719,33726362
K02000001,United Kingdom,overview,2021-07-03,45274497,33614952
K02000001,United Kingdom,overview,2021-07-02,45137108,33418743
K02000001,United Kingdom,overview,2021-07-01,45013503,33241265
K02000001,United Kingdom,overview,2021-06-30,44860978,33048199
K02000001,United Kingdom,overview,2021-06-29,44719762,32872450
K02000001,United Kingdom,overview,2021-06-28,44581771,32721762
K02000001,United Kingdom,overview,2021-06-27,44454511,32583746
K02000001,United Kingdom,overview,2021-06-26,44314799,32460191
K02000001,United Kingdom,overview,2021-06-25,44080358,32260686
K02000001,United Kingdom,overview,2021-06-24,43877861,32085916
K02000001,United Kingdom,overview,2021-06-23,43656327,31908103
K02000001,United Kingdom,overview,2021-06-22,43448680,31740115
K02000001,United Kingdom,overview,2021-06-21,43148843,31489240
K02000001,United Kingdom,overview,2021-06-20,43127763,31449915
K02000001,United Kingdom,overview,2021-06-19,42964013,31340507
K02000001,United Kingdom,overview,2021-06-18,42683772,31104144
K02000001,United Kingdom,overview,2021-06-17,42460632,30898467
K02000001,United Kingdom,overview,2021-06-16,42216654,30675207
K02000001,United Kingdom,overview,2021-06-15,42021089,30440373
K02000001,United Kingdom,overview,2021-06-14,41831056,30209707
K02000001,United Kingdom,overview,2021-06-13,41698429,29973779
K02000001,United Kingdom,overview,2021-06-12,41551201,29792658
K02000001,United Kingdom,overview,2021-06-11,41297016,29472332
K02000001,United Kingdom,overview,2021-06-10,41088485,29165140
K02000001,United Kingdom,overview,2021-06-09,40886878,28857102
K02000001,United Kingdom,overview,2021-06-08,40710319,28540844
K02000001,United Kingdom,overview,2021-06-07,40573517,28227362
K02000001,United Kingdom,overview,2021-06-06,40460576,27921294
K02000001,United Kingdom,overview,2021-06-05,40333231,27661353
K02000001,United Kingdom,overview,2021-06-04,40129618,27187975
K02000001,United Kingdom,overview,2021-06-03,39949694,26799944
K02000001,United Kingdom,overview,2021-06-02,39758428,26422303
K02000001,United Kingdom,overview,2021-06-01,39585665,26073284
K02000001,United Kingdom,overview,2021-05-31,39477158,25734719
K02000001,United Kingdom,overview,2021-05-30,39384055,25539173
K02000001,United Kingdom,overview,2021-05-29,39259168,25332851
K02000001,United Kingdom,overview,2021-05-28,39075642,24914003
K02000001,United Kingdom,overview,2021-05-27,38871200,24478052
K02000001,United Kingdom,overview,2021-05-26,38614683,24043956
K02000001,United Kingdom,overview,2021-05-25,38378564,23616498
K02000001,United Kingdom,overview,2021-05-24,38192417,23228511
K02000001,United Kingdom,overview,2021-05-23,38070038,22895556
K02000001,United Kingdom,overview,2021-05-22,37943681,22643417
K02000001,United Kingdom,overview,2021-05-21,37738271,22086466
K02000001,United Kingdom,overview,2021-05-20,37518614,21659783
K02000001,United Kingdom,overview,2021-05-19,37250363,21239471
K02000001,United Kingdom,overview,2021-05-18,36985505,20870453
K02000001,United Kingdom,overview,2021-05-17,36811405,20546452
K02000001,United Kingdom,overview,2021-05-16,36704672,20287403
K02000001,United Kingdom,overview,2021-05-15,36573354,20103658
K02000001,United Kingdom,overview,2021-05-14,36336023,19712412
K02000001,United Kingdom,overview,2021-05-13,36115955,19319010
K02000001,United Kingdom,overview,2021-05-12,35906671,18890969
K02000001,United Kingdom,overview,2021-05-11,35722461,18438532
K02000001,United Kingdom,overview,2021-05-10,35587348,18088385
K02000001,United Kingdom,overview,2021-05-09,35472295,17856550
K02000001,United Kingdom,overview,2021-05-08,35371669,17669379
K02000001,United Kingdom,overview,2021-05-07,35202642,17230542
K02000001,United Kingdom,overview,2021-05-06,35069641,16764720
K02000001,United Kingdom,overview,2021-05-05,34934171,16291719
K02000001,United Kingdom,overview,2021-05-04,34795074,15887493
K02000001,United Kingdom,overview,2021-05-03,34667904,15630007
K02000001,United Kingdom,overview,2021-05-02,34595304,15502508
K02000001,United Kingdom,overview,2021-05-01,34505380,15329617
K02000001,United Kingdom,overview,2021-04-30,34362205,14957313
K02000001,United Kingdom,overview,2021-04-29,34216616,14535528
K02000001,United Kingdom,overview,2021-04-28,34094048,14043961
K02000001,United Kingdom,overview,2021-04-27,33959908,13581076
K02000001,United Kingdom,overview,2021-04-26,33843580,13201811
K02000001,United Kingdom,overview,2021-04-25,33752885,12897123
K02000001,United Kingdom,overview,2021-04-24,33673190,12636322
K02000001,United Kingdom,overview,2021-04-23,33524423,12088686
K02000001,United Kingdom,overview,2021-04-22,33388637,11623671
K02000001,United Kingdom,overview,2021-04-21,33257651,11192601
K02000001,United Kingdom,overview,2021-04-20,33139742,10775817
K02000001,United Kingdom,overview,2021-04-19,33032120,10425790
K02000001,United Kingdom,overview,2021-04-18,32932448,10152039
K02000001,United Kingdom,overview,2021-04-17,32849223,9930846
K02000001,United Kingdom,overview,2021-04-16,32709778,9431211
K02000001,United Kingdom,overview,2021-04-15,32574221,8931547
K02000001,United Kingdom,overview,2021-04-14,32444439,8513864
K02000001,United Kingdom,overview,2021-04-13,32326604,8170081
K02000001,United Kingdom,overview,2021-04-12,32250481,7857396
K02000001,United Kingdom,overview,2021-04-11,32190576,7656205
K02000001,United Kingdom,overview,2021-04-10,32121353,7466540
K02000001,United Kingdom,overview,2021-04-09,32010244,6991310
K02000001,United Kingdom,overview,2021-04-08,31903366,6541174
K02000001,United Kingdom,overview,2021-04-07,31807124,6091905
K02000001,United Kingdom,overview,2021-04-06,31707594,5683509
K02000001,United Kingdom,overview,2021-04-05,31622367,5496716
