areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E06000003,Redcar and Cleveland,utla,2021-07-03,81.38,68.18
E06000014,York,utla,2021-07-03,77.23,53.72
E06000050,Cheshire West and Chester,utla,2021-07-03,82.56,62.83
E08000001,Bolton,utla,2021-07-03,76.78,58.1
E08000016,Barnsley,utla,2021-07-03,81.92,63.37
E08000031,Wolverhampton,utla,2021-07-03,70.8,52.91
E08000032,Bradford,utla,2021-07-03,70.38,52.61
E09000018,Hounslow,utla,2021-07-03,64.62,42.51
E09000032,Wandsworth,utla,2021-07-03,63.08,36.42
E09000033,Westminster,utla,2021-07-03,53.91,35.73
E10000034,Worcestershire,utla,2021-07-03,84.01,65.71
S12000013,Na h-Eileanan Siar,utla,2021-07-03,91.91000366210938,84.83999633789062
S12000029,South Lanarkshire,utla,2021-07-03,93.12000274658203,66.94999694824219
S12000045,East Dunbartonshire,utla,2021-07-03,93.83000183105469,69.87000274658203
E06000003,Redcar and Cleveland,utla,2021-07-02,81.25,67.88
E06000014,York,utla,2021-07-02,76.98,53.14
E06000050,Cheshire West and Chester,utla,2021-07-02,81.99,62.6
E08000001,Bolton,utla,2021-07-02,76.68,57.88
E08000016,Barnsley,utla,2021-07-02,81.89,62.66
E08000031,Wolverhampton,utla,2021-07-02,70.63,52.58
E08000032,Bradford,utla,2021-07-02,70.21,52.51
E09000018,Hounslow,utla,2021-07-02,64.4,42.26
E09000032,Wandsworth,utla,2021-07-02,62.9,36.21
E09000033,Westminster,utla,2021-07-02,53.72,35.51
E10000034,Worcestershire,utla,2021-07-02,83.81,65.58
S12000013,Na h-Eileanan Siar,utla,2021-07-02,91.9000015258789,84.6500015258789
S12000029,South Lanarkshire,utla,2021-07-02,92.98999786376953,66.73999786376953
S12000045,East Dunbartonshire,utla,2021-07-02,93.44999694824219,68.93000030517578
E06000003,Redcar and Cleveland,utla,2021-07-01,81.1,67.71
E06000014,York,utla,2021-07-01,76.53,52.76
E06000050,Cheshire West and Chester,utla,2021-07-01,81.73,62.29
E08000001,Bolton,utla,2021-07-01,76.54,57.68
E08000016,Barnsley,utla,2021-07-01,81.84,62.12
E08000031,Wolverhampton,utla,2021-07-01,70.51,52.44
E08000032,Bradford,utla,2021-07-01,70.13,52.24
E09000018,Hounslow,utla,2021-07-01,64.26,42.1
E09000032,Wandsworth,utla,2021-07-01,62.68,35.92
E09000033,Westminster,utla,2021-07-01,53.51,35.31
E10000034,Worcestershire,utla,2021-07-01,83.61,65.31
S12000013,Na h-Eileanan Siar,utla,2021-07-01,91.81999969482422,83.70999908447266
S12000029,South Lanarkshire,utla,2021-07-01,92.9000015258789,66.51000213623047
S12000045,East Dunbartonshire,utla,2021-07-01,93.11000061035156,68.56999969482422
E06000003,Redcar and Cleveland,utla,2021-06-30,80.4,67.44
E06000014,York,utla,2021-06-30,76.29,52.38
E06000050,Cheshire West and Chester,utla,2021-06-30,81.56,61.92
E08000001,Bolton,utla,2021-06-30,76.41,57.49
E08000016,Barnsley,utla,2021-06-30,81.68,61.97
E08000031,Wolverhampton,utla,2021-06-30,70.35,52.27
E08000032,Bradford,utla,2021-06-30,70.03,52.05
E09000018,Hounslow,utla,2021-06-30,64.05,41.81
E09000032,Wandsworth,utla,2021-06-30,62.45,35.7
E09000033,Westminster,utla,2021-06-30,53.28,35.07
E10000034,Worcestershire,utla,2021-06-30,83.38,65.13
S12000013,Na h-Eileanan Siar,utla,2021-06-30,91.70999908447266,83.20999908447266
S12000029,South Lanarkshire,utla,2021-06-30,92.80000305175781,66.30999755859375
S12000045,East Dunbartonshire,utla,2021-06-30,92.41999816894531,68.0199966430664
E06000003,Redcar and Cleveland,utla,2021-06-29,79.98,67.12
E06000014,York,utla,2021-06-29,75.72,52.18
E06000050,Cheshire West and Chester,utla,2021-06-29,81.01,61.71
E08000001,Bolton,utla,2021-06-29,76.3,57.05
E08000016,Barnsley,utla,2021-06-29,81.36,61.87
E08000031,Wolverhampton,utla,2021-06-29,70.11,52.05
E08000032,Bradford,utla,2021-06-29,69.94,51.82
E09000018,Hounslow,utla,2021-06-29,63.88,41.61
E09000032,Wandsworth,utla,2021-06-29,62.2,35.27
E09000033,Westminster,utla,2021-06-29,53.08,34.41
E10000034,Worcestershire,utla,2021-06-29,83.1,64.86
S12000013,Na h-Eileanan Siar,utla,2021-06-29,91.69000244140625,82.97000122070312
S12000029,South Lanarkshire,utla,2021-06-29,92.44000244140625,66.26000213623047
