age,gender,coverage,type
0-18,m,6203520.00,ons
18-24,m,2428162.00,ons
25-29,m,1924416.00,ons
30-34,m,1900552.00,ons
35-39,m,1849111.00,ons
40-44,m,1700196.00,ons
45-49,m,1839293.00,ons
50-54,m,1926928.00,ons
55-59,m,1809613.00,ons
60-64,m,1527238.00,ons
65-69,m,1352800.00,ons
70-74,m,1330150.00,ons
75-79,m,900710.00,ons
80+,m,1152541.00,ons
0-18,f,5889768.00,ons
18-24,f,2281427.00,ons
25-29,f,1847077.00,ons
30-34,f,1907402.00,ons
35-39,f,1884531.00,ons
40-44,f,1714101.00,ons
45-49,f,1876519.00,ons
50-54,f,1980533.00,ons
55-59,f,1861038.00,ons
60-64,f,1584597.00,ons
65-69,f,1443940.00,ons
70-74,f,1449176.00,ons
75-79,f,1039976.00,ons
80+,f,1684423.00,ons
