areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate,
E92000001,England,nation,20/07/2021,00_04,749,5199,157.6,27309
E92000001,England,nation,20/07/2021,00_59,32416,281911,658.3,42379
E92000001,England,nation,20/07/2021,05_09,1811,12940,365.7,
E92000001,England,nation,20/07/2021,10_14,3658,26898,801.9,
E92000001,England,nation,20/07/2021,15_19,3745,36819,1191.5,
E92000001,England,nation,20/07/2021,20_24,4095,42244,1211.2,
E92000001,England,nation,20/07/2021,25_29,4194,41281,1085.9,
E92000001,England,nation,20/07/2021,30_34,3793,32689,858.4,
E92000001,England,nation,20/07/2021,35_39,2863,24107,645.7,
E92000001,England,nation,20/07/2021,40_44,2235,18802,550.7,
E92000001,England,nation,20/07/2021,45_49,2022,15880,427.4,
E92000001,England,nation,20/07/2021,50_54,1825,14148,362.1,
E92000001,England,nation,20/07/2021,55_59,1426,10904,297.1,
E92000001,England,nation,20/07/2021,60+,2419,17500,130,
E92000001,England,nation,20/07/2021,60_64,877,6831,219.5,
E92000001,England,nation,20/07/2021,65_69,559,4021,143.8,
E92000001,England,nation,20/07/2021,70_74,401,2890,104,
E92000001,England,nation,20/07/2021,75_79,257,1710,88.1,
E92000001,England,nation,20/07/2021,80_84,169,1073,74.5,
E92000001,England,nation,20/07/2021,85_89,92,576,65.5,
E92000001,England,nation,20/07/2021,90+,64,399,77.1,
E92000001,England,nation,20/07/2021,unassigned,18,101,,
E92000001,England,nation,19/07/2021,00_04,848,5185,157.1,
E92000001,England,nation,19/07/2021,00_59,39347,289673,676.5,
E92000001,England,nation,19/07/2021,05_09,2174,13121,370.8,
E92000001,England,nation,19/07/2021,10_14,4338,27150,809.4,
E92000001,England,nation,19/07/2021,15_19,4571,38547,1247.4,
E92000001,England,nation,19/07/2021,20_24,5070,44726,1282.3,
E92000001,England,nation,19/07/2021,25_29,5136,42947,1129.8,
E92000001,England,nation,19/07/2021,30_34,4446,33289,874.2,
E92000001,England,nation,19/07/2021,35_39,3508,24581,658.4,
E92000001,England,nation,19/07/2021,40_44,2763,19175,561.6,
E92000001,England,nation,19/07/2021,45_49,2471,16003,430.7,
E92000001,England,nation,19/07/2021,50_54,2252,14182,362.9,
E92000001,England,nation,19/07/2021,55_59,1770,10767,293.3,
E92000001,England,nation,19/07/2021,60+,2876,17119,127.1,
E92000001,England,nation,19/07/2021,60_64,1095,6751,216.9,
E92000001,England,nation,19/07/2021,65_69,662,3927,140.4,
E92000001,England,nation,19/07/2021,70_74,458,2810,101.1,
E92000001,England,nation,19/07/2021,75_79,302,1668,85.9,
E92000001,England,nation,19/07/2021,80_84,193,1009,70.1,
E92000001,England,nation,19/07/2021,85_89,94,565,64.2,
E92000001,England,nation,19/07/2021,90+,72,389,75.2,
E92000001,England,nation,19/07/2021,unassigned,14,121,,
E92000001,England,nation,18/07/2021,00_04,588,5103,154.7,
E92000001,England,nation,18/07/2021,00_59,30296,287693,671.8,
E92000001,England,nation,18/07/2021,05_09,1416,13073,369.5,
E92000001,England,nation,18/07/2021,10_14,3618,27138,809.1,
E92000001,England,nation,18/07/2021,15_19,3911,39116,1265.8,
E92000001,England,nation,18/07/2021,20_24,4025,45065,1292.1,
E92000001,England,nation,18/07/2021,25_29,3986,42494,1117.8,
E92000001,England,nation,18/07/2021,30_34,3257,32699,858.7,
E92000001,England,nation,18/07/2021,35_39,2523,24150,646.8,
E92000001,England,nation,18/07/2021,40_44,2143,19002,556.5,
E92000001,England,nation,18/07/2021,45_49,1845,15602,419.9,
E92000001,England,nation,18/07/2021,50_54,1713,13837,354.1,
