Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,52,91,54,49,93,163,166,180,128,114,128,43
2,70,82,48,80,97,162,146,159,131,102,120,47
3,68,77,48,82,99,131,139,148,166,116,70,40
4,60,62,42,88,114,111,156,138,140,110,54,38
5,67,46,45,128,97,116,162,182,134,118,68,47
6,77,38,40,123,100,105,146,204,135,124,69,22
7,86,48,64,96,125,122,127,216,136,119,76,17
8,94,64,89,130,152,118,149,216,185,127,90,24
9,81,87,80,130,154,121,151,207,161,89,121,40
10,58,59,95,141,107,125,135,222,113,95,123,63
11,66,44,89,147,66,140,134,240,128,98,106,79
12,82,47,60,136,63,151,141,251,152,89,99,72
13,65,59,76,76,75,175,156,198,174,84,101,64
14,86,59,84,58,63,164,151,184,171,108,110,78
15,71,83,83,84,82,173,141,171,201,85,106,79
16,80,82,68,107,105,172,174,180,178,92,94,79
17,66,70,92,106,119,163,188,183,150,92,117,83
18,41,58,92,82,134,143,167,183,135,91,128,92
19,21,60,56,105,162,148,148,171,157,108,76,98
20,27,67,67,100,168,159,130,181,159,136,61,71
21,34,67,59,116,159,161,135,179,155,141,84,76
22,47,84,58,121,160,148,162,167,153,113,77,70
23,63,86,62,128,131,187,163,162,138,104,60,70
24,59,72,86,123,148,216,177,154,100,97,70,30
25,61,50,81,110,143,226,182,170,98,95,87,18
26,70,41,73,109,158,217,160,169,80,92,33,39
27,59,38,63,113,160,163,169,134,98,90,31,46
28,41,57,67,80,159,137,146,139,95,88,45,10
29,56,51,46,92,158,135,147,121,124,100,67,10
30,76,,51,87,157,147,190,116,116,122,80,10
31,94,,63,,-164,,237,120,,125,,-13
