day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-1,36,43,87,58,164,-,-,-,-,-,-
2,4,55,41,68,66,179,-,-,-,-,-,-
3,15,62,38,63,72,168,-,-,-,-,-,-
4,25,49,41,66,83,137,-,-,-,-,-,-
5,24,69,37,42,58,149,-,-,-,-,-,-
6,20,35,28,26,58,168,-,-,-,-,-,-
7,-11,10,26,21,73,169,-,-,-,-,-,-
8,-8,-3,51,66,99,149,-,-,-,-,-,-
9,11,-5,63,69,131,166,-,-,-,-,-,-
10,16,-3,80,44,124,184,-,-,-,-,-,-
11,46,-21,82,31,106,178,-,-,-,-,-,-
12,50,-5,65,36,106,157,-,-,-,-,-,-
13,36,-8,62,49,110,177,-,-,-,-,-,-
14,41,22,63,73,98,175,-,-,-,-,-,-
15,19,70,83,49,102,161,-,-,-,-,-,-
16,32,90,102,52,111,178,-,-,-,-,-,-
17,49,84,68,60,116,170,-,-,-,-,-,-
18,62,82,65,73,105,131,-,-,-,-,-,-
19,73,74,80,88,110,136,-,-,-,-,-,-
20,94,103,82,96,87,134,-,-,-,-,-,-
21,45,103,82,87,105,116,-,-,-,-,-,-
22,37,83,62,72,100,123,-,-,-,-,-,-
23,13,87,75,85,85,119,-,-,-,-,-,-
24,-6,113,89,93,93,148,-,-,-,-,-,-
25,2,86,86,81,105,146,-,-,-,-,-,-
26,29,57,85,74,101,156,-,-,-,-,-,-
27,54,57,62,79,120,156,-,-,-,-,-,-
28,88,54,96,78,132,154,-,-,-,-,-,-
29,79,-,130,55,157,161,-,-,-,-,-,-
30,29,-,121,62,139,149,-,-,-,-,-,-
31,8,-,143,-,139,,-,-,-,-,-,-
