areaCode,areaName,areaType,date,newCasesByPublishDateRollingRate
E92000001,England,nation,26/07/2021,405.2
E92000001,England,nation,25/07/2021,427.4
E92000001,England,nation,24/07/2021,461.7
E92000001,England,nation,23/07/2021,500.8
E92000001,England,nation,22/07/2021,526.7
E92000001,England,nation,21/07/2021,541.9
E92000001,England,nation,20/07/2021,539.1
E92000001,England,nation,19/07/2021,520.6
E92000001,England,nation,18/07/2021,513.5
E92000001,England,nation,17/07/2021,484.4
E92000001,England,nation,16/07/2021,446.7
E92000001,England,nation,15/07/2021,418
E92000001,England,nation,14/07/2021,389.4
E92000001,England,nation,13/07/2021,371
E92000001,England,nation,12/07/2021,357.5
E92000001,England,nation,11/07/2021,344.5
E92000001,England,nation,10/07/2021,330.3
E92000001,England,nation,09/07/2021,315.4
E92000001,England,nation,08/07/2021,299.7
E92000001,England,nation,07/07/2021,290
E92000001,England,nation,06/07/2021,278.9
E92000001,England,nation,05/07/2021,263.8
E92000001,England,nation,04/07/2021,255.7
E92000001,England,nation,03/07/2021,239.9
E92000001,England,nation,02/07/2021,228.9
E92000001,England,nation,01/07/2021,213.1
E92000001,England,nation,30/06/2021,195.5
E92000001,England,nation,29/06/2021,180.4
E92000001,England,nation,28/06/2021,166.7
E92000001,England,nation,27/06/2021,149
E92000001,England,nation,26/06/2021,142.3
E92000001,England,nation,25/06/2021,131.3
E92000001,England,nation,24/06/2021,123.7
E92000001,England,nation,23/06/2021,117.1
E92000001,England,nation,22/06/2021,108
E92000001,England,nation,21/06/2021,103.4
E92000001,England,nation,20/06/2021,99.6
E92000001,England,nation,19/06/2021,96.9
E92000001,England,nation,18/06/2021,92.7
E92000001,England,nation,17/06/2021,88.5
E92000001,England,nation,16/06/2021,83.3
E92000001,England,nation,15/06/2021,80.7
E92000001,England,nation,14/06/2021,78.5
E92000001,England,nation,13/06/2021,75.4
E92000001,England,nation,12/06/2021,72.1
E92000001,England,nation,11/06/2021,68.9
E92000001,England,nation,10/06/2021,65.9
E92000001,England,nation,09/06/2021,62.2
E92000001,England,nation,08/06/2021,57.3
E92000001,England,nation,07/06/2021,52.5
E92000001,England,nation,06/06/2021,48.9
E92000001,England,nation,05/06/2021,45.7
E92000001,England,nation,04/06/2021,42
E92000001,England,nation,03/06/2021,39.1
E92000001,England,nation,02/06/2021,36.6
E92000001,England,nation,01/06/2021,34.9
E92000001,England,nation,31/05/2021,34.1
E92000001,England,nation,30/05/2021,32.6
E92000001,England,nation,29/05/2021,31
E92000001,England,nation,28/05/2021,30.1
E92000001,England,nation,27/05/2021,28.1
E92000001,England,nation,26/05/2021,27
E92000001,England,nation,25/05/2021,26.3
E92000001,England,nation,24/05/2021,26.1
E92000001,England,nation,23/05/2021,25.6
E92000001,England,nation,22/05/2021,25.1
E92000001,England,nation,21/05/2021,24
E92000001,England,nation,20/05/2021,23.1
E92000001,England,nation,19/05/2021,23
E92000001,England,nation,18/05/2021,22.4
E92000001,England,nation,17/05/2021,22.6
E92000001,England,nation,16/05/2021,23.2
E92000001,England,nation,15/05/2021,23.1
E92000001,England,nation,14/05/2021,23.4
E92000001,England,nation,13/05/2021,23.9
E92000001,England,nation,12/05/2021,23.9
E92000001,England,nation,11/05/2021,24
E92000001,England,nation,10/05/2021,23.2
E92000001,England,nation,09/05/2021,22.2
E92000001,England,nation,08/05/2021,22.2
E92000001,England,nation,07/05/2021,22
E92000001,England,nation,06/05/2021,21.8
E92000001,England,nation,05/05/2021,21.6
E92000001,England,nation,04/05/2021,21.5
E92000001,England,nation,03/05/2021,22.8
E92000001,England,nation,02/05/2021,23.4
E92000001,England,nation,01/05/2021,23.4
E92000001,England,nation,30/04/2021,23.7
E92000001,England,nation,29/04/2021,24.1
E92000001,England,nation,28/04/2021,24.5
E92000001,England,nation,27/04/2021,24.7
E92000001,England,nation,26/04/2021,24.3
E92000001,England,nation,25/04/2021,25.7
E92000001,England,nation,24/04/2021,25.9
E92000001,England,nation,23/04/2021,26
E92000001,England,nation,22/04/2021,25.9
E92000001,England,nation,21/04/2021,25.7
E92000001,England,nation,20/04/2021,25.9
E92000001,England,nation,19/04/2021,25.7
E92000001,England,nation,18/04/2021,26.9
E92000001,England,nation,17/04/2021,26.6
E92000001,England,nation,16/04/2021,26.8
E92000001,England,nation,15/04/2021,27.6
E92000001,England,nation,14/04/2021,28.1
E92000001,England,nation,13/04/2021,28.6
E92000001,England,nation,12/04/2021,28.3
E92000001,England,nation,11/04/2021,26.6
E92000001,England,nation,10/04/2021,27.7
E92000001,England,nation,09/04/2021,29.1
E92000001,England,nation,08/04/2021,29.6
E92000001,England,nation,07/04/2021,31.9
E92000001,England,nation,06/04/2021,33.7
E92000001,England,nation,05/04/2021,36.3
E92000001,England,nation,04/04/2021,39.6
E92000001,England,nation,03/04/2021,41.7
E92000001,England,nation,02/04/2021,43.4
E92000001,England,nation,01/04/2021,47.7
E92000001,England,nation,31/03/2021,50.4
E92000001,England,nation,30/03/2021,52.7
E92000001,England,nation,29/03/2021,54.8
E92000001,England,nation,28/03/2021,55.9
E92000001,England,nation,27/03/2021,58.2
E92000001,England,nation,26/03/2021,59.9
E92000001,England,nation,25/03/2021,57.3
E92000001,England,nation,24/03/2021,57.1
E92000001,England,nation,23/03/2021,57.5
E92000001,England,nation,22/03/2021,57.2
E92000001,England,nation,21/03/2021,56.3
E92000001,England,nation,20/03/2021,55.1
E92000001,England,nation,19/03/2021,54.7
E92000001,England,nation,18/03/2021,57.8
E92000001,England,nation,17/03/2021,58.7
E92000001,England,nation,16/03/2021,58.8
E92000001,England,nation,15/03/2021,59.7
E92000001,England,nation,14/03/2021,59.1
E92000001,England,nation,13/03/2021,60.3
E92000001,England,nation,12/03/2021,61.4
E92000001,England,nation,11/03/2021,60.5
E92000001,England,nation,10/03/2021,60.4
E92000001,England,nation,09/03/2021,61.3
E92000001,England,nation,08/03/2021,62.5
E92000001,England,nation,07/03/2021,63.9
E92000001,England,nation,06/03/2021,65
E92000001,England,nation,05/03/2021,67.5
E92000001,England,nation,04/03/2021,71.6
E92000001,England,nation,03/03/2021,76.9
E92000001,England,nation,02/03/2021,82.7
E92000001,England,nation,01/03/2021,85.8
E92000001,England,nation,28/02/2021,94.1
E92000001,England,nation,27/02/2021,100
E92000001,England,nation,26/02/2021,104.4
E92000001,England,nation,25/02/2021,109.5
E92000001,England,nation,24/02/2021,113.3
E92000001,England,nation,23/02/2021,117.3
E92000001,England,nation,22/02/2021,120.8
E92000001,England,nation,21/02/2021,119.4
E92000001,England,nation,20/02/2021,121.3
E92000001,England,nation,19/02/2021,126.1
E92000001,England,nation,18/02/2021,131.5
E92000001,England,nation,17/02/2021,133.7
E92000001,England,nation,16/02/2021,134.8
E92000001,England,nation,15/02/2021,137.8
E92000001,England,nation,14/02/2021,144.3
E92000001,England,nation,13/02/2021,153.1
E92000001,England,nation,12/02/2021,161.3
E92000001,England,nation,11/02/2021,168.5
E92000001,England,nation,10/02/2021,180.1
E92000001,England,nation,09/02/2021,190.2
E92000001,England,nation,08/02/2021,197.5
E92000001,England,nation,07/02/2021,205.6
E92000001,England,nation,06/02/2021,213.7
E92000001,England,nation,05/02/2021,222.2
E92000001,England,nation,04/02/2021,238.9
E92000001,England,nation,03/02/2021,252.5
E92000001,England,nation,02/02/2021,262.6
E92000001,England,nation,01/02/2021,267.7
E92000001,England,nation,31/01/2021,273.6
E92000001,England,nation,30/01/2021,288.8
E92000001,England,nation,29/01/2021,305.5
E92000001,England,nation,28/01/2021,324
E92000001,England,nation,27/01/2021,338.5
E92000001,England,nation,26/01/2021,360.1
E92000001,England,nation,25/01/2021,382.2
E92000001,England,nation,24/01/2021,407.1
E92000001,England,nation,23/01/2021,420.7
E92000001,England,nation,22/01/2021,433.6
E92000001,England,nation,21/01/2021,457.8
E92000001,England,nation,20/01/2021,475.6
E92000001,England,nation,19/01/2021,489.5
E92000001,England,nation,18/01/2021,508.6
E92000001,England,nation,17/01/2021,522.3
E92000001,England,nation,16/01/2021,549
