areaCode,areaName,areaType,date,newCasesBySpecimenDate
E92000001,England,nation,25/07/2021,5825
E92000001,England,nation,24/07/2021,17798
E92000001,England,nation,23/07/2021,23165
E92000001,England,nation,22/07/2021,26632
E92000001,England,nation,21/07/2021,30693
E92000001,England,nation,20/07/2021,34898
E92000001,England,nation,19/07/2021,42258
E92000001,England,nation,18/07/2021,32408
E92000001,England,nation,17/07/2021,34553
E92000001,England,nation,16/07/2021,50027
E92000001,England,nation,15/07/2021,56250
E92000001,England,nation,14/07/2021,49192
E92000001,England,nation,13/07/2021,42259
E92000001,England,nation,12/07/2021,39570
E92000001,England,nation,11/07/2021,26890
E92000001,England,nation,10/07/2021,24886
E92000001,England,nation,09/07/2021,28429
E92000001,England,nation,08/07/2021,29252
E92000001,England,nation,07/07/2021,33481
E92000001,England,nation,06/07/2021,30927
E92000001,England,nation,05/07/2021,29486
E92000001,England,nation,04/07/2021,21299
E92000001,England,nation,03/07/2021,20157
E92000001,England,nation,02/07/2021,21709
E92000001,England,nation,01/07/2021,23600
E92000001,England,nation,30/06/2021,23390
E92000001,England,nation,29/06/2021,22674
E92000001,England,nation,28/06/2021,22867
E92000001,England,nation,27/06/2021,15042
E92000001,England,nation,26/06/2021,13166
E92000001,England,nation,25/06/2021,14503
E92000001,England,nation,24/06/2021,14692
E92000001,England,nation,23/06/2021,14390
E92000001,England,nation,22/06/2021,13193
E92000001,England,nation,21/06/2021,12392
E92000001,England,nation,20/06/2021,8004
E92000001,England,nation,19/06/2021,6936
E92000001,England,nation,18/06/2021,8508
E92000001,England,nation,17/06/2021,9198
E92000001,England,nation,16/06/2021,9155
E92000001,England,nation,15/06/2021,8857
E92000001,England,nation,14/06/2021,8686
E92000001,England,nation,13/06/2021,5906
E92000001,England,nation,12/06/2021,5253
E92000001,England,nation,11/06/2021,6338
E92000001,England,nation,10/06/2021,6532
E92000001,England,nation,09/06/2021,6705
E92000001,England,nation,08/06/2021,6426
E92000001,England,nation,07/06/2021,6597
E92000001,England,nation,06/06/2021,4610
E92000001,England,nation,05/06/2021,3860
E92000001,England,nation,04/06/2021,4738
E92000001,England,nation,03/06/2021,4973
E92000001,England,nation,02/06/2021,4920
E92000001,England,nation,01/06/2021,4334
E92000001,England,nation,31/05/2021,3061
E92000001,England,nation,30/05/2021,2534
E92000001,England,nation,29/05/2021,2392
E92000001,England,nation,28/05/2021,2828
E92000001,England,nation,27/05/2021,2959
E92000001,England,nation,26/05/2021,3068
E92000001,England,nation,25/05/2021,2688
E92000001,England,nation,24/05/2021,2616
E92000001,England,nation,23/05/2021,1841
E92000001,England,nation,22/05/2021,1533
E92000001,England,nation,21/05/2021,1800
E92000001,England,nation,20/05/2021,1911
E92000001,England,nation,19/05/2021,2171
E92000001,England,nation,18/05/2021,2139
E92000001,England,nation,17/05/2021,2243
E92000001,England,nation,16/05/2021,1521
E92000001,England,nation,15/05/2021,1260
E92000001,England,nation,14/05/2021,1457
E92000001,England,nation,13/05/2021,1653
E92000001,England,nation,12/05/2021,1767
E92000001,England,nation,11/05/2021,1745
E92000001,England,nation,10/05/2021,2169
E92000001,England,nation,09/05/2021,1846
E92000001,England,nation,08/05/2021,1202
E92000001,England,nation,07/05/2021,1558
E92000001,England,nation,06/05/2021,1801
E92000001,England,nation,05/05/2021,2037
E92000001,England,nation,04/05/2021,2039
E92000001,England,nation,03/05/2021,1693
E92000001,England,nation,02/05/2021,1214
E92000001,England,nation,01/05/2021,1124
E92000001,England,nation,30/04/2021,1408
E92000001,England,nation,29/04/2021,1762
E92000001,England,nation,28/04/2021,2019
E92000001,England,nation,27/04/2021,1693
E92000001,England,nation,26/04/2021,2086
E92000001,England,nation,25/04/2021,1772
E92000001,England,nation,24/04/2021,1206
E92000001,England,nation,23/04/2021,1574
E92000001,England,nation,22/04/2021,1881
E92000001,England,nation,21/04/2021,2123
E92000001,England,nation,20/04/2021,1941
E92000001,England,nation,19/04/2021,2129
E92000001,England,nation,18/04/2021,2132
E92000001,England,nation,17/04/2021,1308
E92000001,England,nation,16/04/2021,1807
E92000001,England,nation,15/04/2021,1798
E92000001,England,nation,14/04/2021,1936
E92000001,England,nation,13/04/2021,1907
E92000001,England,nation,12/04/2021,2234
E92000001,England,nation,11/04/2021,1897
E92000001,England,nation,10/04/2021,1889
E92000001,England,nation,09/04/2021,2314
E92000001,England,nation,08/04/2021,2480
E92000001,England,nation,07/04/2021,2588
E92000001,England,nation,06/04/2021,2561
E92000001,England,nation,05/04/2021,2190
E92000001,England,nation,04/04/2021,1926
E92000001,England,nation,03/04/2021,2016
E92000001,England,nation,02/04/2021,2128
E92000001,England,nation,01/04/2021,2863
E92000001,England,nation,31/03/2021,3141
E92000001,England,nation,30/03/2021,2953
E92000001,England,nation,29/03/2021,3199
E92000001,England,nation,28/03/2021,4095
E92000001,England,nation,27/03/2021,2939
E92000001,England,nation,26/03/2021,3620
E92000001,England,nation,25/03/2021,4447
E92000001,England,nation,24/03/2021,5106
E92000001,England,nation,23/03/2021,4337
E92000001,England,nation,22/03/2021,5143
E92000001,England,nation,21/03/2021,4515
E92000001,England,nation,20/03/2021,3367
E92000001,England,nation,19/03/2021,4138
E92000001,England,nation,18/03/2021,4524
E92000001,England,nation,17/03/2021,4850
E92000001,England,nation,16/03/2021,4740
E92000001,England,nation,15/03/2021,5436
E92000001,England,nation,14/03/2021,3583
E92000001,England,nation,13/03/2021,3451
E92000001,England,nation,12/03/2021,4614
E92000001,England,nation,11/03/2021,4687
E92000001,England,nation,10/03/2021,5007
E92000001,England,nation,09/03/2021,5215
E92000001,England,nation,08/03/2021,5564
E92000001,England,nation,07/03/2021,3543
E92000001,England,nation,06/03/2021,3703
E92000001,England,nation,05/03/2021,4552
E92000001,England,nation,04/03/2021,4790
E92000001,England,nation,03/03/2021,5095
E92000001,England,nation,02/03/2021,5682
E92000001,England,nation,01/03/2021,5890
E92000001,England,nation,28/02/2021,3952
E92000001,England,nation,27/02/2021,4103
E92000001,England,nation,26/02/2021,5667
E92000001,England,nation,25/02/2021,6611
E92000001,England,nation,24/02/2021,7292
E92000001,England,nation,23/02/2021,8140
E92000001,England,nation,22/02/2021,9855
E92000001,England,nation,21/02/2021,6799
E92000001,England,nation,20/02/2021,6891
E92000001,England,nation,19/02/2021,8881
E92000001,England,nation,18/02/2021,9905
E92000001,England,nation,17/02/2021,10022
E92000001,England,nation,16/02/2021,10816
E92000001,England,nation,15/02/2021,12470
E92000001,England,nation,14/02/2021,7533
E92000001,England,nation,13/02/2021,7740
E92000001,England,nation,12/02/2021,10563
E92000001,England,nation,11/02/2021,11226
E92000001,England,nation,10/02/2021,11838
E92000001,England,nation,09/02/2021,12240
E92000001,England,nation,08/02/2021,13841
E92000001,England,nation,07/02/2021,10153
E92000001,England,nation,06/02/2021,10583
E92000001,England,nation,05/02/2021,13970
E92000001,England,nation,04/02/2021,16153
E92000001,England,nation,03/02/2021,17410
E92000001,England,nation,02/02/2021,17657
E92000001,England,nation,01/02/2021,20110
E92000001,England,nation,31/01/2021,13705
E92000001,England,nation,30/01/2021,14999
E92000001,England,nation,29/01/2021,19679
E92000001,England,nation,28/01/2021,21841
E92000001,England,nation,27/01/2021,23233
E92000001,England,nation,26/01/2021,24429
E92000001,England,nation,25/01/2021,27106
E92000001,England,nation,24/01/2021,15455
E92000001,England,nation,23/01/2021,19874
E92000001,England,nation,22/01/2021,26909
E92000001,England,nation,21/01/2021,28755
E92000001,England,nation,20/01/2021,31753
E92000001,England,nation,19/01/2021,35970
E92000001,England,nation,18/01/2021,40719
E92000001,England,nation,17/01/2021,26204
E92000001,England,nation,16/01/2021,27655
E92000001,England,nation,15/01/2021,36790
E92000001,England,nation,14/01/2021,38518
E92000001,England,nation,13/01/2021,41153
E92000001,England,nation,12/01/2021,44671
E92000001,England,nation,11/01/2021,51993
E92000001,England,nation,10/01/2021,32854
E92000001,England,nation,09/01/2021,35439
E92000001,England,nation,08/01/2021,42328
E92000001,England,nation,07/01/2021,46852
E92000001,England,nation,06/01/2021,51315
E92000001,England,nation,05/01/2021,58033
E92000001,England,nation,04/01/2021,69111
E92000001,England,nation,03/01/2021,49511
E92000001,England,nation,02/01/2021,54168
E92000001,England,nation,01/01/2021,28222
E92000001,England,nation,31/12/2020,46683
E92000001,England,nation,30/12/2020,62887
E92000001,England,nation,29/12/2020,72501
E92000001,England,nation,28/12/2020,40037
E92000001,England,nation,27/12/2020,42434
E92000001,England,nation,26/12/2020,36703
E92000001,England,nation,25/12/2020,12673
E92000001,England,nation,24/12/2020,28701
E92000001,England,nation,23/12/2020,37614
E92000001,England,nation,22/12/2020,40899
E92000001,England,nation,21/12/2020,42589
E92000001,England,nation,20/12/2020,28938
E92000001,England,nation,19/12/2020,21736
E92000001,England,nation,18/12/2020,31828
E92000001,England,nation,17/12/2020,29591
E92000001,England,nation,16/12/2020,30123
E92000001,England,nation,15/12/2020,29097
E92000001,England,nation,14/12/2020,29519
