"age","gender","coverage","type"
"0-18","f",38612,"dose2"
"0-18","f",107417,"dose1"
"0-18","f",5889768,"ons"
"0-18","m",35897,"dose2"
"0-18","m",101312,"dose1"
"0-18","m",6203520,"ons"
"18-24","f",547933,"dose2"
"18-24","f",1572605,"dose1"
"18-24","f",2281427,"ons"
"18-24","m",348144,"dose2"
"18-24","m",1464130,"dose1"
"18-24","m",2428162,"ons"
"25-29","f",583742,"dose2"
"25-29","f",1343576,"dose1"
"25-29","f",1847077,"ons"
"25-29","m",379541,"dose2"
"25-29","m",1255723,"dose1"
"25-29","m",1924416,"ons"
"30-34","f",773339,"dose2"
"30-34","f",1534832,"dose1"
"30-34","f",1907402,"ons"
"30-34","m",535993,"dose2"
"30-34","m",1430193,"dose1"
"30-34","m",1900552,"ons"
"35-39","f",1008117,"dose2"
"35-39","f",1585665,"dose1"
"35-39","f",1884531,"ons"
"35-39","m",771428,"dose2"
"35-39","m",1479947,"dose1"
"35-39","m",1849111,"ons"
"40-44","f",1286166,"dose2"
"40-44","f",1571327,"dose1"
"40-44","f",1714101,"ons"
"40-44","m",1125093,"dose2"
"40-44","m",1503110,"dose1"
"40-44","m",1700196,"ons"
"45-49","f",1465885,"dose2"
"45-49","f",1630674,"dose1"
"45-49","f",1876519,"ons"
"45-49","m",1377172,"dose2"
"45-49","m",1593657,"dose1"
"45-49","m",1839293,"ons"
"50-54","f",1737883,"dose2"
"50-54","f",1818869,"dose1"
"50-54","f",1980533,"ons"
"50-54","m",1703482,"dose2"
"50-54","m",1797439,"dose1"
"50-54","m",1926928,"ons"
"55-59","f",1735976,"dose2"
"55-59","f",1806211,"dose1"
"55-59","f",1861038,"ons"
"55-59","m",1712910,"dose2"
"55-59","m",1789042,"dose1"
"55-59","m",1809613,"ons"
"60-64","f",1517565,"dose2"
"60-64","f",1567447,"dose1"
"60-64","f",1584597,"ons"
"60-64","m",1492831,"dose2"
"60-64","m",1527238,"ons"
"60-64","m",1542857,"dose1"
"65-69","f",1338148,"dose2"
"65-69","f",1364953,"dose1"
"65-69","f",1443940,"ons"
"65-69","m",1273292,"dose2"
"65-69","m",1298032,"dose1"
"65-69","m",1352800,"ons"
"70-74","f",1394860,"dose2"
"70-74","f",1414705,"dose1"
"70-74","f",1449176,"ons"
"70-74","m",1278005,"dose2"
"70-74","m",1294963,"dose1"
"70-74","m",1330150,"ons"
"75-79","f",1039976,"ons"
"75-79","f",1045228,"dose2"
"75-79","f",1059525,"dose1"
"75-79","m",900710,"ons"
"75-79","m",910513,"dose2"
"75-79","m",921626,"dose1"
"80+","f",1537644,"dose2"
"80+","f",1571556,"dose1"
"80+","f",1684423,"ons"
"80+","m",1063437,"dose2"
"80+","m",1084752,"dose1"
"80+","m",1152541,"ons"
