areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
E92000001,England,nation,24/07/2021,38700920,30887523
E92000001,England,nation,23/07/2021,38667466,30713592
E92000001,England,nation,22/07/2021,38635852,30565489
E92000001,England,nation,21/07/2021,38602213,30414180
E92000001,England,nation,20/07/2021,38568133,30272575
E92000001,England,nation,19/07/2021,38537547,30151029
E92000001,England,nation,18/07/2021,38509502,30045105
E92000001,England,nation,17/07/2021,38484088,29940872
E92000001,England,nation,16/07/2021,38427528,29739769
E92000001,England,nation,15/07/2021,38380834,29575480
E92000001,England,nation,14/07/2021,38331502,29407963
E92000001,England,nation,13/07/2021,38285327,29260958
E92000001,England,nation,12/07/2021,38240949,29139323
E92000001,England,nation,11/07/2021,38203633,29046405
E92000001,England,nation,10/07/2021,38171970,28964649
E92000001,England,nation,09/07/2021,38093183,28786726
E92000001,England,nation,08/07/2021,38018923,28642902
E92000001,England,nation,07/07/2021,37940692,28507611
E92000001,England,nation,06/07/2021,37871893,28381241
E92000001,England,nation,05/07/2021,37806150,28274921
E92000001,England,nation,04/07/2021,37749625,28170478
E92000001,England,nation,03/07/2021,37689656,28084938
E92000001,England,nation,02/07/2021,37570962,27917386
E92000001,England,nation,01/07/2021,37472052,27780271
E92000001,England,nation,30/06/2021,37357308,27636271
E92000001,England,nation,29/06/2021,37245587,27501520
E92000001,England,nation,28/06/2021,37137184,27390380
E92000001,England,nation,27/06/2021,37039541,27289203
E92000001,England,nation,26/06/2021,36925361,27191491
E92000001,England,nation,25/06/2021,36716496,27014423
E92000001,England,nation,24/06/2021,36544050,26883824
E92000001,England,nation,23/06/2021,36352086,26750828
E92000001,England,nation,22/06/2021,36179821,26632158
E92000001,England,nation,21/06/2021,36022592,26511987
E92000001,England,nation,20/06/2021,35901393,26419123
E92000001,England,nation,19/06/2021,35762714,26340000
E92000001,England,nation,18/06/2021,35508627,26140943
E92000001,England,nation,17/06/2021,35312688,25977594
E92000001,England,nation,16/06/2021,35100681,25805683
E92000001,England,nation,15/06/2021,34929820,25628060
E92000001,England,nation,14/06/2021,34779593,25456720
E92000001,England,nation,13/06/2021,34670534,25293219
E92000001,England,nation,12/06/2021,34547777,25141431
E92000001,England,nation,11/06/2021,34317389,24862502
E92000001,England,nation,10/06/2021,34140741,24614361
E92000001,England,nation,09/06/2021,33965996,24365042
E92000001,England,nation,08/06/2021,33816227,24111928
E92000001,England,nation,07/06/2021,33710983,23865023
E92000001,England,nation,06/06/2021,33627191,23630416
E92000001,England,nation,05/06/2021,33528419,23412721
E92000001,England,nation,04/06/2021,33348803,22987102
E92000001,England,nation,03/06/2021,33200775,22666061
E92000001,England,nation,02/06/2021,33042167,22356741
E92000001,England,nation,01/06/2021,32911282,22074919
E92000001,England,nation,31/05/2021,32839289,21804354
E92000001,England,nation,30/05/2021,32769356,21656482
E92000001,England,nation,29/05/2021,32670752,21482809
E92000001,England,nation,28/05/2021,32510605,21103331
E92000001,England,nation,27/05/2021,32332279,20731359
E92000001,England,nation,26/05/2021,32093233,20374085
E92000001,England,nation,25/05/2021,31884744,20007655
E92000001,England,nation,24/05/2021,31726120,19684888
