code,name,IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally 
E06000001,Hartlepool,22581.98,25,35.037,10,0.3621
E06000002,Middlesbrough,23729.10,16,40.460,5,0.4884
E06000003,Redcar and Cleveland,20348.40,62,29.792,40,0.2386
E06000004,Stockton-on-Tees,17541.72,113,25.790,73,0.2083
E06000005,Darlington,18284.63,103,25.657,77,0.1846
E06000006,Halton,21746.16,39,32.325,23,0.3165
E06000007,Warrington,14277.87,175,18.942,148,0.0787
E06000008,Blackburn with Darwen,23819.60,14,36.013,9,0.3626
E06000009,Blackpool,26765.29,1,45.039,1,0.4149
E06000010,"Kingston upon Hull, City of",25222.75,9,40.564,4,0.4518
E06000011,East Riding of Yorkshire,12095.08,217,15.605,202,0.0619
E06000012,North East Lincolnshire,20177.27,66,31.335,29,0.3019
E06000013,North Lincolnshire,17200.38,120,22.096,115,0.1089
E06000014,York,9092.16,275,11.727,267,0.0083
E06000015,Derby,18953.77,90,26.323,67,0.1589
E06000016,Leicester,22857.96,22,30.877,32,0.2031
E06000017,Rutland,6306.80,303,8.381,303,0.0000
E06000018,Nottingham,24458.51,10,34.891,11,0.3077
E06000019,"Herefordshire, County of",16384.76,137,18.890,152,0.0086
E06000020,Telford and Wrekin,18583.53,99,24.988,86,0.1667
E06000021,Stoke-on-Trent,23797.05,15,34.504,14,0.3208
E06000022,Bath and North East Somerset,9260.09,274,11.745,265,0.0174
E06000023,"Bristol, City of",19421.68,82,26.363,65,0.1559
E06000024,North Somerset,11811.57,221,15.825,196,0.0593
E06000025,South Gloucestershire,9595.66,267,11.660,269,0.0000
E06000026,Plymouth,19859.59,72,26.619,64,0.1739
E06000027,Torbay,21088.82,48,28.104,48,0.1573
E06000030,Swindon,14382.53,171,18.622,157,0.0909
E06000031,Peterborough,20858.96,53,27.821,51,0.1429
E06000032,Luton,20864.04,52,25.908,70,0.0331
E06000033,Southend-on-Sea,16811.88,129,22.375,110,0.0841
E06000034,Thurrock,17375.69,116,20.928,128,0.0408
E06000035,Medway,18587.91,98,23.936,93,0.0859
E06000036,Bracknell Forest,8295.79,284,10.241,286,0.0000
E06000037,West Berkshire,7974.34,289,9.952,289,0.0000
E06000038,Reading,16125.74,141,19.619,141,0.0515
E06000039,Slough,19788.26,73,22.965,103,0.0000
E06000040,Windsor and Maidenhead,6289.30,304,8.376,304,0.0000
E06000041,Wokingham,3651.54,316,5.846,316,0.0000
E06000042,Milton Keynes,14351.00,172,17.980,165,0.0526
E06000043,Brighton and Hove,16209.04,140,20.761,131,0.0909
E06000044,Portsmouth,20660.69,57,26.899,59,0.1200
E06000045,Southampton,20786.70,55,26.876,61,0.1284
E06000046,Isle of Wight,19454.34,80,23.294,98,0.0337
E06000047,County Durham,20206.86,65,26.793,62,0.1204
E06000049,Cheshire East,11380.72,228,14.475,216,0.0171
E06000050,Cheshire West and Chester,13862.96,183,18.083,161,0.0755
E06000051,Shropshire,14862.20,165,17.153,174,0.0104
E06000052,Cornwall,19382.41,83,23.072,101,0.0521
E06000053,Isles of Scilly,10680.00,245,12.005,258,0.0000
E06000054,Wiltshire,11265.53,231,13.447,233,0.0035
E06000055,Bedford,15291.14,156,18.932,150,0.0388
E06000056,Central Bedfordshire,9823.03,264,12.152,254,0.0000
E06000057,Northumberland,16778.29,131,22.079,116,0.1168
E06000058,"Bournemouth, Christchurch and Poole",14820.73,166,18.173,160,0.0386
E06000059,Dorset,13227.24,197,15.735,199,0.0274
E07000004,Aylesbury Vale,9001.26,277,11.183,276,0.0000
E07000005,Chiltern,4992.13,315,6.952,315,0.0000
E07000006,South Bucks,7643.53,292,9.481,294,0.0000
E07000007,Wycombe,8766.29,280,10.742,281,0.0000
E07000008,Cambridge,12582.30,205,14.855,210,0.0000
E07000009,East Cambridgeshire,9710.04,266,11.507,272,0.0000
E07000010,Fenland,20893.92,51,25.426,80,0.0727
E07000011,Huntingdonshire,10465.87,247,12.550,248,0.0000
E07000012,South Cambridgeshire,6520.03,300,8.496,301,0.0000
E07000026,Allerdale,17828.80,109,22.938,104,0.1167
E07000027,Barrow-in-Furness,21227.03,44,31.117,31,0.2449
E07000028,Carlisle,17462.98,115,21.997,117,0.0588
E07000029,Copeland,19550.80,78,25.012,85,0.0612
E07000030,Eden,14688.07,169,16.328,186,0.0000
E07000031,South Lakeland,10782.22,242,12.501,250,0.0000
E07000032,Amber Valley,14755.49,167,17.970,166,0.0385
E07000033,Bolsover,20440.76,58,25.047,84,0.0417
E07000034,Chesterfield,19160.68,86,24.926,87,0.0870
E07000035,Derbyshire Dales,9811.50,265,11.895,263,0.0233
E07000036,Erewash,14693.60,168,18.818,153,0.0548
E07000037,High Peak,12758.03,202,15.642,201,0.0508
E07000038,North East Derbyshire,14111.11,177,17.399,170,0.0476
E07000039,South Derbyshire,12057.13,218,14.494,215,0.0000
E07000040,East Devon,10893.27,238,12.764,244,0.0000
E07000041,Exeter,13406.01,193,16.215,189,0.0000
E07000042,Mid Devon,15037.74,162,16.928,176,0.0000
E07000043,North Devon,17090.24,123,20.559,132,0.0517
E07000044,South Hams,12057.07,219,13.724,229,0.0000
E07000045,Teignbridge,13686.86,186,15.893,194,0.0000
E07000046,Torridge,20086.96,67,23.269,99,0.0000
E07000047,West Devon,16270.10,139,18.052,162,0.0000
E07000061,Eastbourne,17988.45,106,22.110,114,0.0656
E07000062,Hastings,23845.37,13,34.281,17,0.3019
E07000063,Lewes,13359.65,194,15.758,198,0.0000
E07000064,Rother,16566.23,135,19.768,139,0.0345
E07000065,Wealden,10272.25,254,12.311,252,0.0000
E07000066,Basildon,17744.60,111,23.243,100,0.1091
E07000067,Braintree,12716.15,203,14.723,211,0.0000
E07000068,Brentwood,8058.04,287,10.007,288,0.0000
E07000069,Castle Point,13905.85,182,16.842,178,0.0175
E07000070,Chelmsford,10004.42,260,12.221,253,0.0000
E07000071,Colchester,13956.03,181,16.778,181,0.0095
E07000072,Epping Forest,12930.26,200,15.068,205,0.0000
E07000073,Harlow,18582.78,100,21.413,124,0.0000
E07000074,Maldon,12389.29,211,14.169,222,0.0000
E07000075,Rochford,8121.79,286,10.449,284,0.0000
E07000076,Tendring,22083.12,32,30.484,36,0.1798
E07000077,Uttlesford,7386.46,295,9.258,297,0.0000
E07000078,Cheltenham,11000.88,237,14.260,219,0.0267
E07000079,Cotswold,9348.89,272,11.061,277,0.0000
E07000080,Forest of Dean,15969.90,143,18.013,163,0.0200
E07000081,Gloucester,16307.08,138,21.807,118,0.1154
E07000082,Stroud,8821.99,279,10.797,280,0.0000
E07000083,Tewkesbury,9967.03,261,12.142,255,0.0000
E07000084,Basingstoke and Deane,10527.55,246,12.823,243,0.0000
E07000085,East Hampshire,8236.58,285,10.284,285,0.0000
E07000086,Eastleigh,8022.55,288,10.192,287,0.0000
E07000087,Fareham,6777.84,298,9.019,298,0.0000
E07000088,Gosport,16794.90,130,20.541,133,0.0189
E07000089,Hart,3284.07,317,5.544,317,0.0000
E07000090,Havant,16673.13,133,21.806,119,0.0769
E07000091,New Forest,10782.29,241,13.015,240,0.0000
E07000092,Rushmoor,13229.85,196,15.903,193,0.0000
E07000093,Test Valley,9889.99,262,11.931,261,0.0000
E07000094,Winchester,7586.55,293,9.615,292,0.0000
E07000095,Broxbourne,15414.09,153,17.989,164,0.0000
E07000096,Dacorum,10835.15,240,13.004,241,0.0000
E07000098,Hertsmere,11669.51,224,13.938,227,0.0161
E07000099,North Hertfordshire,9430.75,269,11.627,270,0.0000
E07000102,Three Rivers,7742.20,291,9.871,291,0.0000
E07000103,Watford,13265.14,195,15.410,203,0.0000
