Local authority,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,,,,,,,,,
Cambridge,1285.59,1499.86,1714.12,1928.39,2356.92,2785.45,3213.98,3856.78,,,,,,,,,
East Cambridgeshire,1298.18,1514.54,1730.91,1947.27,2380.00,2812.72,3245.45,3894.54,,,,,,,,,
Fenland,1352.93,1578.42,1803.91,2029.40,2480.38,2931.36,3382.33,4058.80,,,,,,,,,
Huntingdonshire,1323.87,1544.52,1765.16,1985.81,2427.10,2868.39,3309.68,3971.62,,,,,,,,,
South Cambridgeshire,1314.03,1533.03,1752.04,1971.04,2409.05,2847.06,3285.07,3942.08,,,,,,,,,
,,,,,,,,,,,,,,,,,
CUMBRIA,,,,,,,,,,,,,,,,,
Allerdale,1355.35,1581.25,1807.14,2033.03,2484.81,2936.60,3388.38,4066.06,,,,,,,,,
Barrow-in-Furness,1348.53,1573.29,1798.04,2022.80,2472.31,2921.82,3371.33,4045.60,,,,,,,,,
Carlisle,1341.89,1565.53,1789.18,2012.83,2460.13,2907.42,3354.72,4025.66,,,,,,,,,
Copeland,1359.33,1585.88,1812.44,2038.99,2492.10,2945.21,3398.32,4077.98,,,,,,,,,
Eden,1352.13,1577.48,1802.84,2028.19,2478.90,2929.61,3380.32,4056.38,,,,,,,,,
South Lakeland,1343.12,1566.97,1790.83,2014.68,2462.39,2910.09,3357.80,4029.36,,,,,,,,,
,,,,,,,,,,,,,,,,,
DERBYSHIRE,,,,,,,,,,,,,,,,,
Amber Valley,1296.43,1512.51,1728.58,1944.65,2376.79,2808.94,3241.08,3889.30,,,,,,,,,
Bolsover,1359.85,1586.50,1813.14,2039.78,2493.06,2946.35,3399.63,4079.56,,,,,,,,,
Chesterfield,1263.36,1473.92,1684.48,1895.04,2316.16,2737.28,3158.40,3790.08,,,,,,,,,
Derbyshire Dales,1322.76,1543.22,1763.68,1984.14,2425.06,2865.98,3306.90,3968.28,,,,,,,,,
Erewash,1275.21,1487.74,1700.28,1912.81,2337.88,2762.95,3188.02,3825.62,,,,,,,,,
High Peak,1284.39,1498.45,1712.52,1926.58,2354.71,2782.84,3210.97,3853.16,,,,,,,,,
North East Derbyshire,1336.18,1558.88,1781.57,2004.27,2449.66,2895.06,3340.45,4008.54,,,,,,,,,
South Derbyshire,1265.53,1476.45,1687.37,1898.29,2320.13,2741.97,3163.82,3796.58,,,,,,,,,
,,,,,,,,,,,,,,,,,
DEVON,,,,,,,,,,,,,,,,,
East Devon,1374.74,1603.86,1832.99,2062.11,2520.36,2978.60,3436.85,4124.22,,,,,,,,,
Exeter,1335.26,1557.80,1780.35,2002.89,2447.98,2893.06,3338.15,4005.78,,,,,,,,,
Mid Devon,1414.04,1649.71,1885.39,2121.06,2592.41,3063.75,3535.10,4242.12,,,,,,,,,
North Devon,1401.46,1635.04,1868.61,2102.19,2569.34,3036.50,3503.65,4204.38,,,,,,,,,
South Hams,1393.70,1625.98,1858.27,2090.55,2555.12,3019.68,3484.25,4181.10,,,,,,,,,
Teignbridge,1399.65,1632.92,1866.20,2099.47,2566.02,3032.57,3499.12,4198.94,,,,,,,,,
Torridge,1386.24,1617.28,1848.32,2079.36,2541.44,3003.52,3465.60,4158.72,,,,,,,,,
West Devon,1444.39,1685.12,1925.85,2166.58,2648.04,3129.50,3610.97,4333.16,,,,,,,,,
,,,,,,,,,,,,,,,,,
EAST SUSSEX,,,,,,,,,,,,,,,,,
Eastbourne,1408.75,1643.54,1878.33,2113.12,2582.70,3052.28,3521.87,4226.24,,,,,,,,,
Hastings,1421.70,1658.65,1895.60,2132.55,2606.45,3080.35,3554.25,4265.10,,,,,,,,,
Lewes,1459.48,1702.73,1945.97,2189.22,2675.71,3162.21,3648.70,4378.44,,,,,,,,,
Rother,1413.79,1649.42,1885.05,2120.68,2591.94,3063.20,3534.47,4241.36,,,,,,,,,
Wealden,1441.79,1682.09,1922.39,2162.69,2643.29,3123.89,3604.48,4325.38,,,,,,,,,
,,,,,,,,,,,,,,,,,
ESSEX,,,,,,,,,,,,,,,,,
Basildon,1273.39,1485.62,1697.85,1910.08,2334.54,2759.00,3183.47,3820.16,,,,,,,,,
Braintree,1236.60,1442.70,1648.80,1854.90,2267.10,2679.30,3091.50,3709.80,,,,,,,,,
Brentwood,1223.41,1427.32,1631.22,1835.12,2242.92,2650.73,3058.53,3670.24,,,,,,,,,
