code,ecode,location,current,class,reg,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-2017,2017-2018,2018-19,2019-20,2020-21,2021-22,
E07000223,E3831,Adur,YES,SD,SE,578.25,589.50,628.88,654.27,686.87,750.23,799.59,839.51,896.73,988.99,1172.04,1241.21,1299.15,1363.06,1431.85,1496.81,1548.81,1587.35,1587.70,1588.10,1593.01,1593.16,1595.53,1651.51,1709.54,1793.83,1892.04,1963.41,2057.34,
E07000026,E0931,Allerdale,YES,SD,NW,573.75,635.63,667.13,699.39,747.68,818.61,856.45,908.89,952.71,1026.60,1158.36,1222.42,1275.32,1336.62,1401.06,1460.38,1503.31,1536.38,1538.64,1557.03,1569.31,1580.00,1612.60,1669.45,1728.18,1799.53,1886.63,1960.41,2033.03,
E07000157,E2931,Alnwick,NO,SD,NE,609.75,551.25,642.38,685.74,734.18,831.37,901.27,956.25,1011.54,1078.44,1201.06,1259.11,1317.62,1343.83,1369.04,1384.95,-,-,-,-,-,-,-,-,-,-,-,-,-,
E07000032,E1031,Amber Valley,YES,SD,EM,597.38,609.75,655.88,679.90,731.67,808.97,872.57,932.68,990.28,1084.04,1174.12,1225.67,1261.46,1316.09,1369.97,1420.65,1471.51,1494.23,1494.59,1496.61,1504.58,1530.51,1558.83,1609.30,1668.38,1750.31,1833.06,1883.26,1944.65,
E07000224,E3832,Arun,YES,SD,SE,535.50,569.25,610.88,628.03,658.77,724.75,765.94,811.06,861.16,947.40,1120.67,1190.57,1248.63,1310.46,1373.48,1435.37,1483.01,1519.88,1520.06,1521.96,1522.01,1526.02,1530.50,1588.58,1649.08,1730.80,1829.09,1902.84,1994.86,
E07000170,E3031,Ashfield,YES,SD,EM,595.13,650.25,690.75,720.72,762.44,844.13,929.50,982.74,1041.58,1133.63,1248.04,1319.54,1369.65,1431.71,1488.72,1534.45,1582.87,1595.51,1595.94,1602.21,1605.77,1639.03,1668.68,1728.51,1799.89,1886.54,1969.28,2044.70,2107.09,
E07000105,E2231,Ashford,YES,SD,SE,493.88,526.50,551.25,583.98,625.91,689.60,746.19,802.56,853.08,938.82,1060.27,1125.93,1170.78,1225.82,1285.48,1338.32,1378.37,1412.03,1413.08,1413.40,1427.32,1454.81,1482.36,1539.58,1595.42,1675.18,1776.98,1848.43,1940.76,
E07000004,E0431,Aylesbury Vale,NO,SD,SE,508.50,516.38,562.50,599.34,643.55,699.84,762.05,815.47,863.42,943.60,1095.31,1172.01,1221.30,1287.08,1345.92,1408.93,1462.97,1492.01,1493.00,1493.97,1501.49,1523.32,1550.99,1609.51,1680.02,1776.21,1849.70,-,-,
E07000200,E3531,Babergh,YES,SD,EE,478.13,524.25,545.63,598.44,652.30,707.78,765.34,818.39,872.30,977.45,1157.66,1205.90,1241.98,1295.21,1353.61,1412.56,1452.69,1488.10,1489.99,1503.77,1510.96,1511.20,1516.03,1547.00,1592.60,1669.74,1751.49,1820.21,1896.72,
E09000002,E5030,Barking & Dagenham,YES,OLB,L,504.00,513.00,531.00,576.00,635.00,697.50,738.00,784.42,848.43,911.43,1048.14,1110.01,1153.36,1218.76,1278.24,1326.22,1326.22,1326.22,1326.22,1323.12,1319.40,1315.40,1331.67,1354.03,1411.85,1493.86,1556.01,1616.87,1712.57,
