code,ecode,location,current,class,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
,,England,-,,456.00,473.00,498.00,529.00,564.00,614.00,656.00,697.00,741.00,804.00,908.00,967.00,1009.00,1056.00,1101.00,1145.00,1175.00,1195.00,1196.00,1201.00,1045.00,1051.00,1078.00,1128.00,1185.00,1258.00,1327.00,1385.00,1428.00
E07000223,E3831,Adur,YES,SD,470.00,482.00,518.00,537.00,563.00,614.00,656.00,691.00,737.00,813.00,963.00,1025.00,1074.00,1136.00,1192.00,1247.00,1290.00,1315.00,1323.00,1323.00,1149.00,1135.00,1159.00,1218.00,1272.00,1344.00,1435.00,1496.00,1556.00
E07000026,E0931,Allerdale,YES,SD,406.00,455.00,477.00,499.00,533.00,586.00,613.00,651.00,681.00,734.00,831.00,889.00,930.00,972.00,1020.00,1063.00,1091.00,1102.00,1114.00,1126.00,1006.00,1003.00,1031.00,1079.00,1134.00,1181.00,1248.00,1300.00,1344.00
E07000157,E2931,Alnwick,NO,SD,481.00,439.00,507.00,546.00,589.00,666.00,725.00,769.00,818.00,866.00,973.00,1059.00,1103.00,1114.00,1142.00,1156.00,-,-,-,-,-,-,-, - ,-,-,-,-,-
E07000032,E1031,Amber Valley,YES,SD,459.00,468.00,505.00,527.00,564.00,619.00,671.00,722.00,767.00,837.00,910.00,944.00,973.00,1014.00,1056.00,1093.00,1132.00,1157.00,1161.00,1157.00,1017.00,1028.00,1056.00,1096.00,1148.00,1222.00,1280.00,1314.00,1338.00
E07000224,E3832,Arun,YES,SD,468.00,495.00,529.00,545.00,571.00,629.00,673.00,712.00,756.00,830.00,984.00,1063.00,1127.00,1187.00,1230.00,1289.00,1326.00,1358.00,1357.00,1355.00,1207.00,1206.00,1220.00,1278.00,1349.00,1429.00,1521.00,1594.00,1675.00
E07000170,E3031,Ashfield,YES,SD,400.00,439.00,463.00,481.00,509.00,566.00,628.00,673.00,718.00,785.00,870.00,914.00,950.00,994.00,1033.00,1065.00,1093.00,1108.00,1106.00,1111.00,927.00,936.00,970.00,1024.00,1074.00,1135.00,1193.00,1238.00,1274.00
E07000105,E2231,Ashford,YES,SD,447.00,484.00,497.00,543.00,586.00,642.00,700.00,753.00,797.00,866.00,981.00,1063.00,1114.00,1161.00,1230.00,1270.00,1297.00,1323.00,1324.00,1325.00,1177.00,1202.00,1235.00,1311.00,1361.00,1444.00,1538.00,1605.00,1592.00
E07000004,E0431,Aylesbury Vale,NO,SD,491.00,505.00,554.00,589.00,634.00,699.00,755.00,807.00,856.00,931.00,1083.00,1156.00,1207.00,1267.00,1328.00,1395.00,1431.00,1460.00,1462.00,1466.00,1325.00,1379.00,1424.00,1481.00,1559.00,1658.00,1719.00,-,-
E07000200,E3531,Babergh,YES,SD,408.00,457.00,471.00,520.00,570.00,621.00,671.00,718.00,763.00,857.00,1020.00,1075.00,1104.00,1152.00,1209.00,1260.00,1288.00,1321.00,1322.00,1334.00,1206.00,1209.00,1228.00,1266.00,1317.00,1380.00,1463.00,1540.00,1554.00
E09000002,E5030,Barking & Dagenham,YES,OLB,394.00,425.00,415.00,449.00,495.00,545.00,576.00,612.00,665.00,714.00,824.00,853.00,878.00,925.00,969.00,1010.00,999.00,1000.00,1011.00,1009.00,754.00,753.00,796.00,853.00,912.00,991.00,1052.00,1108.00,1164.00
E09000003,E5031,Barnet,YES,OLB,549.00,591.00,627.00,666.00,694.00,764.00,799.00,861.00,927.00,968.00,1200.00,1282.00,1315.00,1352.00,1406.00,1445.00,1472.00,1464.00,1481.00,1499.00,1293.00,1285.00,1308.00,1325.00,1384.00,1437.00,1517.00,1587.00,1669.00
E08000016,E4401,Barnsley,YES,MD,396.00,366.00,396.00,415.00,445.00,490.00,528.00,562.00,601.00,636.00,700.00,750.00,787.00,833.00,878.00,913.00,928.00,954.00,955.00,962.00,797.00,799.00,829.00,856.00,919.00,962.00,1026.00,1074.00,1100.00
E07000027,E0932,Barrow-in-Furness,YES,SD,462.00,464.00,485.00,484.00,523.00,553.00,597.00,632.00,657.00,705.00,794.00,833.00,871.00,919.00,960.00,1003.00,1030.00,1045.00,1054.00,1062.00,865.00,874.00,888.00,939.00,977.00,1054.00,1113.00,1161.00,1196.00
E07000066,E1531,Basildon,YES,SD,542.00,524.00,533.00,558.00,583.00,650.00,699.00,755.00,815.00,896.00,1035.00,1094.00,1131.00,1181.00,1230.00,1289.00,1333.00,1345.00,1352.00,1350.00,1143.00,1158.00,1186.00,1240.00,1283.00,1356.00,1432.00,1480.00,1489.00
E07000084,E1731,Basingstoke & Deane,YES,SD,401.00,457.00,517.00,536.00,599.00,650.00,707.00,743.00,780.00,847.00,970.00,1028.00,1066.00,1122.00,1179.00,1234.00,1258.00,1279.00,1279.00,1271.00,1172.00,1168.00,1177.00,1233.00,1293.00,1374.00,1455.00,1508.00,1562.00
E07000171,E3032,Bassetlaw,YES,SD,433.00,483.00,502.00,525.00,552.00,606.00,671.00,712.00,751.00,825.00,923.00,977.00,1031.00,1073.00,1120.00,1153.00,1183.00,1191.00,1194.00,1201.00,1032.00,1047.00,1084.00,1132.00,1200.00,1262.00,1332.00,1394.00,1443.00
-,E0131,Bath,NO,SD,411.00,477.00,488.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, - ,-,-,-,-,-
E06000022,E0101,Bath & North East Somerset UA,YES,UA,-,-,-,-,615.00,661.00,691.00,755.00,811.00,871.00,943.00,1010.00,1057.00,1115.00,1170.00,1221.00,1266.00,1300.00,1305.00,1309.00,1200.00,1206.00,1226.00,1267.00,1322.00,1385.00,1467.00,1527.00,1585.00
E07000002,E0231,Bedford,NO,SD,421.00,451.00,505.00,535.00,649.00,679.00,738.00,776.00,820.00,894.00,996.00,1084.00,1135.00,1202.00,1250.00,1307.00,-,-,-,-,-,-,-, - ,-,-,-,-,-
E06000055,E0202,Bedford UA,YES,UA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1322.00,1354.00,1345.00,1355.00,1204.00,1204.00,1223.00,1284.00,1363.00,1433.00,1496.00,1550.00,1536.00
E07000158,E2932,Berwick-upon-Tweed,NO,SD,410.00,369.00,457.00,484.00,518.00,582.00,631.00,668.00,703.00,749.00,841.00,909.00,966.00,987.00,1012.00,1029.00,-,-,-,-,-,-,-, - ,-,-,-,-,-
-,E2031,Beverley,NO,SD,502.00,551.00,574.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, - ,-,-,-,-,-
E09000004,E5032,Bexley,YES,OLB,474.00,471.00,518.00,537.00,572.00,636.00,685.00,731.00,801.00,853.00,1001.00,1078.00,1131.00,1192.00,1232.00,1265.00,1282.00,1289.00,1297.00,1298.00,1122.00,1140.00,1176.00,1212.00,1263.00,1334.00,1417.00,1471.00,1546.00
E08000025,E4601,Birmingham,YES,MD,455.00,441.00,485.00,536.00,570.00,606.00,638.00,670.00,699.00,739.00,779.00,787.00,820.00,839.00,858.00,883.00,905.00,923.00,921.00,925.00,708.00,714.00,737.00,783.00,833.00,884.00,945.00,989.00,1032.00
E07000129,E2431,Blaby,YES,SD,398.00,458.00,477.00,509.00,582.00,637.00,674.00,727.00,777.00,849.00,922.00,1001.00,1031.00,1073.00,1126.00,1186.00,1205.00,1235.00,1238.00,1244.00,1151.00,1159.00,1206.00,1260.00,1318.00,1391.00,1462.00,1525.00,1593.00
-,E2331,Blackburn,NO,SD,418.00,450.00,444.00,513.00,549.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, - ,-,-,-,-,-
E06000008,E2301,Blackburn with Darwen UA,YES,UA,-,-,-,-,-,580.00,610.00,656.00,679.00,720.00,790.00,830.00,879.00,908.00,950.00,972.00,-,1020.00,1023.00,1018.00,789.00,790.00,833.00,869.00,921.00,987.00,1036.00,1096.00,1116.00
E06000009,E2302,Blackpool UA,YES,UA,427.00,455.00,449.00,459.00,503.00,435.00,469.00,496.00,554.00,649.00,735.00,805.00,849.00,891.00,931.00,966.00,999.00,1025.00,1026.00,1032.00,772.00,760.00,764.00,805.00,844.00,908.00,949.00,1001.00,1043.00
E07000159,E2933,Blyth Valley,NO,SD,445.00,402.00,431.00,444.00,477.00,551.00,601.00,635.00,674.00,721.00,799.00,836.00,875.00,890.00,909.00,925.00,-,-,-,-,-,-,-, - ,-,-,-,-,-
E07000033,E1032,Bolsover,YES,SD,409.00,393.00,447.00,490.00,523.00,575.00,623.00,662.00,700.00,766.00,833.00,873.00,899.00,946.00,984.00,1021.00,1056.00,1073.00,1069.00,1080.00,909.00,930.00,954.00,1001.00,1051.00,1114.00,1187.00,1217.00,1234.00
