objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,Area
"1",E06000001,Hartlepool,,"447160","531474",-1.270189290000000,54.676139829999997,93770349.705553740262985,68481.646732256762334,"93857495"
"2",E06000002,Middlesbrough,,"451141","516887",-1.210998060000000,54.544677729999997,53858124.262008540332317,42570.873543339606840,"53907844"
"3",E06000003,Redcar and Cleveland,,"464361","519597",-1.006085630000000,54.567523960000003,245140394.779898554086685,94686.620904935247381,"245357560"
"4",E06000004,Stockton-on-Tees,,"444940","518183",-1.306645270000000,54.556911469999989,204903680.839743733406067,118320.900278301865910,"205096159"
"5",E06000005,Darlington,,"428029","515648",-1.568355920000000,54.535343169999997,197485808.735106438398361,105777.871674866619287,"197676271"
"6",E06000006,Halton,,"354246","382146",-2.688537840000000,53.334247589999997,79096448.158866703510284,76349.025379525584867,"79169965"
"7",E06000007,Warrington,,"362744","388456",-2.561677930000000,53.391632079999994,180613956.324696213006973,111964.631477494840510,"180785571"
"8",E06000008,Blackburn with Darwen,,"369490","422806",-2.463604450000000,53.700805660000000,137055894.206203967332840,63758.316205670642375,"137187685"
"9",E06000009,Blackpool,,"332819","436635",-3.021994830000000,53.821643829999999,34873257.938970692455769,34005.218651605886407,"34903689"
"10",E06000010,"Kingston upon Hull, City of",,"511894","431650",-0.303825530000000,53.769203189999999,71607247.636089250445366,63534.923678439685318,"71656537"
"11",E06000011,East Riding of Yorkshire,,"488056","443597",-0.661958750000000,53.881122589999997,2405193398.486629962921143,495787.588612545223441,
"12",E06000012,North East Lincolnshire,,"523465","404564",-0.139110270000000,53.523269650000003,192713991.885745674371719,90937.356119092117297,"192831509"
"13",E06000013,North Lincolnshire,,"497800","410993",-0.524076400000000,53.586433409999998,846514605.381521105766296,240815.525110738090007,"847164951"
"14",E06000014,York,,"460864","452589",-1.073753120000000,53.965824130000001,271945047.073936462402344,100454.937190468699555,"272187413"
"15",E06000015,Derby,,"435609","335375",-1.471895580000000,52.914642330000000,78022266.115706980228424,49198.658601443843509,"78096596"
"16",E06000016,Leicester,,"458946","304594",-1.130409360000000,52.635921480000000,73376544.344731494784355,50729.583289942966076,"73442456"
"17",E06000017,Rutland,,"492992","308655",-0.626308500000000,52.667659759999999,393739393.103061854839325,120309.056812150767655,"394046274"
"18",E06000018,Nottingham,,"456082","339969",-1.166676040000000,52.954196929999995,74600645.988038375973701,58004.623601660452550,"74668449"
"19",E06000019,"Herefordshire, County of",,"349434","242834",-2.739310740000000,52.081550600000000,2179679358.772828578948975,338787.566853637050372,
"20",E06000020,Telford and Wrekin,,"367035","313057",-2.489411120000000,52.714176180000003,290327444.829845607280731,115372.123023441716214,"290605301"
"21",E06000021,Stoke-on-Trent,,"389438","346652",-2.158888340000000,53.017078400000003,93409442.348464176058769,62209.636349636770319,"93501120"
"22",E06000022,Bath and North East Somerset,,"366217","161999",-2.486544370000000,51.356048580000000,351158364.257692694664001,137360.570458003872773,"351493756"
"23",E06000023,"Bristol, City of",,"359990","174846",-2.577420950000000,51.471153260000001,109717521.152667343616486,106417.263538271014113,"109820701"
"24",E06000024,North Somerset,,"347613","166719",-2.754397870000000,51.397071839999995,374607939.103981614112854,148831.028020604891935,"374947823"
"25",E06000025,South Gloucestershire,,"367559","183198",-2.469223020000000,51.546733860000003,497028495.400582134723663,137067.087151075451402,"497504462"
"26",E06000026,Plymouth,,"249945","58255",-4.112977980000000,50.404945370000000,79849436.665878742933273,87468.792361489220639,"79883407"
"27",E06000027,Torbay,,"289730","64613",-3.555235860000000,50.470924380000000,62915549.774261683225632,72317.981051112466957,"62958538"
"28",E06000030,Swindon,,"418551","186564",-1.733678220000000,51.577640529999996,230091714.337403595447540,99592.298777112184325,"230316091"
"29",E06000031,Peterborough,,"517372","300777",-0.268744710000000,52.592147830000002,343423845.859314560890198,111019.566162588336738,"343643004"
"30",E06000032,Luton,,"508606","222559",-0.423198400000000,51.891021729999999,43359040.105133324861526,34269.124934268751531,"43389148"
