"name","color"
"Amber Valley","#294023"
"Ashfield","#313f27"
"Aylesbury Vale","#323f26"
"Barking and Dagenham","#404c34"
"Barnet","#37422b"
"Basildon","#3c482f"
"Bath and North East Somerset","#2a4223"
"Birmingham","#324126"
"Blackburn with Darwen","#1e351b"
"Blackpool","#3e4b34"
"Bolsover","#354228"
"Bolton","#22331c"
"Bournemouth, Christchurch and Poole","#2d3d24"
"Bracknell Forest","#303a22"
"Bradford","#233c21"
"Bristol, City of","#2f4526"
"Bromley","#2e4127"
"Bromsgrove","#293e23"
"Broxbourne","#34432b"
"Broxtowe","#2f3f26"
"Burnley","#22381e"
"Bury","#22331d"
"Calderdale","#25381f"
"Cambridge","#39472d"
"Cannock Chase","#293b23"
"Castle Point","#3c4d35"
"Central Bedfordshire","#3c422a"
"Chelmsford","#3a452b"
"Cheltenham","#2f4526"
"Cherwell","#303f24"
"Cheshire East","#000000"
"Cheshire West and Chester","#263b21"
"Chesterfield","#2f4025"
"Chiltern","#2e3b22"
"Chorley","#1f361c"
"Cotswold","#2b3f23"
"County Durham","#2b3920"
"Coventry","#283c1f"
"Croydon","#2e3f27"
"Dacorum","#343e25"
"Derby","#2a4121"
"Doncaster","#343f27"
"Dorset","#2c3a1e"
"Dudley","#2f4129"
"Ealing","#3f4933"
"East Cambridgeshire","#3a462a"
"East Hertfordshire","#38432a"
"East Staffordshire","#2f4028"
"Elmbridge","#303f29"
"Enfield","#334129"
"Epping Forest","#38432b"
"Epsom and Ewell","#32422a"
"Erewash","#2c4025"
"Gateshead","#27371b"
"Gedling","#2e3d24"
"Gravesham","#35472c"
"Greenwich","#37422d"
"Guildford","#263720"
"Halton","#303d27"
"Hambleton","#33432a"
"Haringey","#394231"
"Harlow","#42472e"
"Harrogate","#000000"
