Code,Location,All
E06000022,Bath and North East Somerset UA,950
E06000055,Bedford UA,1130
E06000008,Blackburn with Darwen UA,250
E06000009,Blackpool UA,200
E06000058,"Bournemouth, Christchurch and Poole UA",1090
E06000036,Bracknell Forest UA,960
E06000043,Brighton and Hove UA,90
E06000023,"Bristol, City of UA",810
E06000056,Central Bedfordshire UA,1860
E06000049,Cheshire East UA,1690
E06000050,Cheshire West and Chester UA,1260
E06000052,Cornwall UA,2320
E06000047,County Durham UA,1640
E06000005,Darlington UA,450
E06000015,Derby UA,590
E06000059,Dorset UA,1020
E06000011,East Riding of Yorkshire UA,1360
E06000006,Halton UA,630
E06000001,Hartlepool UA,170
E06000019,"Herefordshire, County of UA",630
E06000046,Isle of Wight UA,300
E06000053,Isles of Scilly UA,0
E06000010,"Kingston upon Hull, City of UA",530
E06000016,Leicester UA,310
E06000032,Luton UA,230
E06000035,Medway UA,870
E06000002,Middlesbrough UA,510
E06000042,Milton Keynes UA,1720
E06000012,North East Lincolnshire UA,370
E06000013,North Lincolnshire UA,320
E06000024,North Somerset UA,370
E06000057,Northumberland UA,1690
E06000018,Nottingham UA,350
E06000031,Peterborough UA,1080
E06000026,Plymouth UA,350
E06000044,Portsmouth UA,90
E06000038,Reading UA,100
E06000003,Redcar and Cleveland UA,350
E06000017,Rutland UA,150
E06000051,Shropshire UA,1030
E06000039,Slough UA,270
E06000025,South Gloucestershire UA,1750
E06000045,Southampton UA,110
E06000033,Southend-on-Sea UA,80
E06000004,Stockton-on-Tees UA,990
E06000021,Stoke-on-Trent UA,480
E06000030,Swindon UA,750
E06000020,Telford and Wrekin UA,1030
E06000034,Thurrock UA,470
E06000027,Torbay UA,210
E06000007,Warrington UA,510
E06000037,West Berkshire UA,360
E06000054,Wiltshire UA,2020
E06000040,Windsor and Maidenhead UA,190
E06000041,Wokingham UA,1590
E06000014,York UA,500
,,
,,22040
,,
E09000002,Barking and Dagenham,530
E09000003,Barnet,1570
E09000004,Bexley,100
E09000005,Brent,160
E09000006,Bromley,470
E09000007,Camden,300
E09000001,City of London,0
E09000008,Croydon,1390
E09000009,Ealing,1690
E09000010,Enfield,750
E09000011,Greenwich,1890
E09000012,Hackney,100
E09000013,Hammersmith and Fulham,430
E09000014,Haringey,60
E09000015,Harrow,680
E09000016,Havering,260
